name,type,pe,tqa,O,R,alpha,sad_total,sad_facts,sad_introspection,sad_stages,sad_self_recognition,sad_id_leverage,sad_anti_imitation,sad_influence
Claude-3-Sonnet,aligned,-29.877,0.6,0.469,0.5,1.781,0.5001,0.6713,0.2997,0.4419,0.5038,0.7846,0.0559,0.7438
Claude-3-Opus,aligned,-25.684,0.65,0.0,0.2,2.813,0.5337,0.6654,0.3473,0.5109,0.6328,0.6437,0.1279,0.8078
Claude-3-Haiku,aligned,-23.757,0.55,0.937,0.8,1.406,0.4587,0.6268,0.2839,0.3895,0.5169,0.626,0.04,0.7281
Llama-2-70B,base,-14.374,0.447,1.903,1.5,0.5,0.352,0.509,0.2181,0.3663,0.5,0.0243,0.1336,0.7125
GPT-4o,aligned,-10.55,0.62,0.281,1.0,3.0,0.5072,0.7184,0.2942,0.4406,0.6863,0.4306,0.1088,0.8719
Llama-2-70B-Chat,aligned,-9.812,0.527,1.153,2.4,0.806,0.4023,0.5834,0.2285,0.4231,0.5288,0.3285,0.0329,0.6906
Llama-3-70B-Instruct,aligned,-9.375,0.56,0.844,1.2,2.363,0.4934,0.6411,0.358,0.4844,0.7369,0.4393,0.0223,0.7719
Llama-2-13B,base,-7.076,0.366,2.662,1.5,0.5,0.3347,0.4084,0.3468,0.3763,0.5,0.0277,0.2059,0.4781
GPT-4,aligned,-5.574,0.59,0.563,1.5,2.775,0.4673,0.6962,0.3775,0.4831,0.54,0.2455,0.0755,0.8531
Llama-2-7B,base,-4.918,0.339,2.916,1.5,0.5,0.3064,0.3609,0.3732,0.3644,0.5,0.0241,0.0907,0.4313
Llama-2-7B-Chat,aligned,-3.474,0.454,1.838,3.0,0.253,0.3137,0.4414,0.2136,0.3527,0.5,0.1874,0.0164,0.4844
Llama-2-13B-Chat,aligned,-2.637,0.449,1.884,2.7,0.609,0.3762,0.5411,0.2205,0.4083,0.5688,0.2526,0.0425,0.6
GPT-3.5-turbo,aligned,1.466,0.47,1.688,2.2,1.819,0.3842,0.5726,0.2489,0.4139,0.5081,0.3112,0.0673,0.5672
