Pe,d_s_max,t_opt,eigenvalue_gap
0.0000,1.220753,3.347822e-05,2.999951
0.1000,1.220753,3.347822e-05,2.999618
0.2000,1.220753,3.347822e-05,2.998620
0.3000,1.220753,3.347822e-05,2.996964
0.4000,1.220752,3.347822e-05,2.994658
0.5000,1.220752,3.347822e-05,2.991716
0.6000,1.220752,3.347822e-05,2.988155
0.7000,1.220752,3.347822e-05,2.983996
0.8000,1.220751,3.347822e-05,2.979265
0.9000,1.220751,3.347822e-05,2.973991
1.0000,1.220750,3.347822e-05,2.968207
1.1000,1.220750,3.347822e-05,2.961953
1.2000,1.220749,3.347822e-05,2.955269
1.3000,1.220748,3.347822e-05,2.948206
1.4000,1.220748,3.347822e-05,2.940814
1.5000,1.220747,3.347822e-05,2.933151
1.6000,1.220746,3.347822e-05,2.925280
1.7000,1.220746,3.347822e-05,2.917271
1.8000,1.220745,3.347822e-05,2.909196
1.9000,1.220744,3.347822e-05,2.901135
2.0000,1.220743,3.347822e-05,2.893175
2.1000,1.220742,3.347822e-05,2.885407
2.2000,1.220741,3.347822e-05,2.877929
2.3000,1.220741,3.347822e-05,2.870846
2.4000,1.220740,3.347822e-05,2.864266
2.5000,1.220739,3.347822e-05,2.858307
2.6000,1.220738,3.347822e-05,2.853090
2.7000,1.220737,3.347822e-05,2.848744
2.8000,1.220736,3.347822e-05,2.845401
2.9000,1.220736,3.347822e-05,2.843200
3.0000,1.220735,3.347822e-05,2.842282
3.1000,1.220734,3.347822e-05,2.842794
3.2000,1.220734,3.347822e-05,2.844883
3.3000,1.220733,3.347822e-05,2.848702
3.4000,1.220732,3.347822e-05,2.854399
3.5000,1.220732,3.347822e-05,2.862128
3.6000,1.220732,3.347822e-05,2.872037
3.7000,1.220731,3.347822e-05,2.884273
3.8000,1.220731,3.347822e-05,2.898977
3.9000,1.220731,3.347822e-05,2.916286
4.0000,1.220731,3.347822e-05,2.936329
4.1000,1.220731,3.347822e-05,2.959226
4.2000,1.220731,3.347822e-05,2.985088
4.3000,1.220732,3.347822e-05,3.014013
4.4000,1.220732,3.347822e-05,3.046089
4.5000,1.220733,3.347822e-05,3.081389
4.6000,1.220734,3.347822e-05,3.119972
4.7000,1.220735,3.347822e-05,3.161885
4.8000,1.220736,3.347822e-05,3.207157
4.9000,1.220737,3.347822e-05,3.255803
5.0000,1.220738,3.347822e-05,3.307825
6.0000,1.220762,3.347822e-05,4.004004
7.0000,1.220802,3.347822e-05,4.951258
8.0000,1.235448,8.442348e-02,6.021213
9.0000,1.302766,7.628536e-02,7.112839
10.0000,1.363403,6.705223e-02,8.185475
11.0000,1.417276,5.893662e-02,9.236379
12.0000,1.465048,5.228284e-02,10.272311
13.0000,1.507507,4.638026e-02,11.298892
14.0000,1.545427,4.114406e-02,12.319493
15.0000,1.579445,3.683691e-02,13.336040
16.0000,1.610120,3.298064e-02,14.349687
17.0000,1.637917,2.980143e-02,15.361167
18.0000,1.663226,2.717798e-02,16.370976
19.0000,1.686357,2.478547e-02,17.379464
20.0000,1.707577,2.260357e-02,18.386886
21.0000,1.727134,2.080459e-02,19.393435
22.0000,1.745201,1.932605e-02,20.399260
23.0000,1.761960,1.778792e-02,21.404475
24.0000,1.777536,1.652377e-02,22.409173
25.0000,1.792054,1.534946e-02,23.413427
26.0000,1.805626,1.439060e-02,24.417300
27.0000,1.818332,1.336790e-02,25.420839
28.0000,1.830268,1.253283e-02,26.424088
29.0000,1.841503,1.185870e-02,27.427080
30.0000,1.852090,1.111791e-02,28.429845
31.0000,1.862082,1.051989e-02,29.432409
32.0000,1.871530,9.954031e-03,30.434792
33.0000,1.880486,9.418614e-03,31.437013
34.0000,1.888988,8.911996e-03,32.439089
35.0000,1.897067,8.432629e-03,33.441032
36.0000,1.904741,7.979046e-03,34.442856
37.0000,1.912069,7.619754e-03,35.444572
38.0000,1.919050,7.276641e-03,36.446188
39.0000,1.925715,6.948978e-03,37.447713
40.0000,1.932090,6.636070e-03,38.449155
41.0000,1.938194,6.337252e-03,39.450521
42.0000,1.944041,6.051889e-03,40.451815
43.0000,1.949642,5.779376e-03,41.453045
44.0000,1.955025,5.570228e-03,42.454214
45.0000,1.960193,5.319403e-03,43.455327
46.0000,1.965166,5.126901e-03,44.456388
47.0000,1.969943,4.941365e-03,45.457401
48.0000,1.974549,4.718858e-03,46.458368
49.0000,1.978993,4.548089e-03,47.459293
50.0000,1.983276,4.383499e-03,48.460179
51.0000,1.987409,4.224866e-03,49.461027
52.0000,1.991398,4.071973e-03,50.461841
53.0000,1.995253,3.960946e-03,51.462623
54.0000,1.998991,3.817604e-03,52.463373
55.0000,2.002603,3.679450e-03,53.464095
56.0000,2.006091,3.546295e-03,54.464790
57.0000,2.009486,3.449601e-03,55.465458
58.0000,2.012764,3.324764e-03,56.466103
59.0000,2.015954,3.234111e-03,57.466725
60.0000,2.019034,3.145929e-03,58.467324
61.0000,2.022042,3.032081e-03,59.467904
62.0000,2.024956,2.949408e-03,60.468463
63.0000,2.027783,2.868989e-03,61.469005
64.0000,2.030533,2.765164e-03,62.469528
65.0000,2.033215,2.689768e-03,63.470035
66.0000,2.035823,2.616428e-03,64.470525
67.0000,2.038360,2.545088e-03,65.471001
68.0000,2.040831,2.475693e-03,66.471462
69.0000,2.043238,2.408191e-03,67.471909
70.0000,2.045583,2.342528e-03,68.472343
71.0000,2.047868,2.278656e-03,69.472764
72.0000,2.050094,2.216526e-03,70.473173
73.0000,2.052276,2.176050e-03,71.473570
74.0000,2.054405,2.116717e-03,72.473957
75.0000,2.056480,2.059002e-03,73.474333
76.0000,2.058501,2.002861e-03,74.474698
77.0000,2.060487,1.966287e-03,75.475054
78.0000,2.062425,1.912673e-03,76.475401
79.0000,2.064309,1.877746e-03,77.475738
80.0000,2.066170,1.826547e-03,78.476067
81.0000,2.067976,1.776744e-03,79.476387
82.0000,2.069754,1.744299e-03,80.476700
83.0000,2.071484,1.696738e-03,81.477005
84.0000,2.073189,1.665754e-03,82.477302
85.0000,2.074844,1.620335e-03,83.477593
86.0000,2.076484,1.590746e-03,84.477876
