Pe,d_s_1d,d_s_3d_direct,d_s_3d_analytic,ratio_3d_1d
0.0,1.04940095,3.14806657,3.14820284,2.99987015
0.5,1.04904539,3.14698071,3.14713617,2.99985181
1.0,1.04803703,3.14388929,3.14411109,2.99978837
2.0,1.04482672,3.13386434,3.13448015,2.99941061
5.0,1.05499401,3.16498192,3.16498203,2.99999990
10.0,1.36388156,4.09164467,4.09164467,3.00000000
20.0,1.70885459,5.12544785,5.12656378,2.99934697
30.0,1.85457795,5.49656439,5.56373386,2.96378180
50.0,1.98940888,5.52301213,5.96822665,2.77620763
75.0,2.05748656,5.37024487,6.17245969,2.61009961
100.0,2.05419262,5.28187098,6.16257786,2.57126373
