Pe,F,dF_dPe
0.00,-1.14472989,0.03039984
0.50,-1.12952997,0.05581134
1.00,-1.08891855,0.09263821
1.50,-1.03689175,0.09590652
2.00,-0.99301203,0.06074802
2.50,-0.97614373,-0.00470119
3.00,-0.99771322,-0.08287461
3.50,-1.05901834,-0.15641457
4.00,-1.15412780,-0.21586404
4.50,-1.27488238,-0.26007411
5.00,-1.41420191,-0.29213783
5.50,-1.56702021,-0.31577453
6.00,-1.72997643,-0.33383126
6.50,-1.90085147,-0.34815453
7.00,-2.07813096,-0.35988319
7.50,-2.26073466,-0.36972854
8.00,-2.44785950,-0.37815306
8.50,-2.63888772,-0.38547126
9.00,-2.83333076,-0.39190570
9.50,-3.03079341,-0.39761923
10.00,-3.23094998,-0.40273442
10.50,-3.43352783,-0.40734577
11.00,-3.63829575,-0.41152767
11.50,-3.84505551,-0.41533977
12.00,-4.05363552,-0.41883061
12.50,-4.26388611,-0.42204021
13.00,-4.47567573,-0.42500200
13.50,-4.68888811,-0.42774413
14.00,-4.90341986,-0.43029055
14.50,-5.11917866,-0.43266176
15.00,-5.33608163,-0.43487546
15.50,-5.55405412,-0.43694699
16.00,-5.77302862,-0.43888975
16.50,-5.99294387,-0.44071548
17.00,-6.21374410,-0.44243452
17.50,-6.43537839,-0.44405603
18.00,-6.65780013,-0.44558813
18.50,-6.88096652,-0.44703805
19.00,-7.10483818,-0.44841228
19.50,-7.32937880,-0.44971663
20.00,-7.55455481,-0.45095631
20.50,-7.78033511,-0.45213604
21.00,-8.00669085,-0.45326009
21.50,-8.23359520,-0.45433233
22.00,-8.46102318,-0.45535627
22.50,-8.68895148,-0.45633512
23.00,-8.91735830,-0.45727180
23.50,-9.14622328,-0.45816899
24.00,-9.37552730,-0.45902915
24.50,-9.60525243,-0.45985452
25.00,-9.83538182,-0.46064719
25.50,-10.06589962,-0.46140906
26.00,-10.29679088,-0.46214190
26.50,-10.52804152,-0.46284735
27.00,-10.75963823,-0.46352691
27.50,-10.99156843,-0.46418200
28.00,-11.22382023,-0.46481390
28.50,-11.45638233,-0.46542384
29.00,-11.68924407,-0.46601294
29.50,-11.92239527,-0.46658225
30.00,-12.15582632,-0.46713277
30.50,-12.38952804,-0.46766539
31.00,-12.62349171,-0.46818100
31.50,-12.85770903,-0.46868038
32.00,-13.09217209,-0.46916430
32.50,-13.32687333,-0.46963346
33.00,-13.56180555,-0.47008853
33.50,-13.79696186,-0.47053014
34.00,-14.03233569,-0.47095887
34.50,-14.26792073,-0.47137529
35.00,-14.50371098,-0.47177991
35.50,-14.73970065,-0.47217324
36.00,-14.97588422,-0.47255573
36.50,-15.21225638,-0.47292784
37.00,-15.44881205,-0.47328997
37.50,-15.68554635,-0.47364253
38.00,-15.92245458,-0.47398589
38.50,-16.15953224,-0.47432040
39.00,-16.39677498,-0.47464641
39.50,-16.63417865,-0.47496424
40.00,-16.87173922,-0.47527418
40.50,-17.10945283,-0.47557653
41.00,-17.34731575,-0.47587157
41.50,-17.58532440,-0.47615956
42.00,-17.82347531,-0.47644075
42.50,-18.06176515,-0.47671537
43.00,-18.30019068,-0.47698365
43.50,-18.53874880,-0.47724582
44.00,-18.77743650,-0.47750208
44.50,-19.01625088,-0.47775262
45.00,-19.25518912,-0.47799763
45.50,-19.49424851,-0.47823731
46.00,-19.73342643,-0.47847181
46.50,-19.97272032,-0.47870131
47.00,-20.21212773,-0.47892596
47.50,-20.45164628,-0.47914592
48.00,-20.69127365,-0.47936133
48.50,-20.93100761,-0.47957233
49.00,-21.17084598,-0.47977905
49.50,-21.41078666,-0.47998163
50.00,-21.65082761,-0.48018019
50.50,-21.89096685,-0.48037484
51.00,-22.13120245,-0.48056571
51.50,-22.37153256,-0.48075289
52.00,-22.61195535,-0.48093650
52.50,-22.85246906,-0.48111664
53.00,-23.09307199,-0.48129340
53.50,-23.33376247,-0.48146689
54.00,-23.57453888,-0.48163718
54.50,-23.81539965,-0.48180437
55.00,-24.05634324,-0.48196853
55.50,-24.29736818,-0.48212976
56.00,-24.53847301,-0.48228814
56.50,-24.77965631,-0.48244372
57.00,-25.02091673,-0.48259660
57.50,-25.26225291,-0.48274683
58.00,-25.50366356,-0.48289449
58.50,-25.74514740,-0.48303965
59.00,-25.98670321,-0.48318235
59.50,-26.22832976,-0.48332268
60.00,-26.47002589,-0.48346068
60.50,-26.71179044,-0.48359642
