name,O,R,alpha,C,Pe,I_unique_S,I_redundancy,I_synergy,I_unique_E,I_SE_Y,framework_fraction
pure_transparent,0.0,1.0,1.0,0.777778,-2.712906,-0.20834888,0.30074744,0.42791084,0.08387422,0.60418362,0.861178
pure_opaque,3.0,1.0,1.0,0.444444,-0.244949,0.14119253,0.34618802,0.38861283,-0.23022796,0.64576541,1.35652
pure_responsive,1.0,3.0,1.0,0.444444,-0.244949,-0.3585534,0.78313312,0.66359003,-0.36759044,0.72057931,1.510132
pure_coupled,1.0,1.0,3.0,0.444444,-0.244949,-0.22531919,0.34618802,0.69838305,-0.23022796,0.58902392,1.390864
balanced,1.0,1.0,1.0,0.666667,-1.564229,-0.29700867,0.54297811,0.60464981,-0.3069779,0.54364135,1.56467
high_pe,2.5,2.5,2.5,0.166667,1.162235,-0.07319056,0.44537785,0.55108976,-0.27230629,0.65097076,1.418308
low_pe,0.5,0.5,0.5,0.833333,-3.516895,-0.25236832,0.396207,0.43102937,-0.08693624,0.48793181,1.178173
opaque_coupled,2.5,0.5,2.5,0.388889,0.004263,0.01792032,0.23056998,0.47628364,-0.17084906,0.55392487,1.308434
responsive_only,0.5,2.5,0.5,0.611111,-1.149205,-0.36322485,0.76019502,0.57107034,-0.22032706,0.74771343,1.294668
opaque_only,2.5,0.5,0.5,0.611111,-1.149205,0.13316503,0.34387129,0.37637218,-0.22915448,0.62425402,1.367085
coupled_only,0.5,0.5,2.5,0.611111,-1.149205,-0.16180398,0.21492359,0.6202492,-0.10020678,0.57316203,1.174832
high_O_high_R,2.5,2.5,0.5,0.388889,0.004263,0.0002884,0.60722901,0.49506986,-0.32650224,0.77608503,1.420704
high_R_high_a,0.5,2.5,2.5,0.388889,0.004263,-0.29227518,0.49941346,0.67747395,-0.21868669,0.66592554,1.328395
extreme_opaque,3.0,0.0,0.0,0.666667,-1.564229,0.36193923,0.25133011,0.30462966,-0.18244799,0.735451,1.248076
extreme_coupled,0.0,0.0,3.0,0.666667,-1.564229,0.0,0.0,0.66656888,0.06888212,0.735451,0.90634
