time,mean_x_A,mean_x_B,pe_weighted_A,pe_weighted_B,r_A,r_B
0.000000,1.520550,1.520550,1.655922,1.515357,0.622216,0.622216
0.040000,1.603932,1.552742,1.756045,1.542386,0.461609,0.042857
0.080000,1.629827,1.553331,1.777564,1.542009,0.375046,0.040103
0.120000,1.632785,1.549357,1.778428,1.536622,0.299982,0.036792
0.160000,1.648026,1.553203,1.790291,1.540247,0.255037,0.032262
0.200000,1.660118,1.554626,1.801142,1.539892,0.219430,0.031280
0.240000,1.679561,1.557716,1.813419,1.541085,0.195050,0.025424
0.280000,1.669052,1.551072,1.805689,1.539791,0.183338,0.025767
0.320000,1.678325,1.551415,1.808453,1.538505,0.167509,0.023702
0.360000,1.699647,1.554847,1.825833,1.537632,0.161202,0.029302
0.400000,1.711981,1.560712,1.841552,1.546837,0.164737,0.029983
0.440000,1.719954,1.557537,1.845405,1.544080,0.151387,0.024052
0.480000,1.707792,1.556765,1.835680,1.542743,0.143874,0.022388
0.520000,1.700154,1.552016,1.829612,1.538637,0.159489,0.023785
0.560000,1.692398,1.552198,1.820168,1.536936,0.149154,0.023456
0.600000,1.701249,1.553598,1.829600,1.540558,0.148984,0.027222
0.640000,1.696445,1.555759,1.826466,1.545790,0.144632,0.024711
0.680000,1.694113,1.548562,1.819170,1.538453,0.139724,0.025672
0.720000,1.688433,1.546246,1.813689,1.534706,0.149844,0.029502
0.760000,1.705092,1.557468,1.830901,1.540959,0.145454,0.027487
0.800000,1.690454,1.550733,1.818667,1.536893,0.148206,0.032329
0.840000,1.704470,1.557868,1.829925,1.543394,0.153772,0.025181
0.880000,1.679604,1.553219,1.808716,1.536944,0.143749,0.026374
0.920000,1.696244,1.552083,1.823197,1.538666,0.141639,0.025148
0.960000,1.685945,1.556416,1.821136,1.541627,0.152333,0.024155
1.000000,1.717478,1.559937,1.837966,1.544209,0.161864,0.031792
1.040000,1.717291,1.554360,1.837438,1.541183,0.147626,0.024403
1.080000,1.712701,1.554271,1.837683,1.539851,0.155538,0.025002
1.120000,1.716332,1.555165,1.837976,1.539605,0.152457,0.024776
1.160000,1.711259,1.555249,1.841324,1.540034,0.163892,0.028978
1.200000,1.697297,1.554870,1.825570,1.541387,0.153583,0.029267
1.240000,1.702977,1.559475,1.828893,1.541755,0.137800,0.024463
1.280000,1.694325,1.555932,1.822039,1.538136,0.143822,0.024549
1.320000,1.708592,1.554400,1.833306,1.540030,0.149304,0.031197
1.360000,1.713612,1.558017,1.839216,1.540917,0.157524,0.032610
1.400000,1.700475,1.558004,1.828013,1.541503,0.169595,0.032389
1.440000,1.698656,1.557885,1.828578,1.543422,0.150548,0.026339
1.480000,1.701978,1.553562,1.831719,1.539786,0.158754,0.030464
1.520000,1.708638,1.559035,1.834202,1.545074,0.159503,0.027213
1.560000,1.713700,1.555051,1.838660,1.540647,0.155380,0.024652
1.600000,1.719375,1.555427,1.841761,1.540524,0.159603,0.027225
1.640000,1.713569,1.551945,1.834673,1.537443,0.158214,0.025964
1.680000,1.706070,1.552257,1.834069,1.535829,0.139926,0.023556
1.720000,1.704755,1.554817,1.826425,1.538990,0.146073,0.029904
1.760000,1.692918,1.553791,1.823004,1.538570,0.132009,0.023340
1.800000,1.689951,1.558818,1.822326,1.543681,0.147945,0.028788
1.840000,1.703780,1.555222,1.831276,1.536151,0.148697,0.024533
1.880000,1.691942,1.560347,1.817418,1.541666,0.156059,0.027603
1.920000,1.710589,1.554790,1.839257,1.538738,0.161268,0.028679
1.960000,1.690702,1.550678,1.819188,1.534250,0.148504,0.026767
2.000000,1.696264,1.556656,1.827859,1.541436,0.144617,0.028228
2.040000,1.702512,1.551020,1.832548,1.537538,0.152576,0.031970
2.080000,1.704687,1.559670,1.830328,1.544897,0.149617,0.029379
2.120000,1.709761,1.561623,1.832190,1.544402,0.154851,0.030675
2.160000,1.695771,1.550360,1.824583,1.537336,0.154216,0.027852
2.200000,1.697378,1.554331,1.825634,1.541413,0.154266,0.029918
2.240000,1.694653,1.556388,1.828128,1.542552,0.141083,0.026691
