J,order_parameter,dr_dJ
0.0,0.096068,-0.000405
0.5,0.095865,-0.000403
1.0,0.095665,-0.000398
1.5,0.095468,-0.000392
2.0,0.095273,-0.000387
2.5,0.095080,-0.000384
3.0,0.094889,-0.000381
3.5,0.094699,-0.000381
4.0,0.094508,-0.000357
4.5,0.094342,-0.001014
5.0,0.093494,-0.005775
5.5,0.088567,-0.013381
6.0,0.080113,-0.011354
6.5,0.077212,-0.003613
7.0,0.076500,-0.000990
7.5,0.076222,-0.000490
8.0,0.076010,-0.000327
8.5,0.075895,-0.000242
9.0,0.075768,-0.000288
9.5,0.075607,-0.000473
10.0,0.075295,-0.008693
10.5,0.066914,-0.008465
11.0,0.066831,-0.007758
11.5,0.059156,-0.007784
12.0,0.059046,-0.000229
12.5,0.058926,-0.000222
13.0,0.058825,-0.000198
13.5,0.058729,-0.000196
14.0,0.058629,-0.000195
14.5,0.058534,-0.000193
15.0,0.058435,-0.000197
