Pe_start,M,K_eff,F,c_function
1,2,1.10251619,-0.05011641,
1,3,1.10324608,-0.05044737,-0.0009929
1,4,1.10324675,-0.05044768,-1.21e-06
1,5,1.10324675,-0.05044768,-0.0
1,6,1.10324675,-0.05044768,-0.0
1,7,1.10324675,-0.05044768,0.0
1,8,1.10324675,-0.05044768,0.0
1,9,1.10324675,-0.05044768,0.0
1,10,1.10324675,-0.05044768,0.0
1,11,1.10324675,-0.05044768,0.0
1,12,1.10324675,-0.05044768,0.0
1,13,1.10324675,-0.05044768,0.0
1,14,1.10324675,-0.05044768,0.0
1,15,1.10324675,-0.05044768,0.0
1,16,1.10324675,-0.05044768,0.0
1,17,1.10324675,-0.05044768,0.0
1,18,1.10324675,-0.05044768,0.0
1,19,1.10324675,-0.05044768,0.0
1,20,1.10324675,-0.05044768,0.0
1,21,1.10324675,-0.05044768,0.0
1,22,1.10324675,-0.05044768,0.0
1,23,1.10324675,-0.05044768,0.0
1,24,1.10324675,-0.05044768,0.0
1,25,1.10324675,-0.05044768,0.0
1,26,1.10324675,-0.05044768,0.0
1,27,1.10324675,-0.05044768,0.0
1,28,1.10324675,-0.05044768,0.0
1,29,1.10324675,-0.05044768,0.0
1,30,1.10324675,-0.05044768,0.0
1,31,1.10324675,-0.05044768,0.0
1,32,1.10324675,-0.05044768,0.0
1,33,1.10324675,-0.05044768,0.0
1,34,1.10324675,-0.05044768,0.0
1,35,1.10324675,-0.05044768,0.0
1,36,1.10324675,-0.05044768,0.0
1,37,1.10324675,-0.05044768,0.0
1,38,1.10324675,-0.05044768,0.0
1,39,1.10324675,-0.05044768,0.0
1,40,1.10324675,-0.05044768,0.0
1,41,1.10324675,-0.05044768,0.0
1,42,1.10324675,-0.05044768,0.0
1,43,1.10324675,-0.05044768,0.0
1,44,1.10324675,-0.05044768,0.0
1,45,1.10324675,-0.05044768,0.0
1,46,1.10324675,-0.05044768,0.0
1,47,1.10324675,-0.05044768,0.0
1,48,1.10324675,-0.05044768,0.0
1,49,1.10324675,-0.05044768,0.0
1,50,1.10324675,-0.05044768,0.0
1,51,1.10324675,-0.05044768,0.0
1,52,1.10324675,-0.05044768,0.0
1,53,1.10324675,-0.05044768,0.0
1,54,1.10324675,-0.05044768,0.0
1,55,1.10324675,-0.05044768,0.0
1,56,1.10324675,-0.05044768,0.0
1,57,1.10324675,-0.05044768,0.0
1,58,1.10324675,-0.05044768,0.0
1,59,1.10324675,-0.05044768,0.0
1,60,1.10324675,-0.05044768,0.0
1,61,1.10324675,-0.05044768,0.0
1,62,1.10324675,-0.05044768,0.0
1,63,1.10324675,-0.05044768,0.0
1,64,1.10324675,-0.05044768,0.0
1,65,1.10324675,-0.05044768,0.0
1,66,1.10324675,-0.05044768,0.0
1,67,1.10324675,-0.05044768,0.0
1,68,1.10324675,-0.05044768,0.0
1,69,1.10324675,-0.05044768,0.0
1,70,1.10324675,-0.05044768,0.0
1,71,1.10324675,-0.05044768,0.0
1,72,1.10324675,-0.05044768,0.0
1,73,1.10324675,-0.05044768,0.0
1,74,1.10324675,-0.05044768,0.0
1,75,1.10324675,-0.05044768,0.0
1,76,1.10324675,-0.05044768,0.0
1,77,1.10324675,-0.05044768,0.0
1,78,1.10324675,-0.05044768,0.0
1,79,1.10324675,-0.05044768,0.0
1,80,1.10324675,-0.05044768,0.0
1,81,1.10324675,-0.05044768,0.0
1,82,1.10324675,-0.05044768,0.0
1,83,1.10324675,-0.05044768,0.0
