Pe_u,Pe_s,lambda,Pe_eff_u,Pe_eff_s,Pe_eff_joint,dominance_ratio,fantasia_ratio,converged,n_iter,best_rule,I_u_y,I_s_y,H_y,separatrix_cross
1,1,0.0,1.0212,1.0212,1.0212,0.5,0.2822,True,1,average,0.52146,0.519876,3.689599,
1,1,1.0,1.071,1.071,1.071,0.5,0.3422,True,54,average,0.647865,0.650099,3.792727,
1,1,3.0,,,,,,False,100,,,,,
1,1,5.0,,,,,,False,100,,,,,
1,5,0.0,1.0212,5.1054,2.4397,0.3599,0.5267,True,1,average,1.609343,0.128545,3.299787,False
1,5,1.0,0.1036,5.7489,2.0512,0.2628,0.561,True,6,average,1.717518,0.128864,3.291434,False
1,5,3.0,0.1052,6.5677,1.8618,0.2155,0.5126,True,9,harmonic,1.142806,0.182699,2.585902,False
1,5,5.0,0.1052,7.0709,2.0154,0.2538,0.4878,True,11,average,0.864096,0.235747,2.25449,False
1,10,0.0,1.0212,10.4678,2.6319,0.1813,0.6752,True,1,harmonic,2.136253,0.035925,3.217217,False
1,10,1.0,0.1058,11.1189,2.1937,0.1326,0.688,True,5,harmonic,2.169454,0.041216,3.213001,False
1,10,3.0,0.1052,11.7214,2.0103,0.1123,0.6289,True,7,harmonic,1.508645,0.08173,2.528996,False
1,10,5.0,0.1052,12.1022,2.1509,0.1279,0.5916,True,8,harmonic,1.176224,0.108236,2.171095,False
1,20,0.0,1.0212,21.7894,2.743,0.0917,0.7958,True,1,harmonic,2.530514,0.012293,3.195286,False
1,20,1.0,0.1057,22.4944,2.3046,0.0687,0.7998,True,4,harmonic,2.538281,0.014138,3.191243,False
1,20,3.0,0.1052,23.0446,2.1544,0.0608,0.7495,True,7,harmonic,1.846744,0.025809,2.498539,False
1,20,5.0,0.1052,23.3681,2.2937,0.0681,0.7124,True,7,harmonic,1.488854,0.033394,2.136776,False
1,40,0.0,1.0212,46.7628,2.886,0.0484,0.8675,True,1,harmonic,2.759053,0.002723,3.18376,False
1,40,1.0,0.1057,47.6058,2.4694,0.0377,0.8669,True,4,harmonic,2.761842,0.002466,3.188886,False
1,40,3.0,0.1052,48.2058,2.3585,0.0348,0.8271,True,5,harmonic,2.064241,0.003173,2.499465,False
1,40,5.0,0.1052,48.5341,2.4997,0.0385,0.7975,True,7,harmonic,1.712705,0.004749,2.153531,False
1,60,0.0,1.0212,73.7629,3.0088,0.034,0.8897,True,1,harmonic,2.82959,0.000483,3.180872,False
1,60,1.0,0.1057,74.6367,2.61,0.0273,0.8865,True,4,harmonic,2.823678,0.000467,3.185853,False
1,60,3.0,0.1052,75.2322,2.5294,0.0259,0.8497,True,5,harmonic,2.129692,0.000775,2.507386,False
1,60,5.0,0.1052,75.5459,2.6721,0.0283,0.8223,True,6,harmonic,1.773681,0.001247,2.158513,False
5,1,0.0,5.1054,1.0212,2.4397,0.3599,0.5251,True,1,average,0.12847,1.604748,3.300755,False
5,1,1.0,5.7489,0.1036,2.0512,0.2628,0.5616,True,6,average,0.127165,1.722218,3.293232,False
5,1,3.0,6.5677,0.1052,1.8618,0.2155,0.513,True,9,harmonic,0.187266,1.142603,2.592539,False
5,1,5.0,7.0709,0.1052,2.0154,0.2538,0.4901,True,11,average,0.236572,0.867812,2.253257,False
5,5,0.0,5.1054,5.1054,5.1054,0.5,0.4043,True,1,average,0.431088,0.429207,2.128064,
5,5,1.0,4.6605,4.6605,4.6605,0.5,0.4523,True,8,average,0.545322,0.535763,2.39024,
5,5,3.0,,,,,,False,100,,,,,
5,5,5.0,,,,,,False,100,,,,,
5,10,0.0,5.1054,10.4678,6.4863,0.2973,0.4973,True,1,average,0.770873,0.147248,1.846236,
5,10,1.0,4.5062,10.5826,5.9093,0.1819,0.5454,True,5,average,0.967219,0.14525,2.039902,
5,10,3.0,0.1056,12.3372,3.0276,-0.3945,0.6582,True,7,harmonic,1.473705,0.143766,2.457406,
5,10,5.0,0.1052,11.7248,2.352,-0.5296,0.5438,True,13,harmonic,0.802958,0.18529,1.817356,
5,20,0.0,5.1054,21.7894,7.1812,0.1454,0.6469,True,1,harmonic,1.079089,0.047003,1.740706,
5,20,1.0,4.4796,21.9967,6.42,0.0947,0.687,True,5,harmonic,1.295461,0.044653,1.950586,
5,20,3.0,0.1055,23.7349,3.1466,-0.1236,0.7507,True,6,harmonic,1.729852,0.048491,2.368833,
5,20,5.0,0.1052,22.9161,2.5057,-0.1663,0.6581,True,6,harmonic,1.076542,0.061713,1.72966,
5,40,0.0,5.1054,46.7628,7.6515,0.0758,0.7664,True,1,harmonic,1.290063,0.007624,1.693328,
5,40,1.0,4.4676,47.0508,6.798,0.0514,0.7919,True,5,harmonic,1.490118,0.007527,1.891277,
5,40,3.0,0.1054,49.0386,3.3204,-0.048,0.8168,True,5,harmonic,1.917591,0.006868,2.356037,
5,40,5.0,0.1052,47.9622,2.7215,-0.0651,0.7404,True,5,harmonic,1.261064,0.008743,1.715129,
5,60,0.0,5.1054,73.7629,7.9767,0.0541,0.8077,True,1,harmonic,1.35052,0.001482,1.673882,
5,60,1.0,4.4632,74.0787,7.0851,0.0379,0.8283,True,4,harmonic,1.566975,0.001471,1.893474,
5,60,3.0,0.1054,76.0802,3.4751,-0.0277,0.8386,True,5,harmonic,1.977887,0.002151,2.361014,
5,60,5.0,0.1052,74.9509,2.8997,-0.0382,0.7644,True,5,harmonic,1.318396,0.002112,1.727581,
10,1,0.0,10.4678,1.0212,2.6319,0.1813,0.6749,True,1,harmonic,0.035362,2.133601,3.213991,False
10,1,1.0,11.1189,0.1058,2.1937,0.1326,0.6883,True,5,harmonic,0.044297,2.16954,3.216448,False
10,1,3.0,11.7214,0.1052,2.0103,0.1123,0.6287,True,7,harmonic,0.07983,1.504919,2.520773,False
10,1,5.0,12.1022,0.1052,2.1509,0.1279,0.5915,True,8,harmonic,0.103671,1.181172,2.172097,False
10,5,0.0,10.4678,5.1054,6.4863,0.2973,0.4969,True,1,average,0.14777,0.772876,1.852961,
10,5,1.0,10.5826,4.5062,5.9093,0.1819,0.5448,True,5,average,0.145215,0.96358,2.03534,
10,5,3.0,12.3372,0.1056,3.0276,-0.3945,0.6568,True,7,harmonic,0.147683,1.465595,2.456443,
10,5,5.0,11.7248,0.1052,2.352,-0.5296,0.546,True,13,harmonic,0.184462,0.808479,1.818532,
10,10,0.0,10.4678,10.4678,10.4678,0.5,0.4427,True,1,average,0.302671,0.30878,1.381173,
10,10,1.0,10.4134,10.4134,10.4134,0.5,0.4468,True,4,average,0.309876,0.313409,1.394965,
10,10,3.0,9.5055,9.5055,9.5055,0.5,0.4841,True,7,average,0.376047,0.371773,1.544895,
10,10,5.0,,,,,,False,100,,,,,
10,20,0.0,10.4678,21.7894,13.5576,0.3558,0.5312,True,1,average,0.52261,0.097133,1.166578,
10,20,1.0,10.3774,21.8111,13.4732,0.3473,0.5351,True,4,average,0.52858,0.100203,1.175069,
10,20,3.0,9.2758,21.9731,12.5541,0.2554,0.5677,True,5,average,0.625576,0.095637,1.270523,
10,20,5.0,2.3608,25.6301,4.2807,-0.5719,0.719,True,6,harmonic,1.261758,0.082066,1.869137,
10,40,0.0,10.4678,46.7628,15.3467,0.1782,0.6579,True,1,harmonic,0.677135,0.017475,1.055824,
10,40,1.0,10.3593,46.8267,15.2111,0.1737,0.6665,True,3,harmonic,0.698364,0.017704,1.074444,
10,40,3.0,9.2287,47.0999,14.0494,0.135,0.6913,True,5,harmonic,0.794038,0.016206,1.172077,
10,40,5.0,2.3469,51.3312,4.5123,-0.1829,0.7758,True,5,harmonic,1.389791,0.014392,1.809904,
10,60,0.0,10.4678,73.7629,16.1959,0.1239,0.7176,True,1,harmonic,0.725173,0.00352,1.015413,
10,60,1.0,10.3526,73.8437,16.0384,0.1208,0.7197,True,3,harmonic,0.736106,0.003039,1.026977,
10,60,3.0,9.2113,74.1578,14.8018,0.096,0.7446,True,5,harmonic,0.843201,0.002367,1.135555,
10,60,5.0,2.3402,78.3318,4.7309,-0.1054,0.7948,True,5,harmonic,1.430678,0.002666,1.803424,
20,1,0.0,21.7894,1.0212,2.743,0.0917,0.7949,True,1,harmonic,0.010954,2.526543,3.192192,False
20,1,1.0,22.4944,0.1057,2.3046,0.0687,0.7996,True,4,harmonic,0.014516,2.537081,3.191269,False
20,1,3.0,23.0446,0.1052,2.1544,0.0608,0.748,True,7,harmonic,0.025285,1.842698,2.497162,False
20,1,5.0,23.3681,0.1052,2.2937,0.0681,0.7153,True,7,harmonic,0.033396,1.4972,2.139798,False
20,5,0.0,21.7894,5.1054,7.1812,0.1454,0.6457,True,1,harmonic,0.046569,1.074354,1.735999,
20,5,1.0,21.9967,4.4796,6.42,0.0947,0.6877,True,5,harmonic,0.044615,1.294178,1.946886,
20,5,3.0,23.7349,0.1055,3.1466,-0.1236,0.7509,True,6,harmonic,0.049743,1.734658,2.37624,
20,5,5.0,22.9161,0.1052,2.5057,-0.1663,0.655,True,6,harmonic,0.063017,1.068112,1.726965,
20,10,0.0,21.7894,10.4678,13.5576,0.3558,0.526,True,1,average,0.098221,0.514658,1.165177,
20,10,1.0,21.8111,10.3774,13.4732,0.3473,0.5319,True,4,average,0.096034,0.531562,1.179914,
20,10,3.0,21.9731,9.2758,12.5541,0.2554,0.5647,True,5,average,0.094807,0.620666,1.26708,
20,10,5.0,25.6301,2.3608,4.2807,-0.5719,0.7221,True,6,harmonic,0.085824,1.265725,1.871822,
20,20,0.0,21.7894,21.7894,21.7894,0.5,0.463,True,1,average,0.187809,0.192459,0.821338,
20,20,1.0,21.7707,21.7707,21.7707,0.5,0.4613,True,3,average,0.189092,0.189265,0.820116,
20,20,3.0,21.7331,21.7331,21.7331,0.5,0.4566,True,4,average,0.18895,0.186378,0.821948,
20,20,5.0,21.685,21.685,21.685,0.5,0.465,True,4,average,0.189255,0.192274,0.820544,
20,40,0.0,21.7894,46.7628,28.6535,0.4327,0.5066,True,1,average,0.273391,0.034227,0.607263,
20,40,1.0,21.7503,46.7776,28.6163,0.4308,0.5145,True,3,average,0.278493,0.036048,0.611295,
20,40,3.0,21.6715,46.8076,28.5412,0.4271,0.517,True,3,average,0.277804,0.03688,0.608618,
20,40,5.0,21.5814,46.839,28.4568,0.4228,0.5199,True,4,average,0.281662,0.035983,0.610986,
20,60,0.0,21.7894,73.7629,31.5083,0.2877,0.5695,True,1,average,0.295545,0.005549,0.528682,
20,60,1.0,21.7428,73.792,31.4529,0.2863,0.5708,True,3,average,0.29453,0.005744,0.52608,
20,60,3.0,21.649,73.8507,31.3411,0.2835,0.5762,True,3,average,0.298349,0.007977,0.531599,
20,60,5.0,21.5439,73.911,31.2187,0.2805,0.5789,True,4,average,0.304055,0.006465,0.53643,
40,1,0.0,46.7628,1.0212,2.886,0.0484,0.8671,True,1,harmonic,0.002149,2.758791,3.184253,False
40,1,1.0,47.6058,0.1057,2.4694,0.0377,0.8669,True,4,harmonic,0.002268,2.759972,3.18625,False
40,1,3.0,48.2058,0.1052,2.3585,0.0348,0.8265,True,5,harmonic,0.003663,2.062316,2.499535,False
40,1,5.0,48.5341,0.1052,2.4997,0.0385,0.793,True,7,harmonic,0.004549,1.698843,2.147963,False
40,5,0.0,46.7628,5.1054,7.6515,0.0758,0.7668,True,1,harmonic,0.007085,1.286924,1.68745,
40,5,1.0,47.0508,4.4676,6.798,0.0514,0.7889,True,5,harmonic,0.007137,1.488481,1.895821,
40,5,3.0,49.0386,0.1054,3.3204,-0.048,0.8156,True,5,harmonic,0.00703,1.913288,2.354533,
40,5,5.0,47.9622,0.1052,2.7215,-0.0651,0.7378,True,5,harmonic,0.008184,1.254454,1.711458,
40,10,0.0,46.7628,10.4678,15.3467,0.1782,0.6628,True,1,harmonic,0.018184,0.685808,1.062072,
40,10,1.0,46.8267,10.3593,15.2111,0.1737,0.6602,True,3,harmonic,0.016559,0.685127,1.062804,
40,10,3.0,47.0999,9.2287,14.0494,0.135,0.6916,True,5,harmonic,0.01579,0.79292,1.169301,
40,10,5.0,51.3312,2.3469,4.5123,-0.1829,0.776,True,5,harmonic,0.012453,1.398437,1.818271,
40,20,0.0,46.7628,21.7894,28.6535,0.4327,0.5179,True,1,average,0.034527,0.279595,0.606548,
40,20,1.0,46.7776,21.7503,28.6163,0.4308,0.513,True,3,average,0.036368,0.277463,0.611813,
40,20,3.0,46.8076,21.6715,28.5412,0.4271,0.5103,True,3,average,0.034937,0.275065,0.607529,
40,20,5.0,46.839,21.5814,28.4568,0.4228,0.5159,True,4,average,0.034674,0.279987,0.609966,
40,40,0.0,46.7628,46.7628,46.7628,0.5,0.4151,True,1,average,0.052652,0.050646,0.248824,
40,40,1.0,46.7527,46.7527,46.7527,0.5,0.4192,True,3,average,0.053167,0.053144,0.253615,
40,40,3.0,46.7325,46.7325,46.7325,0.5,0.4149,True,3,average,0.051002,0.05436,0.253926,
40,40,5.0,46.7122,46.7122,46.7122,0.5,0.4145,True,3,average,0.053476,0.051526,0.253328,
40,60,0.0,46.7628,73.7629,56.8375,0.8419,0.4447,True,1,max,0.050472,0.009631,0.135159,
40,60,1.0,46.7436,73.7657,56.8228,0.8411,0.4409,True,3,max,0.051344,0.009676,0.138408,
40,60,3.0,46.705,73.7714,56.7933,0.8397,0.4623,True,3,max,0.054351,0.010212,0.139644,
40,60,5.0,46.6664,73.7771,56.7638,0.8382,0.4424,True,3,max,0.050497,0.009947,0.136614,
60,1,0.0,73.7629,1.0212,3.0088,0.034,0.8889,True,1,harmonic,0.000742,2.824439,3.178343,False
60,1,1.0,74.6367,0.1057,2.61,0.0273,0.8872,True,4,harmonic,0.000515,2.824432,3.18403,False
60,1,3.0,75.2322,0.1052,2.5294,0.0259,0.8502,True,5,harmonic,0.00086,2.132704,2.509489,False
60,1,5.0,75.5459,0.1052,2.6721,0.0283,0.8212,True,6,harmonic,0.001233,1.768775,2.155288,False
60,5,0.0,73.7629,5.1054,7.9767,0.0541,0.8105,True,1,harmonic,0.001819,1.353098,1.671693,
60,5,1.0,74.0787,4.4632,7.0851,0.0379,0.8273,True,4,harmonic,0.001968,1.558041,1.885648,
60,5,3.0,76.0802,0.1054,3.4751,-0.0277,0.8385,True,5,harmonic,0.001495,1.971984,2.353581,
60,5,5.0,74.9509,0.1052,2.8997,-0.0382,0.764,True,5,harmonic,0.001643,1.315982,1.724533,
60,10,0.0,73.7629,10.4678,16.1959,0.1239,0.7174,True,1,harmonic,0.003141,0.722658,1.011771,
60,10,1.0,73.8437,10.3526,16.0384,0.1208,0.7166,True,3,harmonic,0.003672,0.729152,1.022684,
60,10,3.0,74.1578,9.2113,14.8018,0.096,0.7434,True,5,harmonic,0.003013,0.838174,1.131499,
60,10,5.0,78.3318,2.3402,4.7309,-0.1054,0.7949,True,5,harmonic,0.002784,1.432539,1.805586,
60,20,0.0,73.7629,21.7894,31.5083,0.2877,0.5717,True,1,average,0.005998,0.295997,0.528221,
60,20,1.0,73.792,21.7428,31.4529,0.2863,0.5749,True,3,average,0.005937,0.300761,0.533451,
60,20,3.0,73.8507,21.649,31.3411,0.2835,0.5674,True,3,average,0.006709,0.296729,0.534789,
60,20,5.0,73.911,21.5439,31.2187,0.2805,0.5758,True,4,average,0.006133,0.300494,0.53254,
60,40,0.0,73.7629,46.7628,56.8375,0.8419,0.4456,True,1,max,0.009663,0.049974,0.133837,
60,40,1.0,73.7657,46.7436,56.8228,0.8411,0.4518,True,3,max,0.010768,0.05208,0.139095,
60,40,3.0,73.7714,46.705,56.7933,0.8397,0.44,True,3,max,0.009304,0.050106,0.13502,
60,40,5.0,73.7771,46.6664,56.7638,0.8382,0.4431,True,3,max,0.009737,0.050558,0.136061,
60,60,0.0,73.7629,73.7629,73.7629,0.5,0.4592,True,1,quadratic,0.00929,0.008067,0.037798,
60,60,1.0,73.7561,73.7561,73.7561,0.5,0.467,True,2,quadratic,0.008594,0.008391,0.036371,
60,60,3.0,73.7424,73.7424,73.7424,0.5,0.4664,True,3,quadratic,0.007921,0.008898,0.036064,
60,60,5.0,73.7288,73.7288,73.7288,0.5,0.4665,True,3,quadratic,0.008808,0.00816,0.036371,
