candidate_name,f_value,entropy_production,free_energy_barrier,geodesic_curvature,kl_divergence,fisher_information,separatrix_pe_distance,boundary_distance,c_range_coverage,pe_curve_symmetry,effective_temperature
cos(theta),0.5000000000,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,19.6225127947,19.6225127947,0.2250790790,inf,0.0562498913
cos(theta/2),0.8660254038,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,11.4876527886,11.4876527886,0.3898484006,inf,0.0562498913
cos(theta/3),0.9396926208,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,10.4520536377,10.4520536377,0.4230102993,inf,0.0562498913
cos(2*theta/3),0.7660444431,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,13.1584740582,13.1584740582,0.3448411555,inf,0.0562498913
cos(theta/4),0.9659258263,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,10.1182210157,10.1182210157,0.4348193908,inf,0.0562498913
cos(3*theta/4),0.7071067812,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,14.3106653472,14.3106653472,0.3183098862,inf,0.0562498913
cos(theta)^2,0.2500000000,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,29.7738298024,29.7738298024,0.1125395395,inf,0.0562498913
cos(theta/2)^2,0.7500000000,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,13.4588723357,13.4588723357,0.3376186186,inf,0.0562498913
cos(theta)^(1/2),0.7071067812,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,14.3106653472,14.3106653472,0.3183098862,inf,0.0562498913
sin(theta),0.8660254038,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,11.4876527886,11.4876527886,0.3898484006,inf,0.0562498913
sin(theta/2),0.5000000000,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,19.6225127947,19.6225127947,0.2250790790,inf,0.0562498913
sin(theta/3),0.3420201433,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,25.4377188660,25.4377188660,0.1539631577,inf,0.0562498913
sin(2*theta/3),0.6427876097,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,15.7323412436,15.7323412436,0.2893560864,inf,0.0562498913
1-sin(theta/2)^2,0.7500000000,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,13.4588723357,13.4588723357,0.3376186186,inf,0.0562498913
sin(theta)/theta,0.8269933431,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,12.1007852629,12.1007852629,0.3722778001,inf,0.0562498913
theta/pi,0.3333333333,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,25.8138288863,25.8138288863,0.1500527194,inf,0.0562498913
1 - theta/pi,0.6666666667,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,15.1831636482,15.1831636482,0.3001054387,inf,0.0562498913
(pi - theta)/pi,0.6666666667,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,15.1831636482,15.1831636482,0.3001054387,inf,0.0562498913
2*theta/pi,0.6666666667,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,15.1831636482,15.1831636482,0.3001054387,inf,0.0562498913
1 - 2*theta/pi,0.3333333333,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,25.8138288863,25.8138288863,0.1500527194,inf,0.0562498913
theta/(2*pi),0.1666666667,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,34.4514292383,34.4514292383,0.0750263597,inf,0.0562498913
exp(-theta),0.3509198072,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,25.0591027938,25.0591027938,0.1579694140,inf,0.0562498913
exp(-theta^2),0.3339971860,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,25.7848553515,25.7848553515,0.1503515580,inf,0.0562498913
exp(-theta/2),0.5923848472,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,16.9809867287,16.9809867287,0.2666668717,inf,0.0562498913
exp(-theta^2/2),0.5779248965,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,17.3629891289,17.3629891289,0.2601576069,inf,0.0562498913
1/sqrt(1+theta),0.6989081797,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,14.4819184634,14.4819184634,0.3146192189,inf,0.0562498913
1/(1+theta),0.4884726437,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,19.9876064451,19.9876064451,0.2198899456,inf,0.0562498913
1/(1+theta^2),0.4769575349,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,20.3607966896,20.3607966896,0.2147063254,inf,0.0562498913
1/sqrt(1+theta^2),0.6906211226,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,14.6578835141,14.6578835141,0.3108887325,inf,0.0562498913
(1+cos(theta))/2,0.7500000000,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,13.4588723357,13.4588723357,0.3376186186,inf,0.0562498913
sqrt(1-theta^2/pi^2),0.9428090416,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,10.4114839262,10.4114839262,0.4244131816,inf,0.0562498913
"|d^1_{1,0}(theta)|",0.6123724357,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,16.4707666641,16.4707666641,0.2756644477,inf,0.0562498913
"d^1_{1,1}(theta)",0.7500000000,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,13.4588723357,13.4588723357,0.3376186186,inf,0.0562498913
