name,model_type,O,R,alpha,C,Pe,I_unique_S,I_redundancy,I_synergy,I_unique_E,I_S_Y,I_E_Y,I_SE_Y
Llama-2-7B,base,1.98,0.75,1.02,0.583333,-16.0595,-0.05941367,0.40093057,0.47199459,-0.25436005,0.3415169,0.14657051,0.55915144
Llama-2-13B,base,1.9,0.75,1.13,0.58,-15.7221,-0.0994814,0.41058905,0.49545063,-0.25838123,0.31110764,0.15220782,0.54817705
Llama-2-70B,base,1.88,0.75,1.29,0.564444,-14.1932,-0.12909167,0.41283548,0.51614683,-0.25930668,0.28374381,0.1535288,0.54058396
Mistral-7B,base,1.73,0.75,1.17,0.594444,-17.2104,-0.14658401,0.42904684,0.52142417,-0.26587688,0.28246283,0.16316996,0.53801012
Mixtral-8x7B,base,1.61,0.75,1.27,0.596667,-17.4456,-0.18800474,0.44094373,0.54770047,-0.27057916,0.25293899,0.17036457,0.5300603
Falcon-7B,base,1.94,0.75,0.9,0.601111,-17.9213,-0.044135,0.40404291,0.46131998,-0.25566334,0.35990791,0.14837956,0.56556454
Falcon-40B,base,1.74,0.75,1.16,0.594444,-17.2104,-0.13966338,0.42602826,0.51723781,-0.26466781,0.28636488,0.16136044,0.53893488
MPT-7B,base,2.0,0.75,0.86,0.598889,-17.6826,-0.01783394,0.39563721,0.44764757,-0.25212694,0.37780326,0.14351027,0.5733239
Phi-2,base,1.68,0.75,1.13,0.604444,-18.2827,-0.14682577,0.43095734,0.51982256,-0.26663877,0.28413157,0.16431858,0.53731536
Gemma-7B,base,1.67,0.75,1.19,0.598889,-17.6826,-0.16175424,0.43413636,0.53018775,-0.26790077,0.27238212,0.16623559,0.5346691
Llama-2-7B-Chat,aligned,1.64,1.95,1.17,0.471111,-6.2333,-0.17591687,0.56905871,0.56408657,-0.31520749,0.39314184,0.25385122,0.64202092
Llama-2-13B-Chat,aligned,1.55,1.8,1.27,0.486667,-7.4483,-0.18992306,0.55016592,0.57189388,-0.30928812,0.36024286,0.2408778,0.62284862
Llama-2-70B-Chat,aligned,1.43,1.65,1.42,0.5,-8.5184,-0.20957777,0.52835953,0.58594875,-0.30217926,0.31878176,0.22618027,0.60255125
GPT-3.5-Turbo,aligned,1.59,2.1,1.35,0.44,-3.8888,-0.19366205,0.57167034,0.58036217,-0.31600846,0.37800829,0.25566188,0.642362
GPT-4,aligned,1.26,1.35,1.55,0.537778,-11.7291,-0.23196101,0.49325004,0.60133321,-0.29009614,0.26128903,0.20315391,0.57252611
GPT-4o,aligned,1.2,1.5,1.6,0.522222,-10.3716,-0.2513729,0.51451935,0.61800393,-0.29751108,0.26314644,0.21700827,0.58363929
GPT-4o-mini,aligned,1.35,1.65,1.45,0.505556,-8.973,-0.22700581,0.53386262,0.59735582,-0.30400151,0.30685681,0.2298611,0.60021111
Claude-3-Opus,aligned,1.17,1.2,1.55,0.564444,-14.1932,-0.24486224,0.48185168,0.60759523,-0.28600031,0.23698944,0.19585137,0.55858437
Claude-3-Sonnet,aligned,1.23,1.35,1.5,0.546667,-12.5301,-0.23971968,0.50199229,0.60351701,-0.29317953,0.2622726,0.20881276,0.57261009
Claude-3-Haiku,aligned,1.32,1.5,1.4,0.531111,-11.1407,-0.22778477,0.52343536,0.59352279,-0.3005324,0.29565059,0.22290295,0.58864098
Mistral-7B-Instruct,aligned,1.44,1.8,1.25,0.501111,-8.6089,-0.21454913,0.56502894,0.5846207,-0.31396338,0.35047981,0.25106556,0.62113712
Mixtral-8x7B-Instruct,aligned,1.34,1.65,1.35,0.517778,-9.9933,-0.23041051,0.54635548,0.59507745,-0.30806743,0.31594497,0.23828805,0.60295499
Gemma-7B-IT,aligned,1.38,1.65,1.3,0.518889,-10.0875,-0.22170104,0.54751838,0.58812901,-0.30844093,0.32581734,0.23907745,0.60550541
Phi-2-DPO,aligned,1.5,1.5,1.2,0.533333,-11.3357,-0.18766993,0.5257098,0.5632054,-0.30129499,0.33803987,0.22441481,0.59995028
Falcon-40B-Instruct,aligned,1.53,1.8,1.25,0.491111,-7.8018,-0.19429956,0.55466055,0.57363652,-0.31071637,0.36036099,0.24394419,0.62328115
Vicuna-13B,aligned,1.47,1.95,1.3,0.475556,-6.5771,-0.21365651,0.57361082,0.58783393,-0.31660088,0.3599543,0.25700993,0.63118735
WizardLM-13B,aligned,1.56,2.1,1.25,0.454444,-4.9652,-0.19972295,0.5861219,0.58066368,-0.32036544,0.38639895,0.26575646,0.64669719
