topology,scenario,timestep,n_infected
erdos_renyi,A_random,0.0000,60
erdos_renyi,A_random,0.1000,36
erdos_renyi,A_random,0.2000,21
erdos_renyi,A_random,0.3000,1
erdos_renyi,A_random,0.4000,0
erdos_renyi,A_random,0.5000,0
erdos_renyi,A_random,0.6000,14
erdos_renyi,A_random,0.7000,24
erdos_renyi,A_random,0.8000,28
erdos_renyi,A_random,0.9000,29
erdos_renyi,A_random,1.0000,31
erdos_renyi,A_random,1.1000,30
erdos_renyi,A_random,1.2000,30
erdos_renyi,A_random,1.3000,30
erdos_renyi,A_random,1.4000,29
erdos_renyi,A_random,1.5000,30
erdos_renyi,A_random,1.6000,29
erdos_renyi,A_random,1.7000,27
erdos_renyi,A_random,1.8000,26
erdos_renyi,A_random,1.9000,27
erdos_renyi,A_random,2.0000,26
erdos_renyi,A_random,2.1000,29
erdos_renyi,A_random,2.2000,27
erdos_renyi,A_random,2.3000,26
erdos_renyi,A_random,2.4000,25
erdos_renyi,A_random,2.5000,24
erdos_renyi,A_random,2.6000,23
erdos_renyi,A_random,2.7000,28
erdos_renyi,A_random,2.8000,29
erdos_renyi,A_random,2.9000,28
erdos_renyi,A_random,3.0000,26
erdos_renyi,A_random,3.1000,27
erdos_renyi,A_random,3.2000,27
erdos_renyi,A_random,3.3000,25
erdos_renyi,A_random,3.4000,27
erdos_renyi,A_random,3.5000,28
erdos_renyi,A_random,3.6000,27
erdos_renyi,A_random,3.7000,27
erdos_renyi,A_random,3.8000,26
erdos_renyi,A_random,3.9000,26
erdos_renyi,A_random,4.0000,28
erdos_renyi,A_random,4.1000,28
erdos_renyi,A_random,4.2000,28
erdos_renyi,A_random,4.3000,30
erdos_renyi,A_random,4.4000,29
erdos_renyi,A_random,4.5000,27
erdos_renyi,A_random,4.6000,29
erdos_renyi,A_random,4.7000,28
erdos_renyi,A_random,4.8000,29
erdos_renyi,A_random,4.9000,27
erdos_renyi,A_random,5.0000,27
erdos_renyi,A_random,5.1000,27
erdos_renyi,A_random,5.2000,24
erdos_renyi,A_random,5.3000,24
erdos_renyi,A_random,5.4000,26
erdos_renyi,A_random,5.5000,26
erdos_renyi,A_random,5.6000,27
erdos_renyi,A_random,5.7000,30
erdos_renyi,A_random,5.8000,27
erdos_renyi,A_random,5.9000,29
erdos_renyi,A_random,6.0000,27
erdos_renyi,A_random,6.1000,26
erdos_renyi,A_random,6.2000,29
erdos_renyi,A_random,6.3000,29
erdos_renyi,A_random,6.4000,30
erdos_renyi,A_random,6.5000,31
erdos_renyi,A_random,6.6000,27
erdos_renyi,A_random,6.7000,26
erdos_renyi,A_random,6.8000,27
erdos_renyi,A_random,6.9000,28
erdos_renyi,A_random,7.0000,28
erdos_renyi,A_random,7.1000,29
erdos_renyi,A_random,7.2000,29
erdos_renyi,A_random,7.3000,29
erdos_renyi,A_random,7.4000,27
erdos_renyi,A_random,7.5000,25
erdos_renyi,A_random,7.6000,26
erdos_renyi,A_random,7.7000,26
erdos_renyi,A_random,7.8000,28
erdos_renyi,A_random,7.9000,28
erdos_renyi,A_random,8.0000,28
erdos_renyi,A_random,8.1000,28
erdos_renyi,A_random,8.2000,27
erdos_renyi,A_random,8.3000,26
erdos_renyi,A_random,8.4000,31
erdos_renyi,A_random,8.5000,28
erdos_renyi,A_random,8.6000,27
erdos_renyi,A_random,8.7000,26
erdos_renyi,A_random,8.8000,27
erdos_renyi,A_random,8.9000,28
erdos_renyi,A_random,9.0000,28
erdos_renyi,A_random,9.1000,30
erdos_renyi,A_random,9.2000,28
erdos_renyi,A_random,9.3000,28
erdos_renyi,A_random,9.4000,26
erdos_renyi,A_random,9.5000,27
erdos_renyi,A_random,9.6000,27
erdos_renyi,A_random,9.7000,26
erdos_renyi,A_random,9.8000,27
erdos_renyi,A_random,9.9000,26
erdos_renyi,A_random,10.0000,29
erdos_renyi,A_random,10.1000,26
erdos_renyi,A_random,10.2000,28
erdos_renyi,A_random,10.3000,29
erdos_renyi,A_random,10.4000,30
erdos_renyi,A_random,10.5000,28
erdos_renyi,A_random,10.6000,30
erdos_renyi,A_random,10.7000,28
erdos_renyi,A_random,10.8000,29
erdos_renyi,A_random,10.9000,26
erdos_renyi,A_random,11.0000,25
erdos_renyi,A_random,11.1000,24
erdos_renyi,A_random,11.2000,28
erdos_renyi,A_random,11.3000,28
erdos_renyi,A_random,11.4000,27
erdos_renyi,A_random,11.5000,27
erdos_renyi,A_random,11.6000,28
erdos_renyi,A_random,11.7000,27
erdos_renyi,A_random,11.8000,29
erdos_renyi,A_random,11.9000,28
erdos_renyi,A_random,12.0000,29
erdos_renyi,A_random,12.1000,26
erdos_renyi,A_random,12.2000,26
erdos_renyi,A_random,12.3000,25
erdos_renyi,A_random,12.4000,26
erdos_renyi,A_random,12.5000,25
erdos_renyi,A_random,12.6000,23
erdos_renyi,A_random,12.7000,24
erdos_renyi,A_random,12.8000,26
erdos_renyi,A_random,12.9000,27
erdos_renyi,A_random,13.0000,28
erdos_renyi,A_random,13.1000,32
erdos_renyi,A_random,13.2000,32
erdos_renyi,A_random,13.3000,29
erdos_renyi,A_random,13.4000,29
erdos_renyi,A_random,13.5000,28
erdos_renyi,A_random,13.6000,28
erdos_renyi,A_random,13.7000,30
erdos_renyi,A_random,13.8000,29
erdos_renyi,A_random,13.9000,31
erdos_renyi,A_random,14.0000,33
erdos_renyi,A_random,14.1000,32
erdos_renyi,A_random,14.2000,30
erdos_renyi,A_random,14.3000,33
erdos_renyi,A_random,14.4000,30
erdos_renyi,A_random,14.5000,28
erdos_renyi,A_random,14.6000,29
erdos_renyi,A_random,14.7000,28
erdos_renyi,A_random,14.8000,27
erdos_renyi,A_random,14.9000,29
erdos_renyi,A_random,15.0000,28
erdos_renyi,A_random,15.1000,27
erdos_renyi,A_random,15.2000,27
erdos_renyi,A_random,15.3000,25
erdos_renyi,A_random,15.4000,26
erdos_renyi,A_random,15.5000,25
erdos_renyi,A_random,15.6000,26
erdos_renyi,A_random,15.7000,28
erdos_renyi,A_random,15.8000,31
erdos_renyi,A_random,15.9000,29
erdos_renyi,A_random,16.0000,28
erdos_renyi,A_random,16.1000,30
erdos_renyi,A_random,16.2000,30
erdos_renyi,A_random,16.3000,30
erdos_renyi,A_random,16.4000,30
erdos_renyi,A_random,16.5000,28
erdos_renyi,A_random,16.6000,30
erdos_renyi,A_random,16.7000,31
erdos_renyi,A_random,16.8000,31
erdos_renyi,A_random,16.9000,33
erdos_renyi,A_random,17.0000,31
erdos_renyi,A_random,17.1000,30
erdos_renyi,A_random,17.2000,30
erdos_renyi,A_random,17.3000,30
erdos_renyi,A_random,17.4000,30
erdos_renyi,A_random,17.5000,29
erdos_renyi,A_random,17.6000,31
erdos_renyi,A_random,17.7000,30
erdos_renyi,A_random,17.8000,30
erdos_renyi,A_random,17.9000,29
erdos_renyi,A_random,18.0000,25
erdos_renyi,A_random,18.1000,26
erdos_renyi,A_random,18.2000,27
erdos_renyi,A_random,18.3000,27
erdos_renyi,A_random,18.4000,30
erdos_renyi,A_random,18.5000,28
erdos_renyi,A_random,18.6000,29
erdos_renyi,A_random,18.7000,27
erdos_renyi,A_random,18.8000,27
erdos_renyi,A_random,18.9000,29
erdos_renyi,A_random,19.0000,28
erdos_renyi,A_random,19.1000,27
erdos_renyi,A_random,19.2000,27
erdos_renyi,A_random,19.3000,27
erdos_renyi,A_random,19.4000,27
erdos_renyi,A_random,19.5000,30
erdos_renyi,A_random,19.6000,29
erdos_renyi,A_random,19.7000,30
erdos_renyi,A_random,19.8000,31
erdos_renyi,A_random,19.9000,28
erdos_renyi,A_random,20.0000,30
erdos_renyi,B_hub,0.0000,61
erdos_renyi,B_hub,0.1000,36
erdos_renyi,B_hub,0.2000,20
erdos_renyi,B_hub,0.3000,1
erdos_renyi,B_hub,0.4000,0
erdos_renyi,B_hub,0.5000,0
erdos_renyi,B_hub,0.6000,14
erdos_renyi,B_hub,0.7000,23
erdos_renyi,B_hub,0.8000,27
erdos_renyi,B_hub,0.9000,27
erdos_renyi,B_hub,1.0000,30
erdos_renyi,B_hub,1.1000,29
erdos_renyi,B_hub,1.2000,29
erdos_renyi,B_hub,1.3000,29
erdos_renyi,B_hub,1.4000,28
erdos_renyi,B_hub,1.5000,29
erdos_renyi,B_hub,1.6000,27
erdos_renyi,B_hub,1.7000,26
erdos_renyi,B_hub,1.8000,25
erdos_renyi,B_hub,1.9000,26
erdos_renyi,B_hub,2.0000,25
erdos_renyi,B_hub,2.1000,28
erdos_renyi,B_hub,2.2000,26
erdos_renyi,B_hub,2.3000,25
erdos_renyi,B_hub,2.4000,24
erdos_renyi,B_hub,2.5000,23
erdos_renyi,B_hub,2.6000,22
erdos_renyi,B_hub,2.7000,26
erdos_renyi,B_hub,2.8000,28
erdos_renyi,B_hub,2.9000,27
erdos_renyi,B_hub,3.0000,25
erdos_renyi,B_hub,3.1000,26
erdos_renyi,B_hub,3.2000,26
erdos_renyi,B_hub,3.3000,24
erdos_renyi,B_hub,3.4000,26
erdos_renyi,B_hub,3.5000,27
erdos_renyi,B_hub,3.6000,26
erdos_renyi,B_hub,3.7000,26
erdos_renyi,B_hub,3.8000,25
erdos_renyi,B_hub,3.9000,25
erdos_renyi,B_hub,4.0000,27
erdos_renyi,B_hub,4.1000,27
erdos_renyi,B_hub,4.2000,27
erdos_renyi,B_hub,4.3000,28
erdos_renyi,B_hub,4.4000,28
erdos_renyi,B_hub,4.5000,26
erdos_renyi,B_hub,4.6000,28
erdos_renyi,B_hub,4.7000,27
erdos_renyi,B_hub,4.8000,28
erdos_renyi,B_hub,4.9000,26
erdos_renyi,B_hub,5.0000,25
erdos_renyi,B_hub,5.1000,25
erdos_renyi,B_hub,5.2000,23
erdos_renyi,B_hub,5.3000,23
erdos_renyi,B_hub,5.4000,25
erdos_renyi,B_hub,5.5000,25
erdos_renyi,B_hub,5.6000,26
erdos_renyi,B_hub,5.7000,29
erdos_renyi,B_hub,5.8000,26
erdos_renyi,B_hub,5.9000,28
erdos_renyi,B_hub,6.0000,26
erdos_renyi,B_hub,6.1000,25
erdos_renyi,B_hub,6.2000,28
erdos_renyi,B_hub,6.3000,28
erdos_renyi,B_hub,6.4000,29
erdos_renyi,B_hub,6.5000,30
erdos_renyi,B_hub,6.6000,26
