label,species,N_atoms,T_nK,n_density,has_horizon,c_s,xi,mu,T_eff_J,G_eff_1,G_eff_2,G_eff_3,G_eff_4,G_eff_5,G_eff_6,T_Hawking,reference
Steinhauer_2016,Rb87,8000,20.0,1.7e+18,True,0.00024539462083304666,2.9746972453205106e-06,8.699582842624678e-33,2.761298e-31,0.1775125581681289,44.74837153068089,0.003966905433562442,0.00031567630426478045,990156859687871.1,0.05,1.2304679891425258e-15,"Steinhauer, Nature Physics 12, 959 (2016)"
MunozDeNova_2019,Rb87,10000,15.0,2e+18,True,0.0002661678372177418,2.7425353500219133e-06,1.0234803344264328e-32,2.0709735000000005e-31,0.160384440222798,41.255960071857174,0.0038875459435060997,0.000309361076702921,760424456814390.6,0.049999999999999996,1.5701528483287613e-15,"Muñoz de Nova et al., Nature 569, 688 (2019)"
Lahav_2010,Rb87,100000,50.0,5e+19,True,0.0013308391860887088,5.485070700043827e-07,2.5587008360660817e-31,6.903245000000001e-31,0.04353503499684756,8.251192014371437,0.005276211597187512,0.00041986757824558844,8256438166666.38,0.049999999999999996,1.9626910604109506e-13,"Lahav et al., PRL 105, 240401 (2010)"
Cornell_Wieman_1995,Rb87,2000,170.0,2.6e+18,False,0.0003034780269474569,2.4053626219697296e-06,1.3305244347543627e-32,2.3471033000000004e-30,0.26251956467989623,36.18387062523295,0.007255154303388077,0.0005773468351393246,957441320835351.2,,,"Anderson et al., Science 269, 198 (1995)"
Davis_MIT_1995,Na23,500000,200.0,1.5e+20,False,0.00628660443946145,4.3922099509885763e-07,1.5094168859097806e-30,2.7612980000000003e-30,0.029402900648705422,12.709853178131697,0.002313394201853994,0.0001840940612725965,1858757597141.7803,,,"Davis et al., PRL 75, 3969 (1995)"
Steinhauer_2014,Rb87,5000,25.0,1.2e+18,True,0.0002061727201680721,3.54059791234e-06,6.140882006558596e-33,3.4516225000000003e-31,0.22002921847470422,53.26121543003367,0.0041311340099578564,0.00032874519912991804,1738693174864671.2,0.05,7.297410999092916e-16,"Steinhauer, Nature Physics 10, 864 (2014)"
Ketterle_Na_large,Na23,10000000,500.0,5e+20,False,0.011477716872017188,2.4057124674551034e-07,5.031389619699269e-30,6.903245000000001e-30,0.008862720506776483,6.961473288241457,0.0012731098920894229,0.00010131086621261057,168081876718.24503,,,"Mewes et al., PRL 77, 416 (1996); Andrews et al., Science 275, 637 (1997)"
NIST_Rb_medium,Rb87,50000,30.0,3e+19,False,0.0010308636008403607,7.081195824679999e-07,1.5352205016396492e-31,4.141947000000001e-31,0.059725118679334666,10.652243086006733,0.005606811466571983,0.0004461758799446251,18878157534823.973,,,"Phillips group, NIST (typical parameters, multiple publications)"
Roati_K39_2007,K39,40000,100.0,1e+19,False,0.0010644048529343728,1.529873808194147e-06,7.337149990871474e-32,1.3806490000000001e-30,0.0963760107313318,35.80690865895894,0.0026915479258279506,0.00021418657848212827,91388760042438.9,,,"Roati et al., PRL 99, 010403 (2007)"
Hulet_Li7_1997,Li7,1300,400.0,1e+18,False,0.0012246668311188256,7.4081721672268295e-06,1.7433438318646295e-32,5.5225960000000005e-30,0.678781425296508,406.56800678963765,0.0016695396931409713,0.00013285774742575584,6436559505520219.0,,,"Bradley et al., PRL 78, 985 (1997)"
Steinhauer_2021,Rb87,6000,18.0,1.5e+18,True,0.00023050810870092555,3.1668070451944325e-06,7.676102508198245e-33,2.4851682000000007e-31,0.19949634285979237,47.638279306326396,0.004187731919891136,0.0003332491176971937,1261152249306964.5,0.05,1.0198441908579013e-15,"Steinhauer, Nature Physics 17, 362 (2021)"
Hadzibabic_box_Rb,Rb87,300000,80.0,1e+19,False,0.0005951693774429691,1.2264990946690355e-06,5.117401672132164e-32,1.1045192e-30,0.039472395204378945,18.450226239537947,0.0021393989803654275,0.00017024796148545925,37429783887709.33,,,"Gaunt et al., PRL 110, 200406 (2013); Hadzibabic group"
