system,category,d_eff,barrier_dimless,barrier_units,coupling_units,K_independent,K_source,B_over_d,pred_B_over_d,error_pct,within_15pct,f_of_K,reference
BKT 2D XY vortex core,BKT,2,3.141593,J (coupling),J,2,O(2) order parameter — 2 spin components,1.570796,2.221441,-29.29,False,0.707107,"Kosterlitz & Thouless, J. Phys. C 6, 1181 (1973)"
4He superfluid film (BKT),BKT,2,3.141593,k_B*T_BKT,k_B*T_BKT,2,Superfluid order parameter psi = |psi|*exp(i*phi) — 2 real DOF,1.570796,2.221441,-29.29,False,0.707107,"Bishop & Reppy, PRL 40, 1727 (1978); Nelson & Kosterlitz, PRL 39, 1201 (1977)"
Josephson junction array (BKT),BKT,2,3.141593,E_J (Josephson energy),E_J,2,"U(1) phase variable — 2 real DOF (cos phi, sin phi)",1.570796,2.221441,-29.29,False,0.707107,"Resnick et al., PRL 47, 1542 (1981); Newrock et al., Solid State Phys. 54, 263 (2000)"
1D Ising domain wall,Ising,1,2.000000,J (coupling),J,1,Ising spin: 1 binary DOF (Z_2 symmetry),2.000000,2.221441,-9.97,True,0.900316,"Kramers & Wannier, Phys. Rev. 60, 252 (1941)"
2D Ising interface tension (T=0),Ising,2,2.000000,J per lattice unit (interface tension),J,1,Ising spin: 1 binary DOF,1.000000,2.221441,-54.98,False,0.450158,"Onsager, Phys. Rev. 65, 117 (1944); Peierls, Proc. Camb. Phil. Soc. 32, 477 (1936)"
3D Ising interface tension (T=0),Ising,3,2.000000,J per lattice unit^2 (interface tension),J,1,Ising spin: 1 binary DOF,0.666667,2.221441,-69.99,False,0.300105,"Hasenbusch & Pinn, Physica A 203, 189 (1994)"
VO2 metal-insulator (Peierls),Structural,1,1.501706,eV,k_B*T_MIT (eV),1,One d_parallel orbital per V-V dimer pair (Goodenough 1971),1.501706,2.221441,-32.40,False,0.676005,"Berglund & Guggenheim, Phys. Rev. 185, 1022 (1969); Goodenough, J. Solid State Chem. 3, 490 (1971)"
SrTiO3 cubic-tetragonal AFD,Structural,3,2.209945,eV,k_B*T_c (eV),3,TiO6 octahedral rotation: 3 Euler angles (Glazer tilt system),0.736648,2.221441,-66.84,False,0.331608,"Salje et al., J. Phys.: CM 10, 5535 (1998); Muller & Burkard, PRB 19, 3593 (1979)"
BaTiO3 ferroelectric switching,Structural,3,1.651917,eV,k_B*T_c (eV),3,"Polarization vector P=(Px,Py,Pz) — 3 components from cubic parent",0.550639,2.221441,-75.21,False,0.247875,"Merz, Phys. Rev. 95, 690 (1954); Miller & Weinreich, Phys. Rev. 117, 1460 (1960)"
YBCO vortex creep barrier,Superconductor,2,5.434783,K,T_c (K),2,Vortex center-of-mass position in ab-plane: 2 coordinates,2.717391,2.221441,22.33,False,1.223256,"Maley et al., PRB 42, 2639 (1990); Blatter et al., RMP 66, 1125 (1994)"
NbSe2 vortex creep barrier,Superconductor,2,6.944444,K,T_c (K),2,Pancake vortex position in ab-plane: 2 coordinates,3.472222,2.221441,56.30,False,1.563049,"Kes & Tsuei, PRB 28, 5126 (1983)"
CuMn spin glass (elementary),SpinGlass,3,2.000000,k_B*T_g,k_B*T_g,3,Mn^2+ (S=5/2) Heisenberg spin: 3 directional DOF,0.666667,2.221441,-69.99,False,0.300105,"Chamberlin et al., PRB 26, 5352 (1982); Fisher & Huse, PRB 38, 386 (1988)"
Transverse-field Ising 1D (Gamma=0),QuantumCritical,1,2.000000,J,J,2,Spin has s^z and s^x active: 2 quantum DOF,2.000000,2.221441,-9.97,True,0.900316,"Pfeuty, Ann. Phys. 57, 79 (1970); Sachdev, QPT (2011)"
CeRhIn5 AFM spin gap,HeavyFermion,3,2.105263,K,T_N (K),3,Three major Fermi surface sheets from dHvA (Shishido et al. 2005),0.701754,2.221441,-68.41,False,0.315900,"Hegger et al., PRL 84, 4986 (2000); Shishido et al., JPSJ 74, 1103 (2005)"
BCS superconductor gap (s-wave),Superconductor,3,3.520000,k_B*T_c,k_B*T_c,2,Complex order parameter psi = |psi|*exp(i*phi): 2 real DOF,1.173333,2.221441,-47.18,False,0.528186,"BCS, Phys. Rev. 108, 1175 (1957). Ratio confirmed in Al, Sn, Pb, In, Nb, etc."
