name,type,params_B,O,R,alpha,Pe,mean_dist_bench,mean_dist_ora,dist_to_centroid_bench,dist_to_centroid_ora
GPT-4 (0314),aligned,1800,0.563,1.500,2.775,-5.5700,0.104028,0.786533,0.085934,0.625643
GPT-4o (2024-05),aligned,1800,0.281,1.000,3.000,-10.5527,0.101912,1.006303,0.083924,0.887133
GPT-3.5-turbo,aligned,175,1.688,2.200,1.819,1.4723,0.116624,0.495467,0.096309,0.087199
Claude 3 Opus,aligned,137,0.000,0.200,2.813,-25.6766,0.103736,1.696978,0.085587,1.610144
Claude 3 Sonnet,aligned,70,0.469,0.500,1.781,-29.8769,0.109796,0.847297,0.093241,0.684848
Claude 3 Haiku,aligned,20,0.937,0.800,1.406,-23.7679,0.109329,0.594913,0.092548,0.291985
Llama-2-7B,base,7,2.916,1.500,0.500,-4.9151,0.138765,0.690016,0.122833,0.622710
Llama-2-13B,base,13,2.662,1.500,0.500,-7.0803,0.105420,0.653828,0.083846,0.587678
Llama-2-70B,base,70,1.903,1.500,0.500,-14.3750,0.076608,0.553828,0.043979,0.471796
Llama-2-7B-Chat,aligned,7,1.838,3.000,0.253,-3.4713,0.129005,0.815769,0.112479,0.761470
Llama-2-13B-Chat,aligned,13,1.884,2.700,0.609,-2.6427,0.089727,0.613873,0.063160,0.504718
Llama-2-70B-Chat,aligned,70,1.153,2.400,0.806,-9.8150,0.083131,0.605322,0.056543,0.412423
Llama-3-8B,base,8,1.969,1.500,0.500,-13.6747,0.074455,0.561236,0.044761,0.482251
Llama-3-8B-Instruct,aligned,8,1.312,1.800,1.922,-3.9381,0.077421,0.527900,0.050226,0.179929
Llama-3-70B,base,70,1.650,1.500,0.500,-17.2104,0.090249,0.536737,0.064905,0.432599
Llama-3-70B-Instruct,aligned,70,0.844,1.200,2.363,-9.3685,0.079834,0.672734,0.052092,0.470809
Mistral-7B-v0.1,base,7,2.109,1.500,0.500,-12.2375,0.073938,0.579187,0.041269,0.504387
Mistral-7B-Instruct-v0.2,aligned,7,1.312,2.000,1.500,-5.7901,0.082589,0.508521,0.054711,0.150282
Mixtral-8x7B-v0.1,base,47,1.716,1.500,0.500,-16.4462,0.070655,0.540013,0.035754,0.442577
Mixtral-8x7B-Instruct,aligned,47,1.172,1.600,2.156,-4.8150,0.065990,0.566366,0.020994,0.278451
Gemma-7B,base,7,1.894,1.500,0.500,-14.4717,0.066665,0.552991,0.026430,0.470373
Gemma-7B-IT,aligned,7,1.500,1.900,1.125,-8.2930,0.069493,0.494988,0.035331,0.160889
Phi-3-mini-4k-instruct,aligned,3.8,1.125,1.400,2.231,-6.2676,0.081610,0.592421,0.054611,0.329356
Qwen-1.5-72B,base,72,1.594,1.500,0.500,-17.8734,0.084458,0.535369,0.058375,0.424370
Qwen-1.5-72B-Chat,aligned,72,0.937,1.300,2.447,-6.8887,0.078835,0.654030,0.050998,0.442007
dolphin-2.2.1-mistral-7b,base,7,2.531,1.500,0.500,-8.2392,0.093494,0.635848,0.070207,0.568763
WizardLM-2-7B,aligned,7,1.594,2.100,1.688,-1.1237,0.069244,0.494698,0.034809,0.090690
