K,mean,variance,std,median,skewness,kurtosis,var_times_K
2,0.785127,0.31799037,0.563906,0.681927,0.742974,-0.057317,0.635981
3,0.989740,0.24257726,0.492521,0.948922,0.399310,-0.343285,0.727732
4,1.087300,0.18748420,0.432994,1.063104,0.288308,-0.322138,0.749937
5,1.141975,0.15244638,0.390444,1.126528,0.216305,-0.267070,0.762232
6,1.177462,0.12761984,0.357239,1.166232,0.168511,-0.258256,0.765719
7,1.197646,0.11034530,0.332183,1.187103,0.158239,-0.214653,0.772417
8,1.217804,0.09705862,0.311542,1.211476,0.120404,-0.192661,0.776469
9,1.232698,0.08732107,0.295501,1.226589,0.125868,-0.151936,0.785890
10,1.241739,0.07804881,0.279372,1.237188,0.095896,-0.159825,0.780488
15,1.273963,0.05167292,0.227317,1.271516,0.058649,-0.081176,0.775094
20,1.288930,0.03898730,0.197452,1.287172,0.056965,-0.070830,0.779746
25,1.298422,0.03128888,0.176887,1.297835,0.026101,-0.075021,0.782222
30,1.304539,0.02632745,0.162257,1.302649,0.041885,-0.083255,0.789824
35,1.309328,0.02251210,0.150040,1.309741,0.021730,-0.053630,0.787923
40,1.312255,0.01950912,0.139675,1.311316,0.046417,-0.037508,0.780365
45,1.314336,0.01732437,0.131622,1.314035,0.022592,-0.056870,0.779596
50,1.316343,0.01561831,0.124973,1.315723,0.036801,-0.067097,0.780916
55,1.318196,0.01424458,0.119351,1.317072,0.043304,-0.038756,0.783452
60,1.320200,0.01314749,0.114663,1.320024,0.015643,-0.013175,0.788849
65,1.321075,0.01196388,0.109380,1.320541,0.019825,-0.038122,0.777652
70,1.322111,0.01118546,0.105761,1.321685,0.017458,-0.010198,0.782982
75,1.322868,0.01049220,0.102431,1.322716,0.019277,-0.065814,0.786915
80,1.323914,0.00976333,0.098810,1.323360,0.014835,0.008584,0.781067
85,1.324984,0.00912625,0.095531,1.324662,0.016730,-0.038818,0.775731
90,1.325381,0.00871471,0.093353,1.325052,0.030948,-0.026416,0.784324
95,1.325107,0.00813044,0.090169,1.324333,0.033043,-0.012530,0.772392
100,1.325839,0.00775758,0.088077,1.325958,0.003341,-0.013692,0.775758
150,1.329100,0.00521029,0.072182,1.328964,0.017148,-0.020424,0.781544
200,1.330529,0.00387884,0.062280,1.330259,0.015359,0.034580,0.775767
