test,K_A,K_B,coupling_param,K_eff,K_additive,K_multiplicative,K_harmonic,notes
FP_coupling,1,1,0.0,1.000000,2,1,1.0000,
FP_coupling,1,1,0.1,0.010565,2,1,1.0000,
FP_coupling,1,1,0.3,0.010563,2,1,1.0000,
FP_coupling,1,1,0.5,0.010565,2,1,1.0000,
FP_coupling,1,1,0.7,0.010565,2,1,1.0000,
FP_coupling,1,1,1.0,0.010564,2,1,1.0000,
FP_coupling,1,2,0.0,1.359656,3,2,1.3333,
FP_coupling,1,2,0.1,0.895391,3,2,1.3333,
FP_coupling,1,2,0.3,0.010564,3,2,1.3333,
FP_coupling,1,2,0.5,0.010563,3,2,1.3333,
FP_coupling,1,2,0.7,0.010563,3,2,1.3333,
FP_coupling,1,2,1.0,0.010565,3,2,1.3333,
FP_coupling,1,5,0.0,1.997860,6,5,1.6667,
FP_coupling,1,5,0.1,1.699983,6,5,1.6667,
FP_coupling,1,5,0.3,0.010563,6,5,1.6667,
FP_coupling,1,5,0.5,0.010564,6,5,1.6667,
FP_coupling,1,5,0.7,0.010565,6,5,1.6667,
FP_coupling,1,5,1.0,0.010564,6,5,1.6667,
FP_coupling,1,10,0.0,1.829336,11,10,1.8182,
FP_coupling,1,10,0.1,1.390059,11,10,1.8182,
FP_coupling,1,10,0.3,0.010563,11,10,1.8182,
FP_coupling,1,10,0.5,0.010565,11,10,1.8182,
FP_coupling,1,10,0.7,0.010563,11,10,1.8182,
FP_coupling,1,10,1.0,0.010565,11,10,1.8182,
FP_coupling,1,20,0.0,1.596317,21,20,1.9048,
FP_coupling,1,20,0.1,0.659463,21,20,1.9048,
FP_coupling,1,20,0.3,0.010565,21,20,1.9048,
FP_coupling,1,20,0.5,0.010562,21,20,1.9048,
FP_coupling,1,20,0.7,0.010564,21,20,1.9048,
FP_coupling,1,20,1.0,0.010564,21,20,1.9048,
FP_coupling,1,50,0.0,1.382845,51,50,1.9608,
FP_coupling,1,50,0.1,0.010565,51,50,1.9608,
FP_coupling,1,50,0.3,0.010563,51,50,1.9608,
FP_coupling,1,50,0.5,0.010563,51,50,1.9608,
FP_coupling,1,50,0.7,0.010565,51,50,1.9608,
FP_coupling,1,50,1.0,0.010564,51,50,1.9608,
FP_coupling,2,2,0.0,2.000000,4,4,2.0000,
FP_coupling,2,2,0.1,1.810955,4,4,2.0000,
