name,family,aligned,params_B,TruthfulQA,MMLU,HellaSwag,ARC,O,R,alpha,C,Pe_raw,K_proxy,K_per_param,cap_avg
Llama-2-7B,Llama-2,False,7,0.339,0.46,0.759,0.53,1.983,0.9915,1.749,0.47516666666666674,-0.3882020741191306,2.088,0.2982857142857143,0.5830000000000001
Llama-2-13B,Llama-2,False,13,0.367,0.555,0.802,0.593,1.899,0.9495,1.9500000000000002,0.4668333333333332,-0.34874316017877804,2.317,0.17823076923076925,0.65
Llama-2-70B,Llama-2,False,70,0.447,0.699,0.873,0.67,1.6589999999999998,0.8294999999999999,2.242,0.47438888888888897,-0.384497563476414,2.689,0.03841428571428571,0.7473333333333333
Llama-3-8B,Llama-3,False,8,0.44,0.66,0.82,0.6,1.6800000000000002,0.8400000000000001,2.08,0.4888888888888888,-0.45436318275761933,2.52,0.315,0.6933333333333334
Llama-3-70B,Llama-3,False,70,0.48,0.79,0.88,0.69,1.56,0.78,2.36,0.47777777777777786,-0.40067280339286615,2.84,0.04057142857142857,0.7866666666666666
Mistral-7B,Mistral,False,7,0.425,0.625,0.812,0.598,1.7249999999999999,0.8624999999999999,2.035,0.48638888888888887,-0.44219098839775817,2.46,0.3514285714285714,0.6783333333333333
Mixtral-8x7B,Mixtral,False,47,0.46,0.706,0.845,0.659,1.62,0.81,2.21,0.48444444444444434,-0.4327615189110816,2.67,0.05680851063829787,0.7366666666666667
Falcon-7B,Falcon,False,7,0.258,0.278,0.74,0.472,2.226,1.113,1.49,0.46344444444444444,-0.33283632061998747,1.748,0.24971428571428572,0.49666666666666665
Falcon-40B,Falcon,False,40,0.366,0.571,0.836,0.619,1.9020000000000001,0.9510000000000001,2.026,0.4578888888888889,-0.30692111641109865,2.392,0.0598,0.6753333333333332
Phi-2,Phi,False,2.7,0.44,0.567,0.757,0.611,1.6800000000000002,0.8400000000000001,1.9349999999999996,0.505,-0.5342168748615381,2.375,0.8796296296296295,0.6449999999999999
Llama-2-7B-Chat,Llama-2,True,7,0.453,0.468,0.756,0.528,1.6409999999999998,0.8204999999999999,1.7519999999999998,0.5318333333333334,-0.6735007341304792,2.205,0.315,0.584
Llama-2-13B-Chat,Llama-2,True,13,0.501,0.543,0.799,0.598,1.4969999999999999,0.7484999999999999,1.94,0.5349444444444444,-0.6902305278560285,2.441,0.18776923076923074,0.6466666666666666
Llama-2-70B-Chat,Llama-2,True,70,0.526,0.63,0.853,0.64,1.422,0.711,2.123,0.5271111111111111,-0.6483521382805122,2.6490000000000005,0.03784285714285715,0.7076666666666668
Llama-3-8B-Instruct,Llama-3,True,8,0.52,0.68,0.81,0.62,1.44,0.72,2.1100000000000003,0.5255555555555556,-0.6401309242237248,2.6300000000000003,0.32875000000000004,0.7033333333333335
Llama-3-70B-Instruct,Llama-3,True,70,0.55,0.82,0.87,0.71,1.3499999999999999,0.6749999999999999,2.4,0.5083333333333333,-0.5510664591370829,2.95,0.04214285714285715,0.7999999999999999
Mistral-7B-Instruct,Mistral,True,7,0.53,0.6,0.79,0.58,1.41,0.705,1.9700000000000002,0.5461111111111111,-0.7513876493207816,2.5,0.35714285714285715,0.6566666666666667
Mixtral-8x7B-Instruct,Mixtral,True,47,0.53,0.72,0.84,0.67,1.41,0.705,2.23,0.5172222222222222,-0.5965996992735183,2.76,0.05872340425531915,0.7433333333333333
GPT-3.5-Turbo,GPT,True,175,0.47,0.7,0.855,0.67,1.59,0.795,2.225,0.48777777777777775,-0.4489464876015545,2.695,0.015399999999999999,0.7416666666666667
GPT-4,GPT,True,1800,0.59,0.864,0.953,0.825,1.23,0.615,2.642,0.5014444444444444,-0.5163730412236761,3.232,0.0017955555555555557,0.8806666666666666
GPT-4o,GPT,True,200,0.6,0.88,0.95,0.83,1.2000000000000002,0.6000000000000001,2.66,0.5044444444444444,-0.5314201016710516,3.26,0.0163,0.8866666666666667
GPT-4o-mini,GPT,True,8,0.55,0.82,0.9,0.78,1.3499999999999999,0.6749999999999999,2.5,0.49722222222222223,-0.4953504960615302,3.05,0.38125,0.8333333333333334
Claude-3-Haiku,Claude,True,20,0.55,0.75,0.86,0.7,1.3499999999999999,0.6749999999999999,2.3099999999999996,0.5183333333333334,-0.6023553153525134,2.8600000000000003,0.14300000000000002,0.7699999999999999
Claude-3-Sonnet,Claude,True,70,0.58,0.79,0.89,0.75,1.2600000000000002,0.6300000000000001,2.43,0.52,-0.6110163066445254,3.0100000000000002,0.043000000000000003,0.81
Claude-3-Opus,Claude,True,200,0.62,0.868,0.952,0.83,1.1400000000000001,0.5700000000000001,2.65,0.5155555555555555,-0.5879934916749023,3.27,0.01635,0.8833333333333333
Gemma-7B-IT,Gemma,True,7,0.49,0.64,0.8,0.61,1.53,0.765,2.05,0.5172222222222222,-0.5965996992735183,2.54,0.3628571428571429,0.6833333333333332
Qwen-1.5-72B-Chat,Qwen,True,72,0.51,0.77,0.86,0.7,1.47,0.735,2.33,0.49611111111111106,-0.4898475200856609,2.84,0.03944444444444444,0.7766666666666667
Phi-3-mini-instruct,Phi,True,3.8,0.52,0.69,0.78,0.64,1.44,0.72,2.11,0.5255555555555556,-0.6401309242237248,2.63,0.6921052631578948,0.7033333333333333
