name,model_type,family,params_B,Pe,K_framework,K_channel_upper,K_mi_lower,K_rd,K_kolmogorov_bits,compression_ratio,H_raw,H_bench,H_ora,zone
Llama-2-7B,base,llama2,7,-16.059484194434496,16,4551110.111111116,2.7544858637011953,3.0,344.0,0.8958333333333334,32.70470777604387,1.938950254353923,1.4617830588657863,0
Llama-2-13B,base,llama2,13,-15.72213266233563,16,6059170.597633132,2.794471099304437,3.0,352.0,0.9166666666666666,33.597792572127354,1.9476145051820772,1.4825752545835398,0
Llama-2-70B,base,llama2,70,-14.193151433965244,16,10239999.000000007,2.8139297635845066,3.0,344.0,0.8958333333333334,36.02663587093123,1.9467276350708542,1.492586318982079,0
Mistral-7B,base,mistral,7,-17.210377621421912,16,7111110.111111112,2.8397560838846148,3.0,344.0,0.8958333333333334,32.70470777604387,1.963725534211845,1.505767017165728,0
Mixtral-8x7B,base,mixtral,47,-17.445599556641003,16,11346259.387811638,2.8686047979664693,3.0,344.0,0.8958333333333334,35.4519417056639,1.9691215022641004,1.5203492245420056,0
Falcon-7B,base,falcon,7,-17.921272844063406,16,3160492.8271604944,2.7361627385385794,3.0,312.0,0.8125,32.70470777604387,1.9260733905893082,1.4521540398365205,0
Falcon-40B,base,falcon,40,-17.210377621421898,16,8462808.917355381,2.8366590320097242,3.0,320.0,0.8333333333333334,35.219280948873624,1.9577373786586252,1.5041927482888366,0
MPT-7B,base,mpt,7,-17.68255677428535,16,2559999.000000002,2.7057809159398736,3.0,320.0,0.8333333333333334,32.70470777604387,1.9129868830249526,1.436045030636433,0
Phi-2,base,phi,2.7,-18.282696786339976,16,5224488.79591837,2.8483785044309697,3.0,344.0,0.8958333333333334,31.330312261262367,1.9739065867936993,1.5101408703851082,0
Gemma-7B,base,gemma,7,-17.68255677428535,16,6553598.999999994,2.8545076279353294,3.0,344.0,0.8958333333333334,32.70470777604387,1.9686405012432169,1.5132419175686027,0
Llama-2-7B-Chat,aligned,llama2,7,-6.233337794327094,16,3999998.9999999995,2.9377068266083284,3.0,352.0,0.9166666666666666,32.70470777604387,1.964911328905025,1.5546904269008044,0
Llama-2-13B-Chat,aligned,llama2,13,-7.448295969892767,16,5224488.79591837,2.97026018350164,3.0,344.0,0.8958333333333334,33.597792572127354,1.9732295219774332,1.5705893111629985,0
Llama-2-70B-Chat,aligned,llama2,70,-8.518364929068966,16,7742910.153119099,2.9926134740362076,3.0,328.0,0.8541666666666666,36.02663587093123,1.9774342152963462,1.581405952373628,0
GPT-3.5-Turbo,aligned,gpt,175,-3.8888246915592855,16,7111110.111111112,2.9493456206954063,3.0,352.0,0.9166666666666666,37.34856396581859,1.9633809217469922,1.5603948953214237,0
GPT-4,aligned,gpt,1760,-11.72909119722976,16,12641974.308641978,2.988683759891867,3.0,344.0,0.8958333333333334,40.67871256751092,1.9735345542884946,1.5795102499190765,0
GPT-4o,aligned,gpt,200,-10.371559204372755,16,15999998.999999998,2.978465396076227,3.0,320.0,0.8333333333333334,37.541209043760986,1.9761557223843176,1.5745691978932224,0
GPT-4o-mini,aligned,gpt,8,-8.973008640799897,16,10239999.000000007,2.989508922659317,3.0,296.0,0.7708333333333334,32.89735285398626,1.973436039315167,1.5799085168546876,0
Claude-3-Opus,aligned,claude,137,-14.193151433965244,16,14173009.380622843,2.9746564170798386,3.0,336.0,0.875,36.995384936946785,1.9785049957789274,1.5727230418657505,0
Claude-3-Sonnet,aligned,claude,70,-12.530065092484957,16,11346259.387811638,2.9901421762840847,3.0,296.0,0.7708333333333334,36.02663587093123,1.980163101753602,1.5802140838024497,0
Claude-3-Haiku,aligned,claude,20,-11.140680936080328,16,9287980.859410437,2.9958992718827684,3.0,336.0,0.875,34.219280948873624,1.9787115239754822,1.5829891183233147,0
Mistral-7B-Instruct,aligned,mistral,7,-8.608861003362632,16,6059170.597633132,2.965798633971245,3.0,320.0,0.8333333333333334,32.70470777604387,1.9785201673298567,1.5684206478150995,0
Mixtral-8x7B-Instruct,aligned,mixtral,47,-9.993264413975249,16,10239999.000000007,2.9855186798176536,3.0,344.0,0.8958333333333334,35.4519417056639,1.9820932113424679,1.5779815954081584,0
Gemma-7B-IT,aligned,gemma,7,-10.087459495714707,16,5618654.692729769,2.984167732161075,3.0,336.0,0.875,32.70470777604387,1.9840049686171193,1.5773286279377041,0
Phi-2-DPO,aligned,phi,2.7,-11.335683646815248,16,4551110.111111116,2.9843283631473785,3.0,280.0,0.7291666666666666,31.330312261262367,1.9833341416325967,1.5774062828523454,0
Falcon-40B-Instruct,aligned,falcon,40,-7.801834107500989,16,7111110.111111112,2.9675125948771957,3.0,328.0,0.8541666666666666,35.219280948873624,1.971102701586146,1.5692541530443718,0
Vicuna-13B,aligned,llama2,13,-6.577111328659962,16,4870391.390011886,2.9554679240794117,3.0,312.0,0.8125,33.597792572127354,1.9751003371060656,1.563386562993581,0
WizardLM-13B,aligned,llama2,13,-4.965170429481828,16,4551110.111111116,2.9324986737690435,3.0,336.0,0.875,33.597792572127354,1.971734255754495,1.5521304557909512,0
