Z,symbol,element,group,period,Z_eff,EA_eV,sigma,Pe,pe_zone,pauling_EN,discovery_year,discovery_tradition,hund_flag
1,H,Hydrogen,1,1,1.0,0.754,0.001,754.0,D3,2.2,1766,british_enlightenment,
2,He,Helium,18,1,1.688,0.0,0.312,0.0,COHERENT (constraint pole),,1868,british_victorian,
3,Li,Lithium,1,2,1.279,0.618,1.721,0.4593,COHERENT,0.98,1817,swedish_chemistry,
4,Be,Beryllium,2,2,1.912,0.0,2.088,0.0,COHERENT (constraint pole),1.57,1828,french_belle_epoque,
5,B,Boron,13,2,2.421,0.28,2.579,0.2628,COHERENT,2.04,1808,british_enlightenment,
6,C,Carbon,14,2,3.136,1.263,2.864,1.3829,D1,2.55,3000 BCE,antiquity_egyptian,
7,N,Nitrogen,15,2,3.834,-0.07,3.166,0.0,COHERENT (constraint pole),3.04,1772,british_enlightenment,Y
8,O,Oxygen,16,2,4.453,1.461,3.547,1.8342,D1,3.44,1774,british_enlightenment,
9,F,Fluorine,17,2,5.2,3.401,3.8,4.654,D2,3.98,1886,french_republic,
10,Ne,Neon,18,2,5.758,0.0,4.242,0.0,COHERENT (constraint pole),,1898,british_victorian,
11,Na,Sodium,1,3,2.507,0.548,8.493,0.1618,COHERENT,0.93,1807,british_victorian,
12,Mg,Magnesium,2,3,3.308,0.0,8.692,0.0,COHERENT (constraint pole),1.31,1755,british_enlightenment,
13,Al,Aluminium,13,3,4.066,0.441,8.934,0.2007,COHERENT,1.61,1825,danish_romanticism,
14,Si,Silicon,14,3,4.285,1.385,9.715,0.6109,COHERENT,1.9,1824,swedish_chemistry,
15,P,Phosphorus,15,3,4.886,0.747,10.114,0.3609,COHERENT,2.19,1669,german_alchemy,
16,S,Sulfur,16,3,5.482,2.077,10.518,1.0825,D1,2.58,2000 BCE,antiquity_roman,
17,Cl,Chlorine,17,3,6.116,3.613,10.884,2.0302,D1,3.16,1774,swedish_chemistry,
18,Ar,Argon,18,3,6.764,0.0,11.236,0.0,COHERENT (constraint pole),,1894,british_victorian,
19,K,Potassium,1,4,3.495,0.502,15.505,0.1132,COHERENT,0.82,1807,british_victorian,
20,Ca,Calcium,2,4,4.398,0.025,15.602,0.007,COHERENT (constraint pole),1.0,1808,british_enlightenment,
21,Sc,Scandium,3,4,4.817,0.188,16.183,0.056,COHERENT,1.36,1879,swedish_chemistry,
22,Ti,Titanium,4,4,5.133,0.079,16.867,0.024,COHERENT,1.54,1791,british_enlightenment,
23,V,Vanadium,5,4,5.447,0.525,17.553,0.1629,COHERENT,1.63,1801,swedish_chemistry,
24,Cr,Chromium,6,4,5.76,0.666,18.24,0.2103,COHERENT,1.66,1797,french_belle_epoque,Y
25,Mn,Manganese,7,4,6.074,-0.5,18.926,0.0,COHERENT (constraint pole),1.55,1774,swedish_chemistry,Y
26,Fe,Iron,8,4,6.388,0.151,19.612,0.0492,COHERENT,1.83,3500 BCE,antiquity_egyptian,
27,Co,Cobalt,9,4,6.703,0.662,20.297,0.2186,COHERENT,1.88,1735,swedish_chemistry,
28,Ni,Nickel,10,4,7.017,1.156,20.983,0.3866,COHERENT,1.91,1751,swedish_chemistry,
29,Cu,Copper,11,4,7.331,1.235,21.669,0.4178,COHERENT,1.9,9000 BCE,antiquity_roman,
30,Zn,Zinc,12,4,7.645,0.0,22.355,0.0,COHERENT (constraint pole),1.65,1000 BCE,antiquity_roman,
31,Ga,Gallium,13,4,6.22,0.43,24.78,0.1079,COHERENT,1.81,1875,french_belle_epoque,
32,Ge,Germanium,14,4,6.78,1.233,25.22,0.3315,COHERENT,2.01,1886,german_romantic,
33,As,Arsenic,15,4,7.449,0.814,25.551,0.2373,COHERENT,2.18,1250,islamic_golden_age,
34,Se,Selenium,16,4,8.091,2.021,25.909,0.6311,COHERENT,2.55,1817,swedish_chemistry,
35,Br,Bromine,17,4,8.683,3.364,26.317,1.1099,D1,2.96,1826,french_belle_epoque,
36,Kr,Krypton,18,4,9.275,0.0,26.725,0.0,COHERENT (constraint pole),3.0,1898,british_victorian,
37,Rb,Rubidium,1,5,4.709,0.486,32.291,0.0709,COHERENT,0.82,1861,german_romantic,
38,Sr,Strontium,2,5,5.832,0.048,32.168,0.0087,COHERENT (constraint pole),0.95,1790,british_enlightenment,
39,Y,Yttrium,3,5,5.4,0.307,33.6,0.0493,COHERENT,1.22,1794,finnish_enlightenment,
40,Zr,Zirconium,4,5,5.75,0.426,34.25,0.0715,COHERENT,1.33,1789,german_romantic,
41,Nb,Niobium,5,5,6.1,0.894,34.9,0.1563,COHERENT,1.6,1801,british_enlightenment,Y
42,Mo,Molybdenum,6,5,6.45,0.748,35.55,0.1357,COHERENT,2.16,1781,swedish_chemistry,Y
43,Tc,Technetium,7,5,6.8,0.55,36.2,0.1033,COHERENT,1.9,1937,american_nuclear,Y
