year,mde_pct,mde_se,mde_severe_pct,mde_severe_se,series_group,series_break_2021,source_table,source_url,note
2004,9.0,0.25,,,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values
2005,8.8,0.25,,,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values
2006,7.9,0.24,5.5,0.20,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values
2007,8.2,0.25,5.5,0.20,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values
2008,8.3,0.25,6.0,0.22,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values
2009,8.1,0.24,5.8,0.20,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values
2010,8.0,0.24,5.7,0.20,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values
2011,8.2,0.24,5.7,0.19,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values
2012,9.1,0.26,6.3,0.22,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values
2013,10.7,0.30,7.7,0.26,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values
2014,11.4,0.32,8.2,0.27,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values
2015,12.5,0.33,8.8,0.28,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values
2016,12.8,0.32,9.0,0.27,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values
2017,13.3,0.35,9.4,0.31,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values
2018,14.4,0.36,10.0,0.29,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values
2019,15.7,0.37,11.1,0.32,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values
2020,17.0,0.82,12.0,0.66,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,SAMHSA cautions comparability vs prior years due 2020 methodology changes
2021,20.8,,15.2,,multimode_2021_2024,1,Figure 48 / Table A.36B (2024 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt56287/2024-nsduh-annual-national/2024-nsduh-annual-national-html-071425-edited/2024-nsduh-annual-national.htm,Updated 2021 weights used in 2024 report series
2022,19.5,,14.6,,multimode_2021_2024,1,Figure 48 / Table A.36B (2024 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt56287/2024-nsduh-annual-national/2024-nsduh-annual-national-html-071425-edited/2024-nsduh-annual-national.htm,Updated 2021-2024 comparable series
2023,18.1,,13.5,,multimode_2021_2024,1,Figure 48 / Table A.36B (2024 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt56287/2024-nsduh-annual-national/2024-nsduh-annual-national-html-071425-edited/2024-nsduh-annual-national.htm,Updated 2021-2024 comparable series
2024,15.4,,11.3,,multimode_2021_2024,1,Figure 48 / Table A.36B (2024 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt56287/2024-nsduh-annual-national/2024-nsduh-annual-national-html-071425-edited/2024-nsduh-annual-national.htm,Updated 2021-2024 comparable series
