year,mde_12_17_pct,mde_18_25_pct,mde_26_plus_pct,mde_26_49_pct,mde_50_plus_pct,mde_total_18_plus_pct,mde_severe_12_17_pct,mde_severe_18_25_pct,mde_severe_26_plus_pct,mde_severe_26_49_pct,mde_severe_50_plus_pct,mde_severe_total_18_plus_pct,source_mde,source_severe,source_url,notes
2005,8.8,8.8,6.2,7.6,4.5,6.6,,,,,,,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.26B,,https://www.samhsa.gov/data/sites/default/files/reports/rpt35323/NSDUHDetailedTabs2020v25/NSDUHDetailedTabs2020v25/NSDUHDetTabsSect10pe2020.htm,12-17 series from local A.27B pipeline; 18+ bands from Table 10.26B
2006,7.9,8.1,6.2,7.7,4.5,6.5,,,,,,,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.26B,,https://www.samhsa.gov/data/sites/default/files/reports/rpt35323/NSDUHDetailedTabs2020v25/NSDUHDetailedTabs2020v25/NSDUHDetTabsSect10pe2020.htm,12-17 series from local A.27B pipeline; 18+ bands from Table 10.26B
2007,8.2,8.0,6.5,7.6,5.2,6.7,,,,,,,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.26B,,https://www.samhsa.gov/data/sites/default/files/reports/rpt35323/NSDUHDetailedTabs2020v25/NSDUHDetailedTabs2020v25/NSDUHDetTabsSect10pe2020.htm,12-17 series from local A.27B pipeline; 18+ bands from Table 10.26B
2008,8.3,8.4,6.2,7.4,4.8,6.5,,,,,,,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.26B,,https://www.samhsa.gov/data/sites/default/files/reports/rpt35323/NSDUHDetailedTabs2020v25/NSDUHDetailedTabs2020v25/NSDUHDetTabsSect10pe2020.htm,12-17 series from local A.27B pipeline; 18+ bands from Table 10.26B
2009,8.1,8.0,6.3,7.6,4.9,6.6,5.8,5.2,3.7,4.8,2.6,4.0,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.26B,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.27B,https://www.samhsa.gov/data/sites/default/files/reports/rpt35323/NSDUHDetailedTabs2020v25/NSDUHDetailedTabs2020v25/NSDUHDetTabsSect10pe2020.htm,12-17 severe series from local A.36B pipeline; 18+ severe bands from Table 10.27B
2010,8.0,8.3,6.6,7.5,5.6,6.8,5.7,5.2,4.1,4.7,3.5,4.2,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.26B,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.27B,https://www.samhsa.gov/data/sites/default/files/reports/rpt35323/NSDUHDetailedTabs2020v25/NSDUHDetailedTabs2020v25/NSDUHDetTabsSect10pe2020.htm,12-17 severe series from local A.36B pipeline; 18+ severe bands from Table 10.27B
2011,8.2,8.3,6.3,7.7,4.8,6.6,5.7,5.2,4.0,5.2,2.9,4.2,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.26B,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.27B,https://www.samhsa.gov/data/sites/default/files/reports/rpt35323/NSDUHDetailedTabs2020v25/NSDUHDetailedTabs2020v25/NSDUHDetTabsSect10pe2020.htm,12-17 severe series from local A.36B pipeline; 18+ severe bands from Table 10.27B
2012,9.1,8.9,6.5,7.6,5.5,6.9,6.3,5.8,4.3,5.1,3.4,4.5,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.26B,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.27B,https://www.samhsa.gov/data/sites/default/files/reports/rpt35323/NSDUHDetailedTabs2020v25/NSDUHDetailedTabs2020v25/NSDUHDetTabsSect10pe2020.htm,12-17 severe series from local A.36B pipeline; 18+ severe bands from Table 10.27B
2013,10.7,8.7,6.3,7.6,5.1,6.7,7.7,5.7,4.1,4.9,3.2,4.3,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.26B,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.27B,https://www.samhsa.gov/data/sites/default/files/reports/rpt35323/NSDUHDetailedTabs2020v25/NSDUHDetailedTabs2020v25/NSDUHDetTabsSect10pe2020.htm,12-17 severe series from local A.36B pipeline; 18+ severe bands from Table 10.27B
2014,11.4,9.3,6.1,7.2,5.2,6.6,8.2,6.0,4.0,4.6,3.5,4.3,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.26B,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.27B,https://www.samhsa.gov/data/sites/default/files/reports/rpt35323/NSDUHDetailedTabs2020v25/NSDUHDetailedTabs2020v25/NSDUHDetTabsSect10pe2020.htm,12-17 severe series from local A.36B pipeline; 18+ severe bands from Table 10.27B
