year,mde_12_17_pct,mde_18_25_pct,mde_26_plus_pct,mde_26_49_pct,mde_50_plus_pct,mde_total_18_plus_pct,mde_severe_12_17_pct,mde_severe_18_25_pct,mde_severe_26_plus_pct,mde_severe_26_49_pct,mde_severe_50_plus_pct,mde_severe_total_18_plus_pct,source_mde,source_severe,source_url,notes,feature_exposure,raw_adoption,algo_hard_exposure,engagement_hard_exposure,algo_plus_engagement_exposure,mde_gap_12_17_minus_26_plus,mde_gap_18_25_minus_26_plus,mde_severe_gap_12_17_minus_26_plus,mde_severe_gap_18_25_minus_26_plus
2005,8.8,8.8,6.2,7.6,4.5,6.6,,,,,,,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.26B,,https://www.samhsa.gov/data/sites/default/files/reports/rpt35323/NSDUHDetailedTabs2020v25/NSDUHDetailedTabs2020v25/NSDUHDetTabsSect10pe2020.htm,12-17 series from local A.27B pipeline; 18+ bands from Table 10.26B,,,,,,2.6000000000000005,2.6000000000000005,,
2006,7.9,8.1,6.2,7.7,4.5,6.5,,,,,,,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.26B,,https://www.samhsa.gov/data/sites/default/files/reports/rpt35323/NSDUHDetailedTabs2020v25/NSDUHDetailedTabs2020v25/NSDUHDetTabsSect10pe2020.htm,12-17 series from local A.27B pipeline; 18+ bands from Table 10.26B,,,,,,1.7000000000000002,1.8999999999999995,,
2007,8.2,8.0,6.5,7.6,5.2,6.7,,,,,,,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.26B,,https://www.samhsa.gov/data/sites/default/files/reports/rpt35323/NSDUHDetailedTabs2020v25/NSDUHDetailedTabs2020v25/NSDUHDetTabsSect10pe2020.htm,12-17 series from local A.27B pipeline; 18+ bands from Table 10.26B,,,,,,1.6999999999999993,1.5,,
2008,8.3,8.4,6.2,7.4,4.8,6.5,,,,,,,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.26B,,https://www.samhsa.gov/data/sites/default/files/reports/rpt35323/NSDUHDetailedTabs2020v25/NSDUHDetailedTabs2020v25/NSDUHDetTabsSect10pe2020.htm,12-17 series from local A.27B pipeline; 18+ bands from Table 10.26B,,,,,,2.1000000000000005,2.2,,
2009,8.1,8.0,6.3,7.6,4.9,6.6,5.8,5.2,3.7,4.8,2.6,4.0,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.26B,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.27B,https://www.samhsa.gov/data/sites/default/files/reports/rpt35323/NSDUHDetailedTabs2020v25/NSDUHDetailedTabs2020v25/NSDUHDetTabsSect10pe2020.htm,12-17 severe series from local A.36B pipeline; 18+ severe bands from Table 10.27B,,,,,,1.7999999999999998,1.7000000000000002,2.0999999999999996,1.5
2010,8.0,8.3,6.6,7.5,5.6,6.8,5.7,5.2,4.1,4.7,3.5,4.2,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.26B,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.27B,https://www.samhsa.gov/data/sites/default/files/reports/rpt35323/NSDUHDetailedTabs2020v25/NSDUHDetailedTabs2020v25/NSDUHDetTabsSect10pe2020.htm,12-17 severe series from local A.36B pipeline; 18+ severe bands from Table 10.27B,,,,,,1.4000000000000004,1.700000000000001,1.6000000000000005,1.1000000000000005
2011,8.2,8.3,6.3,7.7,4.8,6.6,5.7,5.2,4.0,5.2,2.9,4.2,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.26B,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.27B,https://www.samhsa.gov/data/sites/default/files/reports/rpt35323/NSDUHDetailedTabs2020v25/NSDUHDetailedTabs2020v25/NSDUHDetTabsSect10pe2020.htm,12-17 severe series from local A.36B pipeline; 18+ severe bands from Table 10.27B,14.2,1.8599999999999999,1.54,2.9299999999999997,4.47,1.8999999999999995,2.000000000000001,1.7000000000000002,1.2000000000000002
2012,9.1,8.9,6.5,7.6,5.5,6.9,6.3,5.8,4.3,5.1,3.4,4.5,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.26B,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.27B,https://www.samhsa.gov/data/sites/default/files/reports/rpt35323/NSDUHDetailedTabs2020v25/NSDUHDetailedTabs2020v25/NSDUHDetTabsSect10pe2020.htm,12-17 severe series from local A.36B pipeline; 18+ severe bands from Table 10.27B,17.22,2.0599999999999996,3.24,3.4399999999999995,6.68,2.5999999999999996,2.4000000000000004,2.0,1.5
2013,10.7,8.7,6.3,7.6,5.1,6.7,7.7,5.7,4.1,4.9,3.2,4.3,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.26B,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.27B,https://www.samhsa.gov/data/sites/default/files/reports/rpt35323/NSDUHDetailedTabs2020v25/NSDUHDetailedTabs2020v25/NSDUHDetTabsSect10pe2020.htm,12-17 severe series from local A.36B pipeline; 18+ severe bands from Table 10.27B,20.240000000000002,2.26,4.94,3.9499999999999997,8.89,4.3999999999999995,2.3999999999999995,3.6000000000000005,1.6000000000000005
2014,11.4,9.3,6.1,7.2,5.2,6.6,8.2,6.0,4.0,4.6,3.5,4.3,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.26B,SAMHSA NSDUH Detailed Tables 2020 v25 Table 10.27B,https://www.samhsa.gov/data/sites/default/files/reports/rpt35323/NSDUHDetailedTabs2020v25/NSDUHDetailedTabs2020v25/NSDUHDetTabsSect10pe2020.htm,12-17 severe series from local A.36B pipeline; 18+ severe bands from Table 10.27B,24.895000000000003,2.7,6.915000000000001,6.119999999999999,13.035,5.300000000000001,3.200000000000001,4.199999999999999,2.0
