year,mde_pct,mde_se,mde_severe_pct,mde_severe_se,series_group,series_break_2021,source_table,source_url,note,feature_exposure,raw_adoption,O_exposure,R_exposure,alpha_exposure,algo_hard_exposure,engagement_hard_exposure,algo_plus_engagement_exposure,feature_assumption,interval_start,interval_end,delta_mde_pct,delta_mde_severe_pct,delta_feature_exposure,delta_algo_hard_exposure,delta_engagement_hard_exposure,delta_algo_plus_engagement_exposure,interval_label,crosses_2021_break
2005,8.8,0.25,,,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,,,,,,,,,,2004.0,2005,-0.1999999999999993,,,,,,2004-2005,0
2006,7.9,0.24,5.5,0.2,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,,,,,,,,,,2005.0,2006,-0.9000000000000004,,,,,,2005-2006,0
2007,8.2,0.25,5.5,0.2,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,,,,,,,,,,2006.0,2007,0.29999999999999893,0.0,,,,,2006-2007,0
2008,8.3,0.25,6.0,0.22,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,,,,,,,,,,2007.0,2008,0.10000000000000142,0.5,,,,,2007-2008,0
2009,8.1,0.24,5.8,0.2,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,,,,,,,,,,2008.0,2009,-0.20000000000000107,-0.20000000000000018,,,,,2008-2009,0
2010,8.0,0.24,5.7,0.2,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,,,,,,,,,,2009.0,2010,-0.09999999999999964,-0.09999999999999964,,,,,2009-2010,0
2011,8.2,0.24,5.7,0.19,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,14.2,1.8599999999999999,1.54,5.93,6.73,1.54,2.9299999999999997,4.47,2011-2023 linear interpolation; 2024 carry-forward from 2023,2010.0,2011,0.1999999999999993,0.0,,,,,2010-2011,0
2012,9.1,0.26,6.3,0.22,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,17.22,2.0599999999999996,3.2399999999999998,6.619999999999999,7.359999999999999,3.24,3.4399999999999995,6.68,2011-2023 linear interpolation; 2024 carry-forward from 2023,2011.0,2012,0.9000000000000004,0.5999999999999996,3.0199999999999996,1.7000000000000002,0.5099999999999998,2.21,2011-2012,0
2013,10.7,0.3,7.7,0.26,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,20.240000000000002,2.26,4.9399999999999995,7.31,7.989999999999998,4.94,3.9499999999999997,8.89,2011-2023 linear interpolation; 2024 carry-forward from 2023,2012.0,2013,1.5999999999999996,1.4000000000000004,3.020000000000003,1.7000000000000002,0.5100000000000002,2.210000000000001,2012-2013,0
2014,11.4,0.32,8.2,0.27,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,24.895000000000003,2.7,6.915,8.28,9.7,6.915000000000001,6.119999999999999,13.035,2011-2023 linear interpolation; 2024 carry-forward from 2023,2013.0,2014,0.7000000000000011,0.4999999999999991,4.655000000000001,1.9750000000000005,2.1699999999999995,4.145,2013-2014,0
