year,mde_pct,mde_se,mde_severe_pct,mde_severe_se,series_group,series_break_2021,source_table,source_url,note,feature_exposure,raw_adoption,O_exposure,R_exposure,alpha_exposure,algo_hard_exposure,engagement_hard_exposure,algo_plus_engagement_exposure,feature_assumption
2004,9.0,0.25,,,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,,,,,,,,,
2005,8.8,0.25,,,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,,,,,,,,,
2006,7.9,0.24,5.5,0.2,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,,,,,,,,,
2007,8.2,0.25,5.5,0.2,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,,,,,,,,,
2008,8.3,0.25,6.0,0.22,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,,,,,,,,,
2009,8.1,0.24,5.8,0.2,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,,,,,,,,,
2010,8.0,0.24,5.7,0.2,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,,,,,,,,,
2011,8.2,0.24,5.7,0.19,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,14.2,1.8599999999999999,1.54,5.93,6.73,1.54,2.9299999999999997,4.47,2011-2023 linear interpolation; 2024 carry-forward from 2023
2012,9.1,0.26,6.3,0.22,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,17.22,2.0599999999999996,3.2399999999999998,6.619999999999999,7.359999999999999,3.24,3.4399999999999995,6.68,2011-2023 linear interpolation; 2024 carry-forward from 2023
2013,10.7,0.3,7.7,0.26,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,20.240000000000002,2.26,4.9399999999999995,7.31,7.989999999999998,4.94,3.9499999999999997,8.89,2011-2023 linear interpolation; 2024 carry-forward from 2023
2014,11.4,0.32,8.2,0.27,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,24.895000000000003,2.7,6.915,8.28,9.7,6.915000000000001,6.119999999999999,13.035,2011-2023 linear interpolation; 2024 carry-forward from 2023
2015,12.5,0.33,8.8,0.28,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,29.55,3.14,8.89,9.25,11.41,8.89,8.29,17.18,2011-2023 linear interpolation; 2024 carry-forward from 2023
2016,12.8,0.32,9.0,0.27,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,38.085,3.4850000000000003,12.805,11.719999999999999,13.559999999999999,12.805,11.254999999999999,24.06,2011-2023 linear interpolation; 2024 carry-forward from 2023
2017,13.3,0.35,9.4,0.31,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,46.62,3.83,16.72,14.19,15.709999999999999,16.72,14.219999999999999,30.939999999999998,2011-2023 linear interpolation; 2024 carry-forward from 2023
2018,14.4,0.36,10.0,0.29,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,47.885000000000005,3.8850000000000002,17.35,14.629999999999999,15.904999999999998,17.35,14.989999999999998,32.34,2011-2023 linear interpolation; 2024 carry-forward from 2023
2019,15.7,0.37,11.1,0.32,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,49.150000000000006,3.9400000000000004,17.98,15.07,16.099999999999998,17.98,15.76,33.74,2011-2023 linear interpolation; 2024 carry-forward from 2023
2020,17.0,0.82,12.0,0.66,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,SAMHSA cautions comparability vs prior years due 2020 methodology changes,54.19,4.115,21.36,16.405,16.424999999999997,21.36,17.044999999999998,38.405,2011-2023 linear interpolation; 2024 carry-forward from 2023
