country,code,life_satisfaction,source_year,source_slug,n_platforms,app_users_total_million,feature_exposure,o_exposure,r_exposure,alpha_exposure,mean_features_per_share,algo_feed_share,share_facebook,share_instagram,share_tiktok,share_youtube,share_snapchat,share_twitter,share_pinterest,share_linkedin
Australia,AU,6.58,2023,australia,8,86.55,13.179087232813403,6.081455805892549,3.8555748122472564,3.2420566146735994,13.179087232813403,23.050259965337958,17.215482380127096,13.460427498555749,9.589832466782209,24.610051993067593,8.896591565569036,6.065857885615252,3.9861351819757367,16.175621028307337
Austria,AT,7.04,2023,austria,8,22.669999999999998,13.539920599911778,6.299514777238642,3.9408910454344954,3.2995147772386413,13.539920599911774,22.23202470224967,13.895015438906045,12.792236435818262,9.439788266431409,32.377591530657256,9.925011027790031,5.072783414203793,7.675341861490958,8.82223202470225
Belgium,BE,6.85,2023,belgium,8,36.8,13.245652173913046,6.116847826086958,3.8665760869565227,3.262228260869566,13.245652173913042,22.06521739130435,17.119565217391305,12.5,9.56521739130435,25.65217391304348,9.918478260869566,5.16304347826087,7.309782608695652,12.771739130434783
Brazil,BR,6.65,2023,brazil,8,565.81,13.81803078772026,6.487831604248777,4.008766193598558,3.3214329898729256,13.81803078772026,34.589349781728856,19.282091161343917,20.059737367667594,14.529612414061258,25.09676393135505,1.3520439723582123,4.294727912196675,4.957494565313445,10.42752867570386
Bulgaria,BG,6.68,2023,bulgaria,6,11.8917,13.439373680802575,6.327396419351312,3.9763112086581396,3.1356660527931246,13.439373680802577,13.875223895658316,28.59137045165956,13.875223895658316,0.0,37.168781587157426,6.68533514972628,4.429139652026204,0.0,9.250149263772212
Canada,CA,6.67,2023,canada,8,131.24,12.878466930813776,5.970435842730874,3.7589911612313314,3.149039926851569,12.878466930813778,20.306309052118255,15.734532154830843,12.115208777811642,8.191100274306613,25.220969216702223,8.381590978360256,7.924413288631515,6.43096616885096,16.001219140505942
Chile,CL,7.09,2023,chile,8,64.92,13.745532963647568,6.4360751694393095,3.9793592113370297,3.330098582871226,13.745532963647568,34.19593345656192,18.715341959334566,16.866913123844732,17.32902033271719,23.721503388786196,1.6173752310536045,5.62230437461491,5.499075785582255,10.628465804066543
Colombia,CO,7.7,2023,colombia,8,131.78,13.774396721809078,6.401274852026105,4.018743360145697,3.3543785096372742,13.774396721809078,28.729701016846256,25.421156472909395,13.469418728183335,15.260282288662923,23.296403096069206,4.6668690241311275,4.249506753680376,4.530277735619973,9.106085900743663
Costa Rica,CR,7.73,2023,costa-rica,6,11.8239,13.240047699997461,6.232672806772723,3.9142499513696833,3.093124941855056,13.240047699997461,17.33776503522526,26.64095602973638,17.33776503522526,0.0,32.39201955361598,5.201329510567579,5.741760332885089,0.0,12.686169537969706
Croatia,HR,6.71,2023,croatia,6,7.743,13.552886478109258,6.372207154849541,3.999612553273925,3.1810667699857937,13.552886478109258,17.43510267338241,22.60105902105127,17.43510267338241,0.0,37.96977915536613,7.555211158465711,3.848637479013302,0.0,10.590210512721168
Czechia,CZ,6.62,2023,czechia,8,24.67,13.377786785569516,6.298743413052289,3.896635589785164,3.182407782732063,13.377786785569517,21.483583299554113,19.456830158086742,13.579246047831374,7.9043372517227395,32.711795703283336,5.066882853668423,5.6749087961086335,6.688285366842318,8.917713822456426
Denmark,DK,7.23,2023,denmark,8,20.150100000000002,13.16226718477824,6.022823708070929,3.8669932159145612,3.27245026079275,13.162267184778242,19.602880382727626,17.36964084545486,12.903161770909325,6.699718611818303,24.51600736472772,13.151299497272966,4.665485531089176,5.310147344181914,15.384539034545734
Estonia,EE,6.67,2023,estonia,5,2.7915,13.13691563675443,6.303922622246104,3.860970804227118,2.972022210281211,13.13691563675443,17.069675801540388,24.732222819272796,17.069675801540388,0.0,38.330646605767505,0.0,8.762314168010029,0.0,11.105140605409277
Finland,FI,7.04,2023,finland,8,16.733,13.421621944660252,6.213589912149644,3.9273292296659297,3.280702802844678,13.421621944660254,22.231518556146533,14.342915197513895,13.745293730950813,8.486224825195722,27.610111755214245,11.05599713141696,8.964321998446184,5.635570429689834,10.159564931572342
France,FR,6.68,2023,france,8,202.95,13.382852919438289,6.140428677014044,3.9167282581916734,3.3256959842325697,13.382852919438289,22.02512934220251,14.979058881497906,11.702389751170239,10.322739591032274,25.671347622567136,12.515397881251541,6.750431140675044,5.24759793052476,12.811037201281104
Germany,DE,6.56,2023,germany,8,205.93,13.60505997183509,6.370222891273733,3.9499344437430186,3.2849026368183356,13.60505997183509,23.35745156121012,11.897246637206818,13.32977225270723,10.027679308502888,34.429174962365856,8.47375321711261,6.846986840188413,7.711358228524255,7.284028553391929
Greece,GR,6.74,2023,greece,8,25.3431,13.665692042409965,6.421886036041369,3.966732562314792,3.277073444053806,13.665692042409967,27.85768118343849,19.729235965607995,15.980681132142477,11.877000051296013,29.554395476480778,3.610450181706263,3.701599251867372,7.260358835343743,8.286279105555359
Hungary,HU,6.67,2023,hungary,8,23.1799,13.638928554480389,6.396037083852821,3.9693743286209178,3.2735171420066527,13.638928554480385,22.17438384117274,23.5117494035781,10.785206148430321,11.38917769274242,31.92421019935375,5.3926030742151605,3.3645529100643228,7.592785128494946,6.03971544312098
Iceland,IS,6.62,2023,iceland,4,0.9923,12.521717222614129,5.9064798951929856,3.6766098962007456,2.9386274312203975,12.52171722261413,20.06449662400484,24.609493096845714,20.06449662400484,0.0,29.124256777184318,0.0,0.0,0.0,26.201753501965133
Indonesia,ID,7.28,2023,indonesia,7,508.5,14.66322517207473,6.873352999016717,4.2607669616519175,3.5291052114060966,14.66322517207473,39.14454277286136,23.579154375614554,17.531956735496557,21.6125860373648,27.335299901671583,0.6981317600786627,4.71976401179941,0.0,4.523107177974435
Ireland,IE,6.79,2023,ireland,8,18.044999999999998,13.304516486561372,6.099196453311166,3.8941535051260736,3.3111665281241343,13.304516486561372,24.549736769188144,13.854253255749516,12.745912995289554,11.803823773898587,22.277639235245218,11.360487669714601,9.42089221390967,3.574397339983375,14.962593516209477
Israel,IL,7.01,2023,israel,7,24.16,14.21316225165563,6.604718543046358,4.1469370860927155,3.461506622516556,14.213162251655632,32.07781456953642,18.832781456953644,16.142384105960264,15.935430463576159,29.221854304635762,6.001655629139073,4.346026490066225,0.0,9.519867549668874
Italy,IT,6.6,2023,italy,8,149.43,13.580873987820382,6.388074683798433,3.942715652814026,3.250083651207923,13.580873987820386,29.010238907849825,18.704410091681723,17.533293180753528,11.476945727096297,29.378304222712973,2.476075754533895,3.647192665462089,5.407214080171317,11.376564277588168
Japan,JP,6.04,2023,japan,8,239.03,13.46646864410325,6.500732125674601,3.91503158599339,3.0507049324352593,13.466468644103252,27.778939882023177,6.296280801573024,19.11893904530812,8.660000836715056,32.79923022214785,0.5857005396812116,28.218215286784087,2.8992176714219973,1.4224155963686567
Korea,KR,6.36,2023,south-korea,6,93.81,14.075578296556868,6.805031446540879,4.086451337810468,3.1840955122055217,14.075578296556868,26.55367231638418,10.233450591621363,20.520200405074085,6.0334719113100945,49.03528408485236,0.0,10.446647478946808,0.0,3.730945528195288
Latvia,LV,6.68,2023,latvia,5,3.6679,13.116388123994653,6.299217535919735,3.8486054690694944,2.968565119005425,13.116388123994655,16.7071076092587,23.09223261266665,16.7071076092587,0.0,40.35006406935849,0.0,7.854630715123096,0.0,11.995964993593065
Lithuania,LT,6.66,2023,lithuania,6,6.0682,13.300715203849576,6.242147589070894,3.9390593586236444,3.119508256155038,13.300715203849576,13.41748788767674,27.190929765004448,13.41748788767674,0.0,34.93622491018753,7.6628983883194355,6.410467683991958,0.0,10.38199136481988
Malaysia,MY,6.95,2023,malaysia,7,91.3,14.33461117196057,6.698795180722892,4.165936473165389,3.4698795180722892,14.33461117196057,36.36363636363636,22.179627601314348,15.224534501642935,21.139101861993428,26.177437020810515,1.588170865279299,6.024096385542169,0.0,7.667031763417306
Mexico,MX,7.67,2023,mexico,8,331.97,13.912733078290206,6.47335602614694,4.050215380907913,3.3891616712353527,13.912733078290206,28.38208271831792,25.22818326957255,11.055215832755973,17.326866885561948,24.640780793445188,4.985390246106576,5.181191071482362,5.858963159321625,5.723408741753772
Netherlands,NL,6.9,2023,netherlands,8,65.79,12.854841161270711,5.934792521659826,3.7545219638242893,3.1655266757865936,12.854841161270715,20.231038151694783,12.235902112783098,11.627906976744185,8.6031311749506,23.559811521507825,10.56391548867609,11.475908192734456,6.733546131630947,15.199878400972791
New Zealand,NZ,6.52,2023,new-zealand,8,16.407700000000002,13.28553057405974,6.13385788379846,3.8845846767066674,3.267088013554611,13.285530574059742,23.15985787160906,17.979363347696506,13.10360379577881,10.05625407583025,25.841525625163793,8.837314187850826,4.825173546566551,4.120016821370454,15.236748599742802
Norway,NO,6.9,2023,norway,8,19.9655,13.635721619794149,6.179259222158223,4.020485337206682,3.4359770604292406,13.635721619794149,22.0380155768701,16.27807968746087,13.773759735543814,8.264255841326289,23.13991635571361,17.279807668227694,5.25907189902582,3.9843730435000375,12.020735769201874
Peru,PE,7.33,2023,peru,7,79.32000000000001,14.142839132627333,6.535678265254664,4.129475542107917,3.47768532526475,14.142839132627335,31.984367120524453,28.807362581946542,10.716086737266766,21.26828038325769,22.188603126575895,3.8451840645486635,3.4669692385274833,0.0,9.707513867876953
Philippines,PH,7.19,2023,philippines,7,232.53,14.109104201608394,6.55416505397153,4.137315615189438,3.4176235324474264,14.109104201608394,26.224573173353978,34.533178514600266,7.5474132370016775,18.6771599363523,24.81400249430181,3.7629553175934287,5.074614028297424,0.0,5.590676471853095
Poland,PL,6.59,2023,poland,8,86.41,13.746441384099063,6.4309686378891335,4.003471820391159,3.3120009258187713,13.74644138409906,23.77039694479806,20.657331327392665,12.035644022682561,11.734752922115497,31.825020252285615,6.480731396829071,4.629093854877908,6.2724221733595655,6.365004050457124
Portugal,PT,6.83,2023,portugal,8,31.23,13.20268972142171,6.17899455651617,3.840537944284342,3.1831572206211978,13.20268972142171,27.34550112071726,18.892090938200447,16.97086135126481,10.374639769452449,23.791226384886325,3.5222542427153383,6.083893691962857,6.59622158181236,13.768812039705411
Romania,RO,6.95,2023,romania,8,44.94,13.962394303515802,6.49821984868714,4.056964842011571,3.40720961281709,13.962394303515802,27.770360480640853,21.25055629728527,10.90342679127726,16.866933689363595,30.04005340453939,5.674232309746328,2.7814864263462398,4.4726301735647525,8.01068090787717
Serbia,RS,6.94,2023,serbia,6,14.1138,13.846589862404173,6.4468109226430865,4.098924456914509,3.300854482846576,13.846589862404173,19.484476186427468,20.54726579659624,19.484476186427468,0.0,35.49717297963695,11.690685711856482,4.278082444132693,0.0,8.502316881350168
Singapore,SG,6.18,2023,singapore,7,24.17,12.724038063715346,5.942490690939181,3.734795200661977,3.046752172114191,12.724038063715348,21.059164253206454,13.653289201489448,11.170872983036821,9.888291270169631,21.017790649565576,5.999172527927182,22.9623500206868,0.0,15.308233347124533
Slovak Republic,SK,6.57,2023,slovakia,7,10.6568,13.182662713009535,6.261964191877486,3.8589351400045038,3.061763381127543,13.182662713009535,13.60633586067112,23.459199759777793,13.60633586067112,0.0,39.03610840027025,5.489452743788004,3.6155318669769536,7.943285038660761,6.850086329855116
Slovenia,SI,6.62,2023,slovenia,6,4.2898,13.509231199589726,6.3153993193155875,3.99405566693086,3.19977621334328,13.509231199589722,14.476199356613364,21.8495034733554,14.476199356613364,0.0,38.230220523101316,10.315166208214837,4.872022005687911,0.0,10.256888433027182
Spain,ES,6.9,2023,spain,8,137.34,13.389908256880735,6.305009465559926,3.880297072957623,3.204601718363186,13.389908256880732,28.054463375564293,14.089121887287027,15.945827872433377,12.108635503130916,29.634483762924134,2.839667977282656,7.900101936799184,5.104121159167031,12.378039900975681
