country_code,n_students,life_satisfaction_mean,life_satisfaction_se,life_satisfaction_n,ST034Q01TA_mean,ST034Q02TA_mean,ST034Q03TA_mean,ST034Q04TA_mean,ST034Q05TA_mean,ST034Q06TA_mean,IC177Q02JA_hours_mean,IC177Q05JA_hours_mean,IC178Q02JA_hours_mean,IC178Q05JA_hours_mean,sm_weekday_hours_mean,sm_weekend_hours_mean,gaming_weekday_hours_mean,IC181Q01JA_upset_pct,IC181Q02JA_upset_pct,IC181Q03JA_upset_pct,IC181Q04JA_upset_pct,math_pv1,read_pv1,science_pv1,escs_mean
ALB,6129,8.0123,0.0363,5618,3.3359,1.8483,1.8100,3.1342,2.0532,3.3949,3.2498,3.3359,3.1850,3.2546,3.3688,3.2742,2.9110,0.4949,0.5533,0.5494,0.5400,368.3522,358.4461,375.0737,-0.7515
ARE,24600,6.8499,0.0183,22758,2.9209,2.0725,2.1592,2.9091,2.0861,3.0531,,,,,,,,,,,,431.4969,417.8651,433.1028,0.2967
ARG,12111,6.6932,0.0277,11284,2.9212,2.0880,2.0338,2.9350,2.0505,3.0109,3.2494,2.5346,3.2878,2.5850,2.8960,2.9478,2.2838,0.3372,0.5282,0.4690,0.4236,377.9673,400.9234,404.2707,-0.8020
AUS,13437,,,0,2.9849,2.0912,2.2481,2.8952,2.0367,3.0686,2.7942,2.2038,3.1039,2.3210,2.5057,2.7168,2.1826,0.3649,0.6136,0.5024,0.4583,486.5538,498.2077,506.4354,0.3794
AUT,6151,6.6919,0.0327,6001,3.4570,1.8912,1.9684,3.3298,1.8117,3.4417,2.6812,2.3689,2.8576,2.5034,2.5427,2.6828,1.8118,0.3312,0.4916,0.3616,0.3122,487.5933,480.6046,490.4824,0.0691
BEL,8286,,,0,3.2878,1.9985,2.2469,3.1102,2.0111,3.3351,2.8485,2.0235,3.1130,2.1390,2.4406,2.6313,1.7891,0.3956,0.5495,0.4308,0.3939,489.8158,479.3044,490.2722,0.0829
BGR,6107,7.0415,0.0378,5830,2.9436,2.0209,2.1125,2.8855,2.1372,2.9988,2.9507,2.9541,2.9847,3.0021,2.9669,3.0088,2.4426,0.3012,0.4221,0.3974,0.3882,417.3804,404.1395,421.1828,-0.2722
BRA,10798,6.8486,0.0283,9976,3.0149,2.1584,2.0873,3.0265,2.1155,2.9075,3.1923,2.4728,3.2364,2.5194,2.8446,2.8910,2.1555,0.4781,0.6338,0.5118,0.4531,377.7994,411.5037,403.3983,-0.9915
BRN,5576,5.8567,0.0326,5345,2.8022,2.2094,2.4257,2.6066,2.4053,2.9571,2.8487,2.1289,3.2193,2.2947,2.4896,2.7555,2.6594,0.4826,0.5441,0.5321,0.4587,441.6473,429.7494,446.3329,-0.2573
CAN,23073,,,0,3.0632,2.0980,2.1928,2.8857,2.0162,3.0642,,,,,,,,,,,,496.9132,506.4927,513.9800,0.3811
CHE,6829,7.0631,0.0275,6527,3.4364,1.9615,1.9627,3.3292,1.8684,3.4562,2.4000,1.5332,2.7004,1.6671,1.9840,2.1950,1.6224,0.3472,0.4929,0.3157,0.2683,507.8677,482.6812,502.9022,0.1692
CHL,6488,6.4058,0.0349,5549,2.9931,2.2759,2.1548,2.9803,2.1398,2.9678,3.5859,2.6452,3.7112,2.7832,3.1187,3.2514,2.5727,0.3071,0.5668,0.4607,0.3818,412.1008,448.2297,444.5791,-0.5086
COL,7804,6.9619,0.0325,7259,3.0131,2.0584,1.9566,2.9651,2.0277,2.9888,,,,,,,,,,,,383.0817,408.2306,411.6925,-1.0651
CRI,6113,7.3176,0.0346,5338,3.0345,2.0665,1.9909,2.9782,2.0577,3.0353,3.0252,1.9299,3.1756,1.9734,2.4838,2.5774,2.0788,0.4472,0.6442,0.4729,0.2897,384.6003,415.3050,412.0731,
CZE,8460,6.5560,0.0288,8156,2.9213,2.1845,2.1998,2.9116,2.0596,3.0102,2.9537,1.7581,2.9518,1.6595,2.3818,2.3104,2.1733,0.5275,0.6089,0.5529,0.5004,487.3954,487.9718,498.1543,-0.1041
DEU,6116,6.5091,0.0351,5286,3.4163,2.1600,2.0277,3.3289,1.8946,3.4509,2.5749,1.6841,2.7926,1.8144,2.1402,2.3116,2.0152,0.3562,0.4511,0.2750,0.2465,474.8349,478.9783,492.0077,-0.1370
DNK,6200,7.1891,0.0281,5644,3.3595,2.0122,2.2214,3.2194,2.0096,3.3046,2.9302,2.4114,3.2022,2.6277,2.6727,2.9189,2.1227,0.3761,0.5878,0.4494,0.4095,488.4297,489.0096,492.7484,0.4761
DOM,6868,7.4382,0.0373,6008,2.7967,1.9917,1.9477,2.7924,2.0065,2.9102,2.6059,2.1821,2.6024,2.2096,2.4074,2.4153,1.8514,0.3931,0.4906,0.4344,0.3430,339.0533,352.0404,360.4958,-0.7097
ESP,30800,6.8831,0.0132,29588,3.3636,2.0152,1.8461,3.2169,1.9253,3.3585,2.6970,1.7474,3.0499,1.9466,2.2238,2.5051,1.5574,0.4038,0.6281,0.4664,0.3073,472.7548,474.4559,485.3499,-0.0332
EST,6392,6.9132,0.0294,6286,3.2025,2.1961,2.1025,3.0158,2.2237,3.1401,2.6157,2.4077,2.7298,2.5088,2.5113,2.6188,2.3123,0.3088,0.5578,0.4649,0.4610,510.2156,511.8158,524.9723,0.1507
FIN,10239,7.4079,0.0219,9828,3.3471,2.0480,2.0295,3.0839,2.1111,3.3035,2.7649,2.0913,2.8913,2.0488,2.4527,2.4754,2.1717,0.3383,0.4524,0.3446,0.3115,484.1578,491.3429,511.7094,0.2585
FRA,6770,6.7700,0.0284,6572,3.0076,1.9498,2.1525,3.0833,1.9911,3.2666,,,,,,,,,,,,473.7822,474.6580,487.1880,0.0002
GBR,12972,6.0711,0.0235,11270,3.0439,2.1389,2.3701,2.9092,2.0623,3.1387,2.9308,2.2105,3.2730,2.3309,2.5800,2.8042,2.3705,0.2122,0.4733,0.3726,0.3284,489.2421,494.5338,499.2048,0.1364
GEO,6583,7.6229,0.0336,6209,3.2172,2.0049,2.4826,3.0855,2.1835,3.1796,2.7904,2.6713,2.9234,2.7141,2.7559,2.8383,2.0388,0.4861,0.6149,0.5835,0.5770,390.0259,372.5948,384.5421,-0.4661
GRC,6403,6.6209,0.0312,6304,3.1115,2.1057,2.0681,3.0561,2.0433,3.2412,2.7495,2.2670,2.9432,2.3532,2.5307,2.6606,1.8692,0.3678,0.5796,0.4203,0.3354,430.8097,437.4291,441.1132,-0.1549
GTM,5190,7.7239,0.0366,4762,2.8990,2.0560,1.8860,2.9872,2.0432,2.9543,,,,,,,,,,,,344.0725,375.4245,373.2506,-1.5129
HKG,5907,6.4898,0.0295,5608,2.8629,2.1425,2.2873,2.8433,2.2658,2.9640,2.5487,2.1288,2.7638,2.1841,2.3412,2.4742,2.8427,0.4293,0.5458,0.4885,0.4995,539.6471,498.9919,520.7549,-0.4619
HRV,6135,7.3667,0.0304,6012,3.3012,1.9326,1.9824,3.2460,2.0827,3.3024,2.7603,2.2261,3.0180,2.3980,2.5000,2.7141,1.7729,0.3945,0.5551,0.5099,0.5446,462.9979,474.5157,482.7998,-0.1520
HUN,6198,7.2138,0.0294,5963,3.2776,1.9599,2.0297,3.2598,2.0142,3.3327,2.6492,2.4594,2.8881,2.5293,2.5621,2.7079,2.1941,0.2440,0.3258,0.3283,0.3454,473.5614,472.6233,485.4159,0.0030
IDN,13439,7.2237,0.0228,13189,3.0978,1.8984,1.9516,3.0921,2.2034,3.0450,,,,,,,,,,,,365.5994,358.7182,382.0195,-1.5558
IRL,5569,6.5854,0.0309,5507,3.1323,2.0616,2.2429,3.0037,2.0031,3.1458,2.7677,2.1262,3.1174,2.2660,2.4521,2.6935,1.7163,0.2421,0.4904,0.3750,0.3331,492.5491,517.1393,503.9256,0.3330
ISL,3360,6.9014,0.0443,3152,3.3077,2.0580,1.9953,3.1475,2.0043,3.2860,2.7949,1.9762,2.8571,1.8305,2.3950,2.3499,2.0184,0.3042,0.4029,0.3164,0.2720,457.6729,435.2060,447.8429,0.3781
ISR,6251,,,0,,,,,,,2.8820,1.6952,2.8628,1.6511,2.3005,2.2681,2.1175,0.4900,0.5895,0.4279,0.3352,457.7550,473.5163,464.6624,0.2800
ITA,10552,6.5295,0.0224,10415,3.2339,2.0617,2.3466,3.1171,2.1634,3.2494,2.9653,2.0917,2.9486,2.0882,2.5331,2.5220,1.8751,0.3354,0.5774,0.3981,0.3272,471.7855,482.5750,479.3267,-0.1002
