country_code,gender,sm_category,sm_code,life_satisfaction_mean,life_satisfaction_se,n
ALB,female,None,1,7.9191,0.2105,159
ALB,female,<1hr,2,8.1192,0.1305,355
ALB,female,1-3hr,3,7.7767,0.1140,491
ALB,female,3-5hr,4,7.6255,0.1334,386
ALB,female,5-7hr,5,7.5236,0.1769,262
ALB,female,>7hr,6,7.4944,0.2161,187
ALB,male,None,1,8.5072,0.2631,108
ALB,male,<1hr,2,8.2491,0.1538,259
ALB,male,1-3hr,3,8.3999,0.1080,373
ALB,male,3-5hr,4,8.4344,0.1297,327
ALB,male,5-7hr,5,8.4535,0.1477,273
ALB,male,>7hr,6,8.7841,0.1584,205
ARG,female,None,1,5.7049,0.2466,198
ARG,female,<1hr,2,6.2787,0.1306,491
ARG,female,1-3hr,3,6.2998,0.0942,901
ARG,female,3-5hr,4,6.2313,0.0948,814
ARG,female,5-7hr,5,6.1735,0.1238,474
ARG,female,>7hr,6,5.7881,0.1423,496
ARG,male,None,1,7.1879,0.1725,288
ARG,male,<1hr,2,7.4432,0.1037,614
ARG,male,1-3hr,3,7.4926,0.0769,939
ARG,male,3-5hr,4,7.6047,0.0847,742
ARG,male,5-7hr,5,7.3460,0.1332,361
ARG,male,>7hr,6,7.6113,0.1277,376
AUS,female,None,1,,,0
AUS,female,<1hr,2,,,0
AUS,female,1-3hr,3,,,0
AUS,female,3-5hr,4,,,0
AUS,female,5-7hr,5,,,0
AUS,female,>7hr,6,,,0
AUS,male,None,1,,,0
AUS,male,<1hr,2,,,0
AUS,male,1-3hr,3,,,0
AUS,male,3-5hr,4,,,0
AUS,male,5-7hr,5,,,0
AUS,male,>7hr,6,,,0
AUT,female,None,1,6.5771,0.2565,106
AUT,female,<1hr,2,6.6649,0.1317,344
AUT,female,1-3hr,3,6.4201,0.0684,1133
AUT,female,3-5hr,4,6.0479,0.0912,657
AUT,female,5-7hr,5,5.8024,0.1444,261
AUT,female,>7hr,6,5.2620,0.2485,140
AUT,male,None,1,7.4974,0.2013,178
AUT,male,<1hr,2,7.2731,0.1066,533
AUT,male,1-3hr,3,7.2037,0.0703,1089
AUT,male,3-5hr,4,6.9924,0.1098,519
AUT,male,5-7hr,5,6.6662,0.1954,187
AUT,male,>7hr,6,6.6548,0.2968,103
BEL,female,None,1,,,0
BEL,female,<1hr,2,,,0
BEL,female,1-3hr,3,,,0
BEL,female,3-5hr,4,,,0
BEL,female,5-7hr,5,,,0
BEL,female,>7hr,6,,,0
BEL,male,None,1,,,0
BEL,male,<1hr,2,,,0
BEL,male,1-3hr,3,,,0
BEL,male,3-5hr,4,,,0
BEL,male,5-7hr,5,,,0
BEL,male,>7hr,6,,,0
BGR,female,None,1,6.7262,0.3189,99
BGR,female,<1hr,2,6.9583,0.1466,341
BGR,female,1-3hr,3,6.7945,0.1038,630
BGR,female,3-5hr,4,6.6124,0.1263,426
BGR,female,5-7hr,5,6.5551,0.1895,254
BGR,female,>7hr,6,6.7875,0.2043,192
BGR,male,None,1,6.6456,0.2206,212
BGR,male,<1hr,2,7.4922,0.1202,445
BGR,male,1-3hr,3,7.3711,0.1018,636
BGR,male,3-5hr,4,7.6958,0.1324,372
BGR,male,5-7hr,5,7.5134,0.1849,235
BGR,male,>7hr,6,8.1706,0.1933,194
BRA,female,None,1,6.2739,0.1979,254
BRA,female,<1hr,2,6.3518,0.1374,469
BRA,female,1-3hr,3,6.4756,0.0846,897
BRA,female,3-5hr,4,6.3910,0.0938,707
BRA,female,5-7hr,5,6.5065,0.1191,443
BRA,female,>7hr,6,6.1365,0.1352,504
BRA,male,None,1,6.9354,0.1515,419
BRA,male,<1hr,2,7.3220,0.1134,561
BRA,male,1-3hr,3,7.2660,0.0872,845
BRA,male,3-5hr,4,7.4472,0.0946,633
BRA,male,5-7hr,5,7.1483,0.1365,373
BRA,male,>7hr,6,7.3010,0.1535,365
BRN,female,None,1,5.3747,0.1588,249
BRN,female,<1hr,2,5.4061,0.0987,505
BRN,female,1-3hr,3,5.7023,0.0850,678
BRN,female,3-5hr,4,5.4803,0.0978,524
BRN,female,5-7hr,5,4.9983,0.1356,298
BRN,female,>7hr,6,5.0187,0.1437,305
BRN,male,None,1,6.0235,0.1386,337
BRN,male,<1hr,2,6.3347,0.0932,605
BRN,male,1-3hr,3,6.4040,0.0888,666
BRN,male,3-5hr,4,6.2170,0.1152,426
BRN,male,5-7hr,5,6.4245,0.1534,234
BRN,male,>7hr,6,6.3196,0.1490,283
CHE,female,None,1,7.0964,0.1976,127
CHE,female,<1hr,2,6.8159,0.1040,453
CHE,female,1-3hr,3,6.6567,0.0581,1299
CHE,female,3-5hr,4,6.2447,0.0923,533
CHE,female,5-7hr,5,5.9947,0.1509,215
CHE,female,>7hr,6,5.9118,0.2417,119
CHE,male,None,1,7.9102,0.1576,178
CHE,male,<1hr,2,7.6328,0.0776,666
CHE,male,1-3hr,3,7.5225,0.0569,1225
CHE,male,3-5hr,4,7.3957,0.0959,492
CHE,male,5-7hr,5,7.3044,0.1878,160
CHE,male,>7hr,6,7.7656,0.2329,111
CHL,female,None,1,5.6649,0.4556,56
CHL,female,<1hr,2,5.6945,0.1769,230
CHL,female,1-3hr,3,6.0587,0.1025,592
CHL,female,3-5hr,4,5.9282,0.0967,582
CHL,female,5-7hr,5,5.6592,0.1169,416
CHL,female,>7hr,6,5.4353,0.1534,340
CHL,male,None,1,7.0623,0.3239,72
CHL,male,<1hr,2,7.0774,0.1258,397
CHL,male,1-3hr,3,7.1559,0.0865,719
CHL,male,3-5hr,4,7.0735,0.0906,636
CHL,male,5-7hr,5,6.8670,0.1406,289
CHL,male,>7hr,6,6.6644,0.1882,214
CRI,female,None,1,7.0652,0.2523,144
CRI,female,<1hr,2,7.2874,0.1225,439
CRI,female,1-3hr,3,7.2155,0.0923,668
CRI,female,3-5hr,4,6.5796,0.1056,550
CRI,female,5-7hr,5,6.3757,0.1519,303
CRI,female,>7hr,6,6.0338,0.1555,319
CRI,male,None,1,7.9731,0.1663,188
CRI,male,<1hr,2,7.8641,0.0963,594
CRI,male,1-3hr,3,7.8096,0.0850,701
CRI,male,3-5hr,4,7.8772,0.0951,506
CRI,male,5-7hr,5,7.3090,0.1620,218
CRI,male,>7hr,6,7.5738,0.1713,220
CZE,female,None,1,6.1926,0.2567,106
CZE,female,<1hr,2,6.1622,0.1092,544
CZE,female,1-3hr,3,6.3286,0.0625,1416
CZE,female,3-5hr,4,5.7266,0.0816,944
CZE,female,5-7hr,5,5.4021,0.1316,420
CZE,female,>7hr,6,5.1301,0.2041,230
CZE,male,None,1,7.0419,0.2007,206
CZE,male,<1hr,2,7.3213,0.0808,816
