country_code,gender,n_students,life_satisfaction_mean,life_satisfaction_se,life_satisfaction_n,sm_weekday_hours_mean
ALB,female,3085,7.7411,0.0512,2856,3.2021
ALB,male,3044,8.2676,0.0511,2762,3.5488
ARE,female,12059,6.5675,0.0254,11413,
ARE,male,12541,7.1308,0.0260,11345,
ARG,female,6094,6.0660,0.0400,5704,3.0508
ARG,male,6017,7.3279,0.0365,5580,2.7393
AUS,female,6557,,,0,2.6173
AUS,male,6858,,,0,2.3889
AUT,female,3041,6.2140,0.0453,2980,2.7397
AUT,male,3110,7.1543,0.0456,3021,2.3482
BEL,female,4256,,,0,2.5881
BEL,male,4030,,,0,2.2812
BGR,female,2877,6.7048,0.0543,2777,3.0880
BGR,male,3230,7.3419,0.0520,3053,2.8555
BRA,female,5481,6.4176,0.0395,5078,3.0129
BRA,male,5317,7.2862,0.0395,4898,2.6757
BRN,female,2745,5.4098,0.0451,2639,2.6355
BRN,male,2831,6.2895,0.0455,2706,2.3449
CAN,female,11377,,,0,
CAN,male,11654,,,0,
CHE,female,3289,6.5345,0.0393,3145,2.0577
CHE,male,3540,7.5758,0.0364,3382,1.9104
CHL,female,3145,5.8003,0.0498,2702,3.3994
CHL,male,3343,6.9924,0.0464,2847,2.8446
COL,female,4014,6.5650,0.0463,3726,
COL,male,3790,7.3903,0.0446,3533,
CRI,female,3006,6.8280,0.0510,2654,2.6589
CRI,male,3107,7.7994,0.0448,2684,2.3110
CZE,female,4228,5.9357,0.0404,4074,2.4049
CZE,male,4232,7.1591,0.0388,4082,2.3589
DEU,female,2993,5.8920,0.0495,2583,2.2297
DEU,male,3123,7.1065,0.0469,2703,2.0521
DNK,female,3066,6.6935,0.0411,2808,2.9362
DNK,male,3134,7.6665,0.0361,2836,2.4220
DOM,female,3701,7.0864,0.0513,3230,2.4098
DOM,male,3167,7.8317,0.0532,2778,2.4046
ESP,female,15239,6.4350,0.0188,14663,2.3902
ESP,male,15561,7.3250,0.0177,14925,2.0576
EST,female,3120,6.3918,0.0412,3076,2.7354
EST,male,3272,7.4061,0.0399,3210,2.2961
FIN,female,4995,6.8106,0.0318,4817,2.6219
FIN,male,5244,7.9865,0.0277,5011,2.2824
FRA,female,3406,6.4030,0.0400,3311,
FRA,male,3364,7.1531,0.0393,3261,
GBR,female,6397,5.6092,0.0328,5571,2.7827
GBR,male,6575,6.5095,0.0327,5699,2.3789
GEO,female,3182,7.2552,0.0487,3026,2.7863
GEO,male,3401,7.9727,0.0456,3183,2.7261
GRC,female,3186,6.1354,0.0434,3144,2.6135
GRC,male,3217,7.0944,0.0432,3160,2.4476
GTM,female,2694,7.4557,0.0524,2488,
GTM,male,2496,8.0068,0.0504,2274,
HKG,female,2832,6.3000,0.0396,2717,2.4107
HKG,male,3075,6.6597,0.0431,2891,2.2773
HRV,female,3053,6.7789,0.0438,3008,2.6659
HRV,male,3082,7.9236,0.0397,3004,2.3356
HUN,female,3109,6.6838,0.0425,2992,2.8170
HUN,male,3089,7.7440,0.0384,2971,2.3082
IDN,female,6864,6.8888,0.0319,6739,
IDN,male,6575,7.5764,0.0320,6450,
IRL,female,2755,6.2735,0.0440,2737,2.7903
IRL,male,2814,6.8841,0.0426,2770,2.1193
ISL,female,1632,6.3621,0.0622,1560,2.5706
ISL,male,1728,7.4407,0.0601,1592,2.2099
ISR,female,3359,,,0,2.6324
ISR,male,2892,,,0,1.9836
ITA,female,5359,6.1248,0.0316,5303,2.7487
ITA,male,5193,6.9518,0.0306,5112,2.3031
JAM,female,2168,5.5634,0.0670,1952,
JAM,male,1705,6.1652,0.0792,1443,
JOR,female,4014,6.6840,0.0481,3869,2.6099
JOR,male,3785,6.8611,0.0554,3450,3.0492
JPN,female,2904,6.5435,0.0454,2889,1.7732
JPN,male,2856,6.9766,0.0466,2839,1.5256
KAZ,female,9594,8.1534,0.0227,9532,2.5425
KAZ,male,10175,8.6583,0.0201,10090,2.2989
KHM,female,2812,7.4657,0.0457,2692,
KHM,male,2467,7.8688,0.0490,2349,
KOR,female,3129,5.9893,0.0423,3091,2.2087
KOR,male,3325,6.6971,0.0430,3278,1.8060
KSV,female,2928,7.4874,0.0521,2823,
KSV,male,3099,8.2474,0.0461,2940,
LTU,female,3657,6.6377,0.0408,3587,2.6667
LTU,male,3600,7.6578,0.0384,3503,2.2236
LVA,female,2736,6.3764,0.0448,2605,2.5839
LVA,male,2637,7.1488,0.0449,2501,2.0748
MAC,female,2140,6.1563,0.0468,2122,2.3560
MAC,male,2244,6.6501,0.0472,2235,2.2174
MAR,female,3401,6.5295,0.0557,2928,2.1929
MAR,male,3466,6.9817,0.0534,2995,2.3773
