country,problematic_social_media_use_girl,problematic_social_media_use_boy,problematic_social_media_use_avg,intensive_online_contact_girl,intensive_online_contact_boy,intensive_online_contact_avg,life_satisfaction_hbsc_girl,life_satisfaction_hbsc_boy,life_satisfaction_hbsc_avg,mean_features_statcounter,feature_exposure_statcounter,o_exposure_statcounter,life_satisfaction_pisa,mean_features_app_proxy,feature_exposure_app_proxy,o_exposure_app_proxy,algo_feed_share_app_proxy
Austria,12.0,8.0,10.0,35.0,28.0,31.5,6.9,7.6,7.25,12.819918008199181,12.821200000000001,5.9796000000000005,7.04,13.539920599911774,13.539920599911778,6.299514777238642,22.23202470224967
Belgium,13.5,8.0,10.75,42.0,32.0,37.0,6.85,7.45,7.15,12.713571357135715,12.7123,5.926700000000001,6.85,13.245652173913042,13.245652173913046,6.116847826086958,22.06521739130435
Bulgaria,19.0,15.0,17.0,41.0,28.0,34.5,6.8,7.3,7.05,13.015603120624125,13.012999999999998,6.010199999999999,6.68,13.439373680802577,13.439373680802575,6.327396419351312,13.875223895658316
Canada,13.0,6.0,9.5,55.0,41.0,48.0,6.3,7.0,6.65,12.40848169633927,12.406,5.828700000000001,6.67,12.878466930813778,12.878466930813776,5.970435842730874,20.306309052118255
Croatia,16.0,12.0,14.0,43.0,29.0,36.0,7.2,8.0,7.6,12.953304669533049,12.954600000000001,6.013899999999998,6.71,13.552886478109258,13.552886478109258,6.372207154849541,17.43510267338241
Czechia,9.0,4.0,6.5,35.0,27.0,31.0,6.8,7.7,7.25,12.695669566956694,12.694399999999996,5.942999999999998,6.62,13.377786785569517,13.377786785569516,6.298743413052289,21.483583299554113
Denmark,7.0,6.0,6.5,43.0,36.0,39.5,6.7,7.5,7.1,12.054699999999997,12.0547,5.706799999999999,7.23,13.162267184778242,13.16226718477824,6.022823708070929,19.602880382727626
Estonia,8.0,6.0,7.0,38.0,27.0,32.5,6.5,7.4,6.95,12.806880688068807,12.8056,5.9704999999999995,6.67,13.13691563675443,13.13691563675443,6.303922622246104,17.069675801540388
Finland,8.0,12.0,10.0,50.0,25.0,37.5,7.0,8.0,7.5,12.7993200679932,12.8006,6.0121,7.04,13.421621944660254,13.421621944660252,6.213589912149644,22.231518556146533
France,10.0,4.0,7.0,44.0,37.0,40.5,6.6,7.3,6.949999999999999,12.667366736673669,12.666100000000002,5.906900000000002,6.68,13.382852919438289,13.382852919438289,6.140428677014044,22.02512934220251
Germany,10.0,7.0,8.5,34.0,23.0,28.5,6.9,7.5,7.2,12.79012098790121,12.791400000000003,5.962900000000002,6.56,13.60505997183509,13.60505997183509,6.370222891273733,23.35745156121012
Greece,21.0,10.0,15.5,44.0,32.0,38.0,6.2,7.3,6.75,13.008600860086005,13.007299999999999,6.028000000000001,6.74,13.665692042409967,13.665692042409965,6.421886036041369,27.85768118343849
Hungary,9.0,3.0,6.0,38.0,28.0,33.0,6.7,7.4,7.050000000000001,12.945899999999998,12.945899999999998,5.983099999999999,6.67,13.638928554480385,13.638928554480389,6.396037083852821,22.17438384117274
Iceland,9.0,9.0,9.0,47.0,36.0,41.5,6.8,7.6,7.199999999999999,12.814499999999999,12.814499999999999,5.956799999999999,6.62,12.52171722261413,12.521717222614129,5.9064798951929856,20.06449662400484
Ireland,25.0,13.0,19.0,56.0,41.0,48.5,5.9,6.7,6.300000000000001,12.969793958791758,12.9672,6.006600000000001,6.79,13.304516486561372,13.304516486561372,6.099196453311166,24.549736769188144
Israel,19.0,13.0,16.0,36.0,36.0,36.0,,,,13.080300000000003,13.080300000000003,6.113300000000001,7.01,14.213162251655632,14.21316225165563,6.604718543046358,32.07781456953642
Italy,19.0,8.0,13.5,38.0,25.0,31.5,6.2,6.9,6.550000000000001,13.23654730946189,13.233899999999997,6.176099999999999,6.6,13.580873987820386,13.580873987820382,6.388074683798433,29.010238907849825
Latvia,10.0,3.0,6.5,35.0,29.0,32.0,6.3,7.1,6.699999999999999,12.524247575242477,12.525499999999997,5.8743,6.68,13.116388123994655,13.116388123994653,6.299217535919735,16.7071076092587
Lithuania,10.0,6.0,8.0,45.0,38.0,41.5,6.4,7.5,6.95,12.81876375275055,12.816199999999998,5.9941,6.66,13.300715203849576,13.300715203849576,6.242147589070894,13.41748788767674
