country,code,life_satisfaction,baseline_mean_features_per_share,comp_cal_mean_features_per_share,abs_cal_mean_features_per_share,baseline_algo_feed_share,comp_cal_algo_feed_share,abs_cal_algo_feed_share
Australia,AU,6.58,13.179087232813403,13.461942230190179,14.096498855427855,23.050259965337958,26.30243060916506,32.91204286494843
Austria,AT,7.04,13.539920599911774,13.78522484863208,14.368847170646951,22.23202470224967,24.713126427766362,31.957287566433678
Belgium,BE,6.85,13.245652173913042,13.518868581702623,14.155683696538317,22.06521739130435,25.040634181397643,31.595560693218196
Brazil,BR,6.65,13.81803078772026,14.128761560552517,14.702832399259382,34.589349781728856,40.289504884168466,48.96299281983353
Bulgaria,BG,6.68,13.439373680802577,13.656374058907263,13.87595691676154,13.875223895658316,16.40462882479958,19.831024538497154
Canada,CA,6.67,12.878466930813778,13.157202096897379,13.77688672376127,20.306309052118255,23.351186899502288,29.595361154624463
Chile,CL,7.09,13.745532963647568,14.08161534751284,14.67861812245205,34.19593345656192,40.1083321098556,48.73202171011988
Colombia,CO,7.7,13.774396721809078,14.134864073385598,14.627151461224168,28.729701016846256,34.63756529003971,41.204094576728025
Costa Rica,CR,7.73,13.240047699997461,13.459984293103528,13.74971816115273,17.33776503522526,20.448378654770924,24.591546943082438
Croatia,HR,6.71,13.552886478109258,13.761814536673336,14.071952198410159,17.43510267338241,19.71663142534512,24.462689459868287
Czechia,CZ,6.62,13.377786785569517,13.650099820191398,14.104339802011383,21.483583299554113,25.420468915755592,31.9346874695352
Denmark,DK,7.23,13.162267184778242,13.417812492683817,14.069462332884337,19.602880382727626,21.68553323207663,27.327858176250444
Estonia,EE,6.67,13.13691563675443,13.31222009565241,13.490642060088,17.069675801540388,21.23344205773981,25.51577679767034
Finland,FI,7.04,13.421621944660254,13.711064643464375,14.23554984245854,22.231518556146533,24.864723782454092,30.991591867828863
France,FR,6.68,13.382852919438289,13.665643199727617,14.290077873146654,22.02512934220251,24.590179127095542,30.892630212059753
Germany,DE,6.56,13.60505997183509,13.857231871087457,14.39939434950929,23.35745156121012,26.00979474506016,33.73663983044953
Greece,GR,6.74,13.665692042409967,13.954406008993896,14.492758607841875,27.85768118343849,32.648328686039065,40.61447971487054
Hungary,HU,6.67,13.638928554480385,13.945305002097781,14.396729442644608,22.17438384117274,26.881900434777272,33.359730021069595
Iceland,IS,6.62,12.52171722261413,12.694743424668472,13.185186490054866,20.06449662400484,24.39015167536339,30.341795028867494
Indonesia,ID,7.28,14.66322517207473,15.057215561089187,15.393271294368644,39.14454277286136,46.53620318077212,54.16098725737399
Ireland,IE,6.79,13.304516486561372,13.617888589822448,14.252071521951825,24.549736769188144,27.57408632112292,34.02795892926896
Israel,IL,7.01,14.213162251655632,14.528065715142843,15.0098564169091,32.07781456953642,36.77045700925375,44.6505606264646
Italy,IT,6.6,13.580873987820386,13.858649087056786,14.43032606014231,29.010238907849825,33.87066474184804,42.33873336864295
Japan,JP,6.04,13.466468644103252,13.834351895315892,13.937499302575715,27.778939882023177,33.034687725534525,39.00016072607804
Korea,KR,6.36,14.075578296556868,14.309577314106777,14.536763326651405,26.55367231638418,30.710556067500058,39.38274535624207
Latvia,LV,6.68,13.116388123994655,13.28474426738638,13.478742459061818,16.7071076092587,20.696208768391024,25.213002208312403
Lithuania,LT,6.66,13.300715203849576,13.526582160695288,13.760525142611758,13.41748788767674,15.706786109468947,18.957920557956527
Malaysia,MY,6.95,14.33461117196057,14.72704454762224,15.135757918354482,36.36363636363636,43.35185620203409,51.01289237872672
Mexico,MX,7.67,13.912733078290206,14.294579900534117,14.739387249755396,28.38208271831792,34.510285418386985,40.98428971753573
Netherlands,NL,6.9,12.854841161270715,13.15529228519799,13.777047560279705,20.231038151694783,22.86216372586594,28.829311584204234
New Zealand,NZ,6.52,13.285530574059742,13.563773630612152,14.193986697393871,23.15985787160906,26.476867532363954,33.231097611266215
Norway,NO,6.9,13.635721619794149,13.90455583625111,14.511144161150208,22.0380155768701,23.789081126470347,29.204107725568925
Peru,PE,7.33,14.142839132627335,14.561492983055201,14.997321112745258,31.984367120524453,39.275238222933226,45.63397259766891
Philippines,PH,7.19,14.109104201608394,14.556206257928363,14.82031583271854,26.224573173353978,33.93944815557524,38.802228585056206
Poland,PL,6.59,13.74644138409906,14.050590845152456,14.51042845269682,23.77039694479806,28.08583835843345,34.88636253375951
Portugal,PT,6.83,13.20268972142171,13.49733929087366,14.098582682681643,27.34550112071726,32.082267300521124,39.569220183823866
Romania,RO,6.95,13.962394303515802,14.283750315577155,14.814692912628022,27.770360480640853,32.81266310409198,40.61276376956787
Serbia,RS,6.94,13.846589862404173,14.068052423903662,14.395815335122782,19.484476186427468,21.06131985661496,25.920244117059745
Singapore,SG,6.18,12.724038063715348,13.117353067224975,13.488985268029841,21.059164253206454,25.59008324086198,30.190469631731823
Slovak Republic,SK,6.57,13.182662713009535,13.369958577091733,13.662475492735851,13.60633586067112,15.945577546286502,20.01523490518496
Slovenia,SI,6.62,13.509231199589722,13.726996225425994,14.026798989811276,14.476199356613364,16.081286928838917,20.07313340151988
Spain,ES,6.9,13.389908256880732,13.678976094357191,14.248451969267544,28.054463375564293,32.529486760691874,41.07440532290582
Sweden,SE,6.62,13.504662643993413,13.776787770874908,14.401500077626984,24.931431705979154,27.492091604978704,34.00935787570203
Switzerland,CH,7.13,13.113463843387937,13.342903093383175,14.028898209134896,22.21334398721534,24.476870979578724,32.029874291213616
Thailand,TH,7.08,14.467975481922357,14.948606084907917,15.161778330696599,34.12987474460336,43.00432893576095,48.93203311504822
Türkiye,TR,5.87,14.44994433104472,14.774389756863204,15.13796187545726,36.42141399146409,40.64587106127517,47.826878011284705
United Kingdom,GB,6.01,13.084935475375296,13.389063789447352,13.948975191666346,21.249231849705907,24.277671425308206,30.177260042011547
United States,US,6.41,12.827568449060164,13.11793234822743,13.821184195666017,22.032443567075788,25.120478223570124,31.631839062798505
Uruguay,UY,7.05,13.869748366046084,14.219227101889665,14.699325930826308,33.73975937692564,39.777919807170534,47.35443163467343
Vietnam,VN,6.71,14.56106889436868,15.020829219091288,15.284905745499644,30.30043782396457,39.3930917971054,46.084910669636685
