country,year,platform,teen_selected_pct,source
Australia,2019,Facebook,46.0,IFPS Youth Report 2021 (chart extraction)
Australia,2019,Instagram,50.0,IFPS Youth Report 2021 (chart extraction)
Australia,2019,Snapchat,40.0,IFPS Youth Report 2021 (chart extraction)
Australia,2019,TikTok,28.0,IFPS Youth Report 2021 (chart extraction)
Australia,2019,Twitter,15.0,IFPS Youth Report 2021 (chart extraction)
Australia,2020,Facebook,49.0,IFPS Youth Report 2021 (chart extraction)
Australia,2020,Instagram,50.0,IFPS Youth Report 2021 (chart extraction)
Australia,2020,Snapchat,40.0,IFPS Youth Report 2021 (chart extraction)
Australia,2020,TikTok,38.0,IFPS Youth Report 2021 (chart extraction)
Australia,2020,Twitter,20.0,IFPS Youth Report 2021 (chart extraction)
Australia,2021,Facebook,44.0,IFPS Youth Report 2021 (chart extraction)
Australia,2021,Instagram,46.0,IFPS Youth Report 2021 (chart extraction)
Australia,2021,Snapchat,37.0,IFPS Youth Report 2021 (chart extraction)
Australia,2021,TikTok,44.0,IFPS Youth Report 2021 (chart extraction)
Australia,2021,Twitter,17.0,IFPS Youth Report 2021 (chart extraction)
Canada,2019,Facebook,41.0,IFPS Youth Report 2021 (chart extraction)
Canada,2019,Instagram,54.0,IFPS Youth Report 2021 (chart extraction)
Canada,2019,Snapchat,46.0,IFPS Youth Report 2021 (chart extraction)
Canada,2019,TikTok,31.0,IFPS Youth Report 2021 (chart extraction)
Canada,2019,Twitter,16.0,IFPS Youth Report 2021 (chart extraction)
Canada,2020,Facebook,37.0,IFPS Youth Report 2021 (chart extraction)
Canada,2020,Instagram,51.0,IFPS Youth Report 2021 (chart extraction)
Canada,2020,Snapchat,44.0,IFPS Youth Report 2021 (chart extraction)
Canada,2020,TikTok,45.0,IFPS Youth Report 2021 (chart extraction)
Canada,2020,Twitter,15.0,IFPS Youth Report 2021 (chart extraction)
Canada,2021,Facebook,40.0,IFPS Youth Report 2021 (chart extraction)
Canada,2021,Instagram,50.0,IFPS Youth Report 2021 (chart extraction)
Canada,2021,Snapchat,42.0,IFPS Youth Report 2021 (chart extraction)
Canada,2021,TikTok,53.0,IFPS Youth Report 2021 (chart extraction)
Canada,2021,Twitter,20.0,IFPS Youth Report 2021 (chart extraction)
Chile,2019,Facebook,53.0,IFPS Youth Report 2021 (chart extraction)
Chile,2019,Instagram,68.0,IFPS Youth Report 2021 (chart extraction)
Chile,2019,Snapchat,27.0,IFPS Youth Report 2021 (chart extraction)
Chile,2019,TikTok,21.0,IFPS Youth Report 2021 (chart extraction)
Chile,2019,Twitter,21.0,IFPS Youth Report 2021 (chart extraction)
Chile,2020,Facebook,47.0,IFPS Youth Report 2021 (chart extraction)
Chile,2020,Instagram,69.0,IFPS Youth Report 2021 (chart extraction)
Chile,2020,Snapchat,16.0,IFPS Youth Report 2021 (chart extraction)
Chile,2020,TikTok,59.0,IFPS Youth Report 2021 (chart extraction)
Chile,2020,Twitter,24.0,IFPS Youth Report 2021 (chart extraction)
Chile,2021,Facebook,44.0,IFPS Youth Report 2021 (chart extraction)
Chile,2021,Instagram,67.0,IFPS Youth Report 2021 (chart extraction)
Chile,2021,Snapchat,13.0,IFPS Youth Report 2021 (chart extraction)
Chile,2021,TikTok,66.0,IFPS Youth Report 2021 (chart extraction)
Chile,2021,Twitter,23.0,IFPS Youth Report 2021 (chart extraction)
Mexico,2019,Facebook,78.0,IFPS Youth Report 2021 (chart extraction)
Mexico,2019,Instagram,53.0,IFPS Youth Report 2021 (chart extraction)
Mexico,2019,Snapchat,31.0,IFPS Youth Report 2021 (chart extraction)
Mexico,2019,TikTok,20.0,IFPS Youth Report 2021 (chart extraction)
Mexico,2019,Twitter,33.0,IFPS Youth Report 2021 (chart extraction)
Mexico,2020,Facebook,78.0,IFPS Youth Report 2021 (chart extraction)
Mexico,2020,Instagram,55.0,IFPS Youth Report 2021 (chart extraction)
Mexico,2020,Snapchat,30.0,IFPS Youth Report 2021 (chart extraction)
Mexico,2020,TikTok,58.0,IFPS Youth Report 2021 (chart extraction)
Mexico,2020,Twitter,28.0,IFPS Youth Report 2021 (chart extraction)
Mexico,2021,Facebook,74.0,IFPS Youth Report 2021 (chart extraction)
Mexico,2021,Instagram,55.0,IFPS Youth Report 2021 (chart extraction)
Mexico,2021,Snapchat,27.0,IFPS Youth Report 2021 (chart extraction)
Mexico,2021,TikTok,73.0,IFPS Youth Report 2021 (chart extraction)
Mexico,2021,Twitter,29.0,IFPS Youth Report 2021 (chart extraction)
United Kingdom,2019,Facebook,47.0,IFPS Youth Report 2021 (chart extraction)
United Kingdom,2019,Instagram,53.0,IFPS Youth Report 2021 (chart extraction)
United Kingdom,2019,Snapchat,50.0,IFPS Youth Report 2021 (chart extraction)
United Kingdom,2019,TikTok,28.0,IFPS Youth Report 2021 (chart extraction)
United Kingdom,2019,Twitter,23.0,IFPS Youth Report 2021 (chart extraction)
United Kingdom,2020,Facebook,43.0,IFPS Youth Report 2021 (chart extraction)
United Kingdom,2020,Instagram,51.0,IFPS Youth Report 2021 (chart extraction)
United Kingdom,2020,Snapchat,48.0,IFPS Youth Report 2021 (chart extraction)
