state,state_fips,year,total_households,households_with_internet,households_no_internet,broadband_penetration_pct
Alabama,01,2013,1822439,1179510,45801,64.72
Alabama,01,2014,1841217,1223600,61108,66.46
Alabama,01,2015,1846390,1271411,65333,68.86
Alabama,01,2016,1852518,1391526,398154,75.12
Alabama,01,2017,1841665,1446030,342494,78.52
Alabama,01,2018,1855184,1479248,321359,79.74
Alabama,01,2019,1897576,1554796,292172,81.94
Alabama,01,2021,1967559,1679096,229752,85.34
Alabama,01,2022,2016448,1767241,200636,87.64
Alabama,01,2023,2051545,1836939,155957,89.54
Alaska,02,2013,246015,196522,7367,79.88
Alaska,02,2014,249659,204620,6545,81.96
Alaska,02,2015,250185,205582,6381,82.17
Alaska,02,2016,248468,214498,28566,86.33
Alaska,02,2017,250741,216587,29185,86.38
Alaska,02,2018,254551,223473,24576,87.79
Alaska,02,2019,252199,221864,25827,87.97
Alaska,02,2021,271311,246465,20969,90.84
Alaska,02,2022,274574,252277,15297,91.88
Alaska,02,2023,276852,258053,12887,93.21
Arizona,04,2013,2400809,1796805,69930,74.84
Arizona,04,2014,2428743,1848561,80386,76.11
Arizona,04,2015,2463008,1934229,96916,78.53
Arizona,04,2016,2519052,2103159,353476,83.49
Arizona,04,2017,2552972,2196279,299857,86.03
Arizona,04,2018,2614298,2263443,288885,86.58
Arizona,04,2019,2670441,2334078,273986,87.4
Arizona,04,2021,2817723,2580745,183758,91.59
Arizona,04,2022,2850377,2600610,178999,91.24
Arizona,04,2023,2907014,2687560,145819,92.45
Arkansas,05,2013,1125899,701461,40588,62.3
Arkansas,05,2014,1131288,728111,45067,64.36
Arkansas,05,2015,1144663,744165,59208,65.01
Arkansas,05,2016,1142718,815047,257539,71.33
Arkansas,05,2017,1153082,845170,236499,73.3
Arkansas,05,2018,1156347,893235,212223,77.25
Arkansas,05,2019,1163647,931953,199714,80.09
Arkansas,05,2021,1183675,1014379,142227,85.7
Arkansas,05,2022,1216207,1057473,129738,86.95
Arkansas,05,2023,1232871,1090713,107915,88.47
California,06,2013,12650592,9962427,268992,78.75
California,06,2014,12758648,10294825,312851,80.69
California,06,2015,12896357,10552961,356293,81.83
California,06,2016,12944178,11092697,1540021,85.7
California,06,2017,13005097,11432470,1279460,87.91
California,06,2018,13072122,11625636,1147228,88.93
California,06,2019,13157873,11836937,1062051,89.96
California,06,2021,13429063,12492698,684471,93.03
California,06,2022,13550586,12674005,618682,93.53
California,06,2023,13699816,12920016,504655,94.31
Colorado,08,2013,2002800,1612142,76680,80.49
Colorado,08,2014,2039592,1676177,83019,82.18
Colorado,08,2015,2074735,1733731,81589,83.56
Colorado,08,2016,2108992,1842663,208531,87.37
Colorado,08,2017,2139207,1895782,191466,88.62
Colorado,08,2018,2176757,1951146,180142,89.64
Colorado,08,2019,2235103,2038559,151306,91.21
Colorado,08,2021,2313042,2155129,106692,93.17
Colorado,08,2022,2384584,2225642,105328,93.33
Colorado,08,2023,2428261,2297209,78710,94.6
Connecticut,09,2013,1339860,1047564,10823,78.18
Connecticut,09,2014,1355817,1098812,15305,81.04
Connecticut,09,2015,1343703,1108097,16262,82.47
Connecticut,09,2016,1357269,1147665,173134,84.56
Connecticut,09,2017,1356762,1165229,156737,85.88
Connecticut,09,2018,1378091,1202565,141561,87.26
Connecticut,09,2019,1377166,1222955,125976,88.8
Connecticut,09,2021,1428313,1318114,82057,92.28
Connecticut,09,2022,1433635,1321503,79852,92.18
Connecticut,09,2023,1442969,1338464,66138,92.76
Delaware,10,2013,339071,255564,3625,75.37
Delaware,10,2014,349743,266404,4547,76.17
Delaware,10,2015,352595,275024,5215,78.0
Delaware,10,2016,351085,293465,46257,83.59
Delaware,10,2017,357937,309588,35128,86.49
Delaware,10,2018,367671,325679,35433,88.58
Delaware,10,2019,376239,334478,32420,88.9
Delaware,10,2021,395656,364270,24260,92.07
Delaware,10,2022,402334,372956,20779,92.7
Delaware,10,2023,412048,382539,19151,92.84
