state,state_abbrev,dataset,year,internet_at_home_pct,standard_error,variable,universe
Alabama,AL,Dec 1998,1998,21.6,1.64,internetAtHome,Household reference person
Alabama,AL,Aug 2000,2000,35.42,1.82,internetAtHome,Household reference person
Alabama,AL,Sep 2001,2001,37.64,1.66,internetAtHome,Household reference person
Alabama,AL,Oct 2003,2003,45.79,1.72,internetAtHome,Household reference person
Alabama,AL,Oct 2007,2007,49.84,2.03,internetAtHome,Household reference person
Alabama,AL,Oct 2009,2009,56.13,2.03,internetAtHome,Household reference person
Alabama,AL,Oct 2010,2010,60.03,1.94,internetAtHome,Household reference person
Alabama,AL,Jul 2011,2011,63.81,3.0,internetAtHome,Household reference person
Alabama,AL,Oct 2012,2012,64.67,1.96,internetAtHome,Household reference person
Alabama,AL,Jul 2013,2013,61.61,2.62,internetAtHome,Household reference person
Alabama,AL,Jul 2015,2015,66.77,2.03,internetAtHome,Household reference person
Alabama,AL,Nov 2017,2017,73.5,1.53,internetAtHome,Household reference person
Alabama,AL,Nov 2019,2019,80.39,1.86,internetAtHome,Household reference person
Alabama,AL,Nov 2021,2021,78.15,1.84,internetAtHome,Household reference person
Alabama,AL,Nov 2023,2023,84.48,1.49,internetAtHome,Household reference person
Alaska,AK,Dec 1998,1998,44.42,2.19,internetAtHome,Household reference person
Alaska,AK,Aug 2000,2000,55.21,2.26,internetAtHome,Household reference person
Alaska,AK,Sep 2001,2001,63.85,1.82,internetAtHome,Household reference person
Alaska,AK,Oct 2003,2003,68.52,1.75,internetAtHome,Household reference person
Alaska,AK,Oct 2007,2007,74.06,1.7,internetAtHome,Household reference person
Alaska,AK,Oct 2009,2009,77.26,1.62,internetAtHome,Household reference person
Alaska,AK,Oct 2010,2010,78.67,1.62,internetAtHome,Household reference person
Alaska,AK,Jul 2011,2011,76.76,2.16,internetAtHome,Household reference person
Alaska,AK,Oct 2012,2012,78.14,1.67,internetAtHome,Household reference person
Alaska,AK,Jul 2013,2013,82.89,2.46,internetAtHome,Household reference person
Alaska,AK,Jul 2015,2015,81.29,1.5,internetAtHome,Household reference person
Alaska,AK,Nov 2017,2017,79.25,2.58,internetAtHome,Household reference person
Alaska,AK,Nov 2019,2019,81.35,2.92,internetAtHome,Household reference person
Alaska,AK,Nov 2021,2021,85.26,1.34,internetAtHome,Household reference person
Alaska,AK,Nov 2023,2023,82.87,1.87,internetAtHome,Household reference person
Arizona,AZ,Dec 1998,1998,30.04,1.7,internetAtHome,Household reference person
Arizona,AZ,Aug 2000,2000,42.71,1.88,internetAtHome,Household reference person
Arizona,AZ,Sep 2001,2001,51.12,1.93,internetAtHome,Household reference person
Arizona,AZ,Oct 2003,2003,55.27,1.83,internetAtHome,Household reference person
Arizona,AZ,Oct 2007,2007,62.62,1.87,internetAtHome,Household reference person
Arizona,AZ,Oct 2009,2009,72.08,1.79,internetAtHome,Household reference person
Arizona,AZ,Oct 2010,2010,75.5,1.73,internetAtHome,Household reference person
Arizona,AZ,Jul 2011,2011,74.47,1.89,internetAtHome,Household reference person
Arizona,AZ,Oct 2012,2012,71.6,1.85,internetAtHome,Household reference person
Arizona,AZ,Jul 2013,2013,68.71,2.55,internetAtHome,Household reference person
Arizona,AZ,Jul 2015,2015,69.05,2.05,internetAtHome,Household reference person
Arizona,AZ,Nov 2017,2017,78.65,1.47,internetAtHome,Household reference person
Arizona,AZ,Nov 2019,2019,83.54,1.68,internetAtHome,Household reference person
Arizona,AZ,Nov 2021,2021,81.72,1.41,internetAtHome,Household reference person
Arizona,AZ,Nov 2023,2023,84.37,1.56,internetAtHome,Household reference person
Arkansas,AR,Dec 1998,1998,14.84,1.37,internetAtHome,Household reference person
Arkansas,AR,Aug 2000,2000,27.08,1.72,internetAtHome,Household reference person
Arkansas,AR,Sep 2001,2001,37.6,1.93,internetAtHome,Household reference person
Arkansas,AR,Oct 2003,2003,42.4,1.92,internetAtHome,Household reference person
Arkansas,AR,Oct 2007,2007,51.27,2.07,internetAtHome,Household reference person
Arkansas,AR,Oct 2009,2009,55.88,2.05,internetAtHome,Household reference person
Arkansas,AR,Oct 2010,2010,58.76,2.07,internetAtHome,Household reference person
Arkansas,AR,Jul 2011,2011,62.22,2.58,internetAtHome,Household reference person
Arkansas,AR,Oct 2012,2012,68.81,2.61,internetAtHome,Household reference person
Arkansas,AR,Jul 2013,2013,60.12,2.62,internetAtHome,Household reference person
Arkansas,AR,Jul 2015,2015,67.46,2.4,internetAtHome,Household reference person
Arkansas,AR,Nov 2017,2017,73.28,1.32,internetAtHome,Household reference person
Arkansas,AR,Nov 2019,2019,80.05,2.31,internetAtHome,Household reference person
Arkansas,AR,Nov 2021,2021,81.74,1.48,internetAtHome,Household reference person
Arkansas,AR,Nov 2023,2023,83.71,1.33,internetAtHome,Household reference person
