state,state_fips,year,broadband_penetration_pct,broadband_source,ntia_internet_at_home_pct,ntia_dataset,pct_urban
Alabama,01,2011,63.81,NTIA_CPS_Jul 2011,63.81,Jul 2011,58.91
Alabama,01,2012,64.67,NTIA_CPS_Oct 2012,64.67,Oct 2012,58.78
Alabama,01,2013,64.72,ACS_B28002,61.61,Jul 2013,58.65
Alabama,01,2014,66.46,ACS_B28002,,,58.52
Alabama,01,2015,68.86,ACS_B28002,66.77,Jul 2015,58.39
Alabama,01,2016,75.12,ACS_B28002,,,58.26
Alabama,01,2017,78.52,ACS_B28002,73.5,Nov 2017,58.13
Alabama,01,2018,79.74,ACS_B28002,,,58.0
Alabama,01,2019,81.94,ACS_B28002,80.39,Nov 2019,57.87
Alabama,01,2021,85.34,ACS_B28002,78.15,Nov 2021,57.61
Alabama,01,2022,87.64,ACS_B28002,,,57.48
Alabama,01,2023,89.54,ACS_B28002,84.48,Nov 2023,57.35
Alaska,02,2011,76.76,NTIA_CPS_Jul 2011,76.76,Jul 2011,65.91
Alaska,02,2012,78.14,NTIA_CPS_Oct 2012,78.14,Oct 2012,65.8
Alaska,02,2013,79.88,ACS_B28002,82.89,Jul 2013,65.68
Alaska,02,2014,81.96,ACS_B28002,,,65.57
Alaska,02,2015,82.17,ACS_B28002,81.29,Jul 2015,65.46
Alaska,02,2016,86.33,ACS_B28002,,,65.35
Alaska,02,2017,86.38,ACS_B28002,79.25,Nov 2017,65.24
Alaska,02,2018,87.79,ACS_B28002,,,65.12
Alaska,02,2019,87.97,ACS_B28002,81.35,Nov 2019,65.01
Alaska,02,2021,90.84,ACS_B28002,85.26,Nov 2021,64.79
Alaska,02,2022,91.88,ACS_B28002,,,64.68
Alaska,02,2023,93.21,ACS_B28002,82.87,Nov 2023,64.56
Arizona,04,2011,74.47,NTIA_CPS_Jul 2011,74.47,Jul 2011,89.76
Arizona,04,2012,71.6,NTIA_CPS_Oct 2012,71.6,Oct 2012,89.71
Arizona,04,2013,74.84,ACS_B28002,68.71,Jul 2013,89.65
Arizona,04,2014,76.11,ACS_B28002,,,89.6
Arizona,04,2015,78.53,ACS_B28002,69.05,Jul 2015,89.55
Arizona,04,2016,83.49,ACS_B28002,,,89.5
Arizona,04,2017,86.03,ACS_B28002,78.65,Nov 2017,89.45
Arizona,04,2018,86.58,ACS_B28002,,,89.39
Arizona,04,2019,87.4,ACS_B28002,83.54,Nov 2019,89.34
Arizona,04,2021,91.59,ACS_B28002,81.72,Nov 2021,89.24
Arizona,04,2022,91.24,ACS_B28002,,,89.19
Arizona,04,2023,92.45,ACS_B28002,84.37,Nov 2023,89.13
Arkansas,05,2011,62.22,NTIA_CPS_Jul 2011,62.22,Jul 2011,56.09
Arkansas,05,2012,68.81,NTIA_CPS_Oct 2012,68.81,Oct 2012,56.02
