state,state_fips,pct_urban_2010,pct_urban_2020
Alabama,01,59.04,57.74
Alaska,02,66.02,64.9
Arizona,04,89.81,89.29
Arkansas,05,56.16,55.48
California,06,94.95,94.24
Colorado,08,86.15,86.03
Connecticut,09,87.99,86.25
Delaware,10,83.3,82.61
District of Columbia,11,100.0,100.0
Florida,12,91.16,91.53
Georgia,13,75.07,74.07
Hawaii,15,91.93,86.06
Idaho,16,70.58,69.24
Illinois,17,88.49,86.93
Indiana,18,72.44,71.18
Iowa,19,64.02,63.15
Kansas,20,74.2,72.3
Kentucky,21,58.38,58.7
Louisiana,22,73.19,71.54
Maine,23,38.66,38.63
Maryland,24,87.2,85.62
Massachusetts,25,91.97,91.28
Michigan,26,74.57,73.47
Minnesota,27,73.27,71.88
Mississippi,28,49.35,46.29
Missouri,29,70.44,69.47
Montana,30,55.89,53.42
Nebraska,31,73.13,73.01
Nevada,32,94.2,94.09
New Hampshire,33,60.3,58.32
New Jersey,34,94.68,93.75
New Mexico,35,77.43,74.55
New York,36,87.87,87.45
North Carolina,37,66.09,66.72
North Dakota,38,59.9,60.97
Ohio,39,77.92,76.28
Oklahoma,40,66.24,64.62
Oregon,41,81.03,80.5
Pennsylvania,42,78.66,76.45
Rhode Island,44,90.73,91.05
South Carolina,45,66.33,67.95
South Dakota,46,56.65,57.22
Tennessee,47,66.39,66.23
Texas,48,84.7,83.72
Utah,49,90.58,89.78
Vermont,50,38.9,35.12
Virginia,51,75.45,75.63
Washington,53,84.05,83.37
West Virginia,54,48.72,44.65
Wisconsin,55,70.15,67.08
Wyoming,56,64.76,62.02
