"year","locationdesc","locationabbr","sex","shortquestiontext","questioncode","greater_risk_data_value","greater_risk_low_confidence_limit","greater_risk_high_confidence_limit","sample_size"
"1991","Georgia","GA","Female","Considered suicide","H26","33.082","31.0129","35.2188","1013"
"1991","Georgia","GA","Male","Considered suicide","H26","17.2725","15.1616","19.6094","978"
"1991","Georgia","GA","Total","Considered suicide","H26","25.4014","23.4772","27.4268","1995"
"1991","Idaho","ID","Female","Considered suicide","H26","34.1332","30.9504","37.4658","1922"
"1991","Idaho","ID","Male","Considered suicide","H26","21.0319","19.1465","23.05","2275"
"1991","Idaho","ID","Total","Considered suicide","H26","27.019","24.8496","29.304","4201"
"1991","Nebraska","NE","Female","Considered suicide","H26","35.6979","31.5518","40.0699","1142"
"1991","Nebraska","NE","Male","Considered suicide","H26","20.5786","16.8418","24.8963","1078"
"1991","Nebraska","NE","Total","Considered suicide","H26","28.341","24.8427","32.1213","2224"
"1991","New Mexico","NM","Female","Considered suicide","H26","39.9637","36.2361","43.8111","1358"
"1991","New Mexico","NM","Male","Considered suicide","H26","22.4101","20.1074","24.8943","1392"
"1991","New Mexico","NM","Total","Considered suicide","H26","30.7192","28.5169","33.013","2758"
"1991","South Carolina","SC","Female","Considered suicide","H26","31.2547","28.5041","34.1439","2598"
"1991","South Carolina","SC","Male","Considered suicide","H26","19.6152","17.7468","21.6287","2438"
"1991","South Carolina","SC","Total","Considered suicide","H26","25.6207","23.8268","27.5008","5045"
"1991","South Dakota","SD","Female","Considered suicide","H26","37.0994","31.0557","43.5759","675"
"1991","South Dakota","SD","Male","Considered suicide","H26","23.0376","17.9362","29.0759","667"
"1991","South Dakota","SD","Total","Considered suicide","H26","29.8878","25.7785","34.3489","1344"
"1991","Utah","UT","Female","Considered suicide","H26","31.887","29.0467","34.8685","2176"
"1991","Utah","UT","Male","Considered suicide","H26","18.7257","16.5805","21.0782","2036"
"1991","Utah","UT","Total","Considered suicide","H26","25.5369","23.5227","27.6612","4219"
"1993","Georgia","GA","Female","Considered suicide","H26","30.0926","26.1009","34.4106","800"
"1993","Georgia","GA","Male","Considered suicide","H26","17.5751","13.3152","22.8387","787"
"1993","Georgia","GA","Total","Considered suicide","H26","23.8799","20.643","27.4488","1589"
"1993","Hawaii","HI","Female","Considered suicide","H26","36.4083","31.1736","41.9859","827"
"1993","Hawaii","HI","Male","Considered suicide","H26","19.86","16.2537","24.0368","735"
"1993","Hawaii","HI","Total","Considered suicide","H26","27.7841","24.6528","31.1487","1562"
"1993","Idaho","ID","Female","Considered suicide","H26","34.7882","32.2526","37.4131","1946"
"1993","Idaho","ID","Male","Considered suicide","H26","21.4237","19.5966","23.3716","2002"
"1993","Idaho","ID","Total","Considered suicide","H26","28.4948","26.6676","30.3954","3954"
"1993","Illinois","IL","Female","Considered suicide","H26","30.8188","27.6221","34.2106","2058"
"1993","Illinois","IL","Male","Considered suicide","H26","19.1939","17.3623","21.1691","1962"
"1993","Illinois","IL","Total","Considered suicide","H26","24.9916","23.1342","26.9458","4037"
"1993","Massachusetts","MA","Female","Considered suicide","H26","29.2426","26.8375","31.7697","1522"
"1993","Massachusetts","MA","Male","Considered suicide","H26","19.4624","17.1025","22.0612","1483"
"1993","Massachusetts","MA","Total","Considered suicide","H26","24.2746","22.4499","26.1975","3009"
"1993","Mississippi","MS","Female","Considered suicide","H26","31.9425","28.2747","35.8483","744"
"1993","Mississippi","MS","Male","Considered suicide","H26","17.6288","14.3626","21.4516","643"
"1993","Mississippi","MS","Total","Considered suicide","H26","24.8097","21.9155","27.9493","1390"
"1993","Montana","MT","Female","Considered suicide","H26","32.2325","28.9836","35.6627","1170"
"1993","Montana","MT","Male","Considered suicide","H26","18.7332","16.202","21.5582","1298"
"1993","Montana","MT","Total","Considered suicide","H26","25.147","22.9536","27.4752","2471"
"1993","North Carolina","NC","Female","Considered suicide","H26","30.5069","26.8346","34.4452","1232"
"1993","North Carolina","NC","Male","Considered suicide","H26","17.7478","15.4619","20.2905","1193"
"1993","North Carolina","NC","Total","Considered suicide","H26","24.2457","22.1182","26.5082","2429"
"1993","Nebraska","NE","Female","Considered suicide","H26","30.5219","27.8158","33.3696","1557"
"1993","Nebraska","NE","Male","Considered suicide","H26","18.1777","15.5392","21.152","1611"
"1993","Nebraska","NE","Total","Considered suicide","H26","24.2263","21.8285","26.7971","3170"
"1993","New Hampshire","NH","Female","Considered suicide","H26","34.0026","31.1124","37.017","1389"
"1993","New Hampshire","NH","Male","Considered suicide","H26","18.4978","16.5667","20.5984","1284"
"1993","New Hampshire","NH","Total","Considered suicide","H26","26.1497","24.3074","28.0797","2678"
"1993","Nevada","NV","Female","Considered suicide","H26","34.8996","31.1282","38.8701","1024"
"1993","Nevada","NV","Male","Considered suicide","H26","18.8253","16.1562","21.8205","993"
"1993","Nevada","NV","Total","Considered suicide","H26","26.8206","24.189","29.6267","2024"
"1993","Ohio","OH","Female","Considered suicide","H26","35.6334","32.6302","38.754","1207"
"1993","Ohio","OH","Male","Considered suicide","H26","20.922","18.1478","23.9959","1099"
"1993","Ohio","OH","Total","Considered suicide","H26","28.1409","26.1339","30.239","2307"
"1993","South Carolina","SC","Female","Considered suicide","H26","27.6664","25.3112","30.1524","2149"
"1993","South Carolina","SC","Male","Considered suicide","H26","16.8239","15.0906","18.7124","2071"
"1993","South Carolina","SC","Total","Considered suicide","H26","22.239","20.7092","23.8479","4231"
"1993","South Dakota","SD","Female","Considered suicide","H26","35.6594","30.4853","41.1913","665"
"1993","South Dakota","SD","Male","Considered suicide","H26","23.0044","19.5265","26.8947","669"
"1993","South Dakota","SD","Total","Considered suicide","H26","29.307","25.6873","33.2089","1339"
"1993","Tennessee","TN","Female","Considered suicide","H26","32.4222","29.6274","35.3482","1652"
"1993","Tennessee","TN","Male","Considered suicide","H26","16.913","14.782","19.2817","1568"
"1993","Tennessee","TN","Total","Considered suicide","H26","24.4655","22.5183","26.5234","3225"
"1993","Utah","UT","Female","Considered suicide","H26","30.7107","28.6274","32.8757","2107"
"1993","Utah","UT","Male","Considered suicide","H26","18.1584","16.3906","20.071","2164"
"1993","Utah","UT","Total","Considered suicide","H26","24.3672","22.7008","26.1146","4294"
"1993","Vermont","VT","Female","Considered suicide","H26","29.7268","27.6114","31.9328","3280"
"1993","Vermont","VT","Male","Considered suicide","H26","16.6615","14.8148","18.6879","3365"
"1993","Vermont","VT","Total","Considered suicide","H26","22.986","21.2563","24.8121","6659"
"1993","Wisconsin","WI","Female","Considered suicide","H26","35.1268","32.0245","38.36","1589"
"1993","Wisconsin","WI","Male","Considered suicide","H26","20.1378","17.991","22.4706","1691"
"1993","Wisconsin","WI","Total","Considered suicide","H26","27.4481","25.339","29.6629","3283"
"1993","West Virginia","WV","Female","Considered suicide","H26","34.1864","30.9032","37.6285","1419"
"1993","West Virginia","WV","Male","Considered suicide","H26","19.1711","16.8853","21.6856","1390"
"1993","West Virginia","WV","Total","Considered suicide","H26","26.5832","24.3624","28.929","2810"
"1995","Alaska","AK","Female","Considered suicide","H26","32.2751","28.503","36.2931","804"
"1995","Alaska","AK","Male","Considered suicide","H26","16.1771","13.7043","18.9979","819"
"1995","Alaska","AK","Total","Considered suicide","H26","23.9074","21.541","26.4461","1629"
"1995","Alabama","AL","Female","Considered suicide","H26","25.1768","23.225","27.2343","2042"
"1995","Alabama","AL","Male","Considered suicide","H26","16.0011","13.5554","18.7922","1819"
"1995","Alabama","AL","Total","Considered suicide","H26","20.777","19.2136","22.4322","3869"
"1995","Arkansas","AR","Female","Considered suicide","H26","30.3938","26.8094","34.2332","1176"
"1995","Arkansas","AR","Male","Considered suicide","H26","17.7858","14.9798","20.9877","1085"
"1995","Arkansas","AR","Total","Considered suicide","H26","23.9859","21.2528","26.9502","2264"
"1995","Hawaii","HI","Female","Considered suicide","H26","32.0242","29.2339","34.9494","663"
"1995","Hawaii","HI","Male","Considered suicide","H26","18.7896","14.8669","23.4621","576"
"1995","Hawaii","HI","Total","Considered suicide","H26","25.5446","23.293","27.9345","1241"
"1995","Illinois","IL","Female","Considered suicide","H26","29.4059","25.5802","33.5459","1786"
"1995","Illinois","IL","Male","Considered suicide","H26","18.3238","15.2593","21.8452","1302"
"1995","Illinois","IL","Total","Considered suicide","H26","23.9477","21.5196","26.5572","3091"
"1995","Massachusetts","MA","Female","Considered suicide","H26","31.9002","29.4956","34.4051","2047"
"1995","Massachusetts","MA","Male","Considered suicide","H26","19.8324","18.1307","21.6516","2085"
"1995","Massachusetts","MA","Total","Considered suicide","H26","25.7919","24.3758","27.2606","4141"
"1995","Maine","ME","Female","Considered suicide","H26","30.3567","24.5391","36.8794","700"
"1995","Maine","ME","Male","Considered suicide","H26","20.0203","17.0067","23.4173","681"
"1995","Maine","ME","Total","Considered suicide","H26","25.1042","21.6839","28.8652","1383"
"1995","Missouri","MO","Female","Considered suicide","H26","29.357","26.6976","32.1652","2437"
"1995","Missouri","MO","Male","Considered suicide","H26","19.6959","18.366","21.0973","2444"
"1995","Missouri","MO","Total","Considered suicide","H26","24.488","22.8732","26.1781","4895"
"1995","Mississippi","MS","Female","Considered suicide","H26","30.3261","27.1101","33.7469","669"
"1995","Mississippi","MS","Male","Considered suicide","H26","18.069","15.9787","20.3664","598"
"1995","Mississippi","MS","Total","Considered suicide","H26","24.2031","22.263","26.2551","1271"
"1995","Montana","MT","Female","Considered suicide","H26","26.4554","22.878","30.3719","1210"
"1995","Montana","MT","Male","Considered suicide","H26","17.4899","15.2587","19.9704","1303"
"1995","Montana","MT","Total","Considered suicide","H26","21.8365","19.5838","24.2701","2520"
"1995","North Carolina","NC","Female","Considered suicide","H26","24.2018","20.6891","28.0997","961"
"1995","North Carolina","NC","Male","Considered suicide","H26","15.2744","12.9195","17.97","805"
"1995","North Carolina","NC","Total","Considered suicide","H26","19.7611","17.3401","22.4283","1769"
"1995","North Dakota","ND","Female","Considered suicide","H26","30.3045","27.0562","33.7623","756"
"1995","North Dakota","ND","Male","Considered suicide","H26","20.2947","17.3767","23.5629","751"
"1995","North Dakota","ND","Total","Considered suicide","H26","25.3976","22.8944","28.0748","1509"
"1995","New Hampshire","NH","Female","Considered suicide","H26","31.0458","27.9841","34.2829","1087"
"1995","New Hampshire","NH","Male","Considered suicide","H26","21.1398","18.3636","24.2111","998"
"1995","New Hampshire","NH","Total","Considered suicide","H26","26.025","24.1533","27.9881","2088"
"1995","Nevada","NV","Female","Considered suicide","H26","30.7075","27.0836","34.5864","795"
"1995","Nevada","NV","Male","Considered suicide","H26","15.6046","12.7724","18.9285","732"
"1995","Nevada","NV","Total","Considered suicide","H26","22.9115","20.156","25.9215","1535"
"1995","South Carolina","SC","Female","Considered suicide","H26","27.611","25.4774","29.8517","2795"
"1995","South Carolina","SC","Male","Considered suicide","H26","20.4348","18.5905","22.4117","2676"
"1995","South Carolina","SC","Total","Considered suicide","H26","24.008","22.3676","25.7288","5486"
"1995","South Dakota","SD","Female","Considered suicide","H26","30.7454","24.8043","37.4016","620"
"1995","South Dakota","SD","Male","Considered suicide","H26","20.6766","16.8151","25.1567","559"
"1995","South Dakota","SD","Total","Considered suicide","H26","25.656","21.9008","29.8092","1179"
"1995","Utah","UT","Female","Considered suicide","H26","29.3606","25.4651","33.5835","1587"
"1995","Utah","UT","Male","Considered suicide","H26","16.6508","14.4425","19.1213","1678"
"1995","Utah","UT","Total","Considered suicide","H26","22.9721","20.3533","25.8187","3274"
"1995","Vermont","VT","Female","Considered suicide","H26","33.07","30.8157","35.4048","2983"
"1995","Vermont","VT","Male","Considered suicide","H26","23.1994","21.1558","25.3769","2953"
"1995","Vermont","VT","Total","Considered suicide","H26","28.0647","26.243","29.9615","5952"
"1995","West Virginia","WV","Female","Considered suicide","H26","30.4139","26.9821","34.0784","1095"
"1995","West Virginia","WV","Male","Considered suicide","H26","20.9278","16.9435","25.5606","982"
