"year","locationdesc","locationabbr","sex","shortquestiontext","questioncode","greater_risk_data_value","greater_risk_low_confidence_limit","greater_risk_high_confidence_limit","sample_size"
"1991","United States","XX","Female","Considered suicide","H26","37.2017","35.0993","39.3537","5846"
"1991","United States","XX","Male","Considered suicide","H26","20.7727","19.0089","22.6543","5299"
"1991","United States","XX","Total","Considered suicide","H26","28.9715","27.4436","30.5487","11149"
"1993","United States","XX","Female","Considered suicide","H26","29.6271","28.1999","31.0953","8223"
"1993","United States","XX","Male","Considered suicide","H26","18.7613","17.5196","20.0696","8005"
"1993","United States","XX","Total","Considered suicide","H26","24.0562","23.1083","25.0303","16269"
"1995","United States","XX","Female","Considered suicide","H26","30.3964","28.5318","32.3278","5493"
"1995","United States","XX","Male","Considered suicide","H26","18.2575","17.0433","19.5379","5338"
"1995","United States","XX","Total","Considered suicide","H26","24.1001","22.9615","25.2767","10874"
"1997","United States","XX","Female","Considered suicide","H26","27.0638","24.3041","30.0126","8129"
"1997","United States","XX","Male","Considered suicide","H26","15.1441","13.4472","17.013","7984"
"1997","United States","XX","Total","Considered suicide","H26","20.5267","18.3059","22.9413","16122"
"1999","United States","XX","Female","Sad or hopeless","H25","35.6748","33.2261","38.2008","7815"
"1999","United States","XX","Female","Considered suicide","H26","24.9205","22.8166","27.1501","7811"
"1999","United States","XX","Male","Sad or hopeless","H25","20.996","19.4111","22.674","7429"
"1999","United States","XX","Male","Considered suicide","H26","13.7028","12.1408","15.4306","7415"
"1999","United States","XX","Total","Sad or hopeless","H25","28.2749","27.0827","29.4982","15320"
"1999","United States","XX","Total","Considered suicide","H26","19.2682","18.0297","20.5704","15300"
"2001","United States","XX","Female","Sad or hopeless","H25","34.5441","32.6769","36.4602","6923"
"2001","United States","XX","Female","Considered suicide","H26","23.6085","21.8505","25.4618","6927"
"2001","United States","XX","Male","Sad or hopeless","H25","21.6424","20.3861","22.9538","6572"
"2001","United States","XX","Male","Considered suicide","H26","14.1931","12.9026","15.5896","6560"
"2001","United States","XX","Total","Sad or hopeless","H25","28.2561","26.8877","29.6659","13541"
"2001","United States","XX","Total","Considered suicide","H26","19.0208","17.6591","20.4615","13532"
"2003","United States","XX","Female","Sad or hopeless","H25","35.494","32.9931","38.0768","7403"
