state,state_abbr,year,sex,pct_sadness,pct_sadness_lo,pct_sadness_hi,pct_suicide,pct_suicide_lo,pct_suicide_hi,n_sadness,n_suicide
Alaska,AK,2011,Female,32.84,28.45,37.56,16.85,13.3,21.11,662,672
Alaska,AK,2011,Male,19.43,16.57,22.65,12.22,9.59,15.44,631,647
Alaska,AK,2011,Total,25.94,23.18,28.91,14.54,12.12,17.34,1297,1324
Alaska,AK,2013,Female,35.67,31.35,40.24,21.67,18.12,25.71,614,626
Alaska,AK,2013,Male,19.03,15.62,22.97,10.89,7.89,14.84,577,586
Alaska,AK,2013,Total,27.19,24.35,30.22,16.22,13.91,18.83,1194,1215
Alaska,AK,2015,Female,42.73,37.42,48.21,23.29,19.56,27.5,698,696
Alaska,AK,2015,Male,25.05,21.62,28.83,17.01,14.08,20.4,706,703
Alaska,AK,2015,Total,33.64,30.08,37.4,20.14,17.24,23.41,1408,1403
Alaska,AK,2017,Female,47.96,43.1,52.85,28.81,24.92,33.03,630,643
Alaska,AK,2017,Male,25.52,21.7,29.76,17.42,14.01,21.45,649,673
Alaska,AK,2017,Total,36.14,32.89,39.52,22.8,20.27,25.55,1284,1321
Alaska,AK,2019,Female,48.4,42.4,54.4,33.6,29.1,38.5,,
Alaska,AK,2019,Male,28.4,24.1,33.1,17.5,14.7,20.6,,
Alaska,AK,2019,Total,38.1,34.2,42.1,25.3,22.5,28.3,,
Alaska,AK,2023,Female,56.0,50.6,61.3,26.9,23.1,31.1,,
Alaska,AK,2023,Male,31.8,27.2,36.7,18.6,15.2,22.5,,
Alaska,AK,2023,Total,43.2,39.7,46.8,22.6,20.1,25.4,,
Alabama,AL,2011,Female,32.6,28.21,37.31,18.9,15.39,22.98,700,701
Alabama,AL,2011,Male,19.17,14.94,24.26,12.28,10.17,14.75,651,650
Alabama,AL,2011,Total,25.75,21.99,29.92,15.69,13.24,18.48,1353,1353
Alabama,AL,2013,Female,36.63,31.67,41.89,22.23,18.68,26.23,779,777
Alabama,AL,2013,Male,18.15,14.64,22.3,13.98,11.67,16.67,760,764
Alabama,AL,2013,Total,27.42,23.98,31.14,18.15,15.68,20.91,1546,1549
Alabama,AL,2015,Female,38.14,33.77,42.71,23.06,18.61,28.19,737,739
Alabama,AL,2015,Male,20.5,17.59,23.75,11.79,9.45,14.61,792,786
Alabama,AL,2015,Total,29.34,26.21,32.68,17.52,14.54,20.95,1536,1529
Alabama,AL,2019,Female,48.6,44.2,53.1,26.8,23.0,30.9,,
Alabama,AL,2019,Male,26.2,23.7,28.9,14.4,12.1,17.0,,
Alabama,AL,2019,Total,37.5,34.8,40.3,20.7,18.4,23.2,,
Alabama,AL,2021,Female,46.0,38.3,53.9,32.0,26.6,37.9,,
Alabama,AL,2021,Male,27.4,17.3,40.5,10.5,5.5,19.0,,
Alabama,AL,2021,Total,36.9,29.7,44.8,21.6,16.6,27.6,,
Arkansas,AR,2011,Female,36.16,32.81,39.65,17.61,13.33,22.9,679,693
Arkansas,AR,2011,Male,20.94,17.64,24.67,11.23,8.73,14.31,656,666
Arkansas,AR,2011,Total,28.37,25.6,31.32,14.34,11.88,17.2,1340,1363
Arkansas,AR,2013,Female,34.88,31.27,38.68,23.3,20.32,26.56,767,789
Arkansas,AR,2013,Male,23.11,19.72,26.89,14.51,10.95,18.99,681,708
Arkansas,AR,2013,Total,28.99,26.37,31.76,18.99,16.87,21.32,1455,1506
Arkansas,AR,2015,Female,38.08,35.33,40.92,23.19,20.63,25.96,1480,1481
Arkansas,AR,2015,Male,23.42,18.44,29.25,14.39,10.73,19.04,1304,1296
Arkansas,AR,2015,Total,30.66,27.62,33.88,18.93,16.64,21.45,2799,2788
Arkansas,AR,2017,Female,47.45,41.06,53.92,27.14,24.53,29.91,816,827
Arkansas,AR,2017,Male,32.72,23.84,43.03,19.19,16.11,22.7,788,791
Arkansas,AR,2017,Total,40.17,32.67,48.15,23.18,20.98,25.54,1613,1628
Arkansas,AR,2019,Female,47.1,42.2,52.1,25.4,21.4,29.8,,
Arkansas,AR,2019,Male,24.6,21.5,28.0,13.5,11.0,16.6,,
Arkansas,AR,2019,Total,35.9,32.9,39.1,19.7,17.2,22.5,,
Arkansas,AR,2021,Female,53.9,49.1,58.6,29.2,25.5,33.1,,
Arkansas,AR,2021,Male,30.9,27.1,34.9,13.4,9.8,17.9,,
Arkansas,AR,2021,Total,42.9,39.3,46.5,21.8,18.9,24.9,,
Arkansas,AR,2023,Female,51.8,45.1,58.4,25.3,20.9,30.3,,
Arkansas,AR,2023,Male,38.6,29.5,48.5,23.5,17.9,30.2,,
Arkansas,AR,2023,Total,45.1,40.5,49.8,24.4,21.2,28.0,,
Arizona,AZ,2011,Female,38.94,35.35,42.65,22.04,19.44,24.87,1441,1444
Arizona,AZ,2011,Male,28.53,25.88,31.33,15.51,12.86,18.59,1418,1411
Arizona,AZ,2011,Total,33.61,31.12,36.19,18.68,16.57,20.99,2866,2862
Arizona,AZ,2013,Female,44.32,39.64,49.09,23.87,20.98,27.02,818,818
Arizona,AZ,2013,Male,28.41,25.75,31.23,14.42,12.02,17.2,783,783
Arizona,AZ,2013,Total,36.35,33.64,39.15,19.17,17.5,20.95,1606,1606
Arizona,AZ,2015,Female,43.95,39.96,48.03,23.48,20.15,27.17,1368,1387
Arizona,AZ,2015,Male,24.6,20.84,28.79,13.18,10.51,16.41,1131,1146
Arizona,AZ,2015,Total,34.19,30.74,37.82,18.56,16.28,21.07,2520,2555
Arizona,AZ,2017,Female,46.48,42.84,50.15,23.82,20.48,27.51,1045,1048
Arizona,AZ,2017,Male,26.33,22.11,31.03,14.01,11.4,17.1,1045,1037
Arizona,AZ,2017,Total,36.39,32.8,40.14,19.15,16.67,21.91,2106,2102
Arizona,AZ,2019,Female,51.6,48.0,55.1,26.5,22.2,31.3,,
Arizona,AZ,2019,Male,29.9,27.0,32.9,15.4,13.2,17.9,,
Arizona,AZ,2019,Total,40.6,37.4,44.0,20.9,18.2,23.8,,
