state_abbr,sad_2011,sad_2013,sad_2015,sad_2017,sad_2019,sad_2021,sad_2023,sui_2011,sui_2013,sui_2015,sui_2017,sui_2019,sui_2021,sui_2023
AK,32.8,35.7,42.7,48.0,48.4,,56.0,16.9,21.7,23.3,28.8,33.6,,26.9
AL,32.6,36.6,38.1,,48.6,46.0,,18.9,22.2,23.1,,26.8,32.0,
AR,36.2,34.9,38.1,47.5,47.1,53.9,51.8,17.6,23.3,23.2,27.1,25.4,29.2,25.3
AZ,38.9,44.3,44.0,46.5,51.6,,,22.0,23.9,23.5,23.8,26.5,,
CA,,,38.8,42.6,57.1,,,,,24.0,22.1,31.1,,
CO,27.1,,,40.5,43.3,49.4,,17.5,,,21.4,22.6,25.7,
CT,31.0,34.9,34.7,34.8,40.5,47.6,46.5,17.3,18.1,16.3,16.8,15.9,19.8,19.4
DE,34.0,30.1,32.5,36.9,,50.2,46.6,16.7,15.5,17.5,21.3,,26.6,24.7
FL,32.9,34.0,35.4,38.1,43.4,51.6,,15.0,17.8,17.9,18.1,20.2,24.1,
GA,38.5,33.6,,,37.7,56.7,,19.1,16.0,,,23.2,39.7,
HI,35.2,37.1,36.2,35.0,44.1,46.9,46.2,20.2,20.4,20.1,18.7,20.1,22.7,20.6
IA,28.3,,,39.8,43.5,49.5,,17.6,,,24.8,26.5,29.5,
ID,33.6,38.8,42.7,46.3,46.1,54.8,,16.8,21.3,27.2,29.2,26.3,26.0,
IL,34.6,37.4,36.8,43.1,46.0,56.2,51.6,17.9,25.1,18.9,23.3,23.7,27.7,27.0
IN,34.5,,39.1,,,60.4,60.1,21.5,,25.9,,,37.9,33.6
KS,26.9,32.2,,33.0,40.9,47.7,,13.6,19.4,,19.7,22.4,25.4,
KY,32.1,31.7,42.5,40.9,46.7,51.6,52.0,18.0,19.2,20.6,19.4,21.3,24.7,22.7
LA,34.9,34.2,,40.6,45.5,59.6,,17.1,20.2,,21.4,22.5,36.6,
MA,31.5,29.2,34.8,36.0,41.1,50.1,45.3,16.1,16.1,17.4,15.7,19.2,25.1,20.2
MD,31.4,34.2,35.0,38.7,40.6,50.8,48.8,19.3,20.1,20.7,21.8,22.7,26.7,24.6
ME,27.5,32.7,35.5,36.1,41.0,50.0,48.1,12.8,18.5,19.8,17.6,19.9,25.8,23.4
MI,31.6,33.2,40.7,48.3,46.4,52.3,54.2,18.7,20.6,21.4,27.0,22.5,26.1,26.4
MO,,38.4,31.3,38.3,41.3,41.5,57.2,,18.6,18.9,24.1,20.2,25.5,32.1
MS,34.0,37.2,38.3,,44.4,52.4,49.8,16.0,23.2,20.9,,23.2,27.1,26.2
MT,30.8,35.4,38.8,39.9,46.0,52.6,54.8,17.1,21.1,25.5,26.8,28.0,27.4,32.0
NC,32.6,38.7,35.2,38.9,45.4,55.5,51.5,15.1,21.7,20.5,21.2,22.9,30.2,23.8
ND,31.2,33.0,35.2,37.9,40.8,47.9,46.4,19.4,21.0,20.4,24.0,25.5,24.3,21.0
NE,27.7,27.9,31.4,35.2,43.0,48.8,36.3,18.0,16.8,17.9,23.0,22.8,25.3,17.4
NH,31.3,32.7,36.9,37.6,43.9,57.5,51.1,16.8,17.4,20.1,20.6,22.5,32.0,26.5
NJ,33.4,36.7,,,45.4,53.0,49.3,16.0,18.2,,,17.7,26.3,20.0
NM,37.3,40.0,42.3,45.1,50.7,54.7,47.4,20.8,19.9,21.4,22.7,24.8,24.2,19.1
NV,,41.3,44.2,47.3,52.2,58.1,54.6,,25.6,23.9,22.1,23.6,29.6,26.8
NY,31.8,31.4,36.0,39.0,44.0,42.1,43.6,15.9,18.0,19.4,22.1,21.4,22.0,23.5
OH,33.9,35.2,,,43.8,56.2,45.0,18.1,18.3,,,19.7,31.7,24.8
OK,35.7,35.2,37.9,43.9,47.8,57.7,58.8,18.7,20.2,19.9,27.9,27.9,31.7,31.6
PA,,,36.7,38.6,45.1,59.0,51.2,,,20.2,20.6,22.4,30.8,25.2
RI,31.4,35.0,35.8,38.0,40.6,51.7,46.7,14.6,18.3,19.3,19.6,15.7,24.1,20.2
SC,38.1,33.8,39.5,43.0,48.0,51.2,,19.9,17.4,21.3,24.1,22.9,,
SD,,27.4,34.7,,45.3,50.5,42.9,,20.2,23.3,,27.3,27.8,22.2
TN,32.8,34.4,38.0,40.1,47.1,53.6,55.1,17.9,19.1,21.7,22.7,24.4,28.2,29.7
TX,36.9,36.8,,43.8,48.6,57.2,56.4,19.9,21.1,,21.7,25.3,28.2,28.8
US,35.9,39.0,39.8,41.1,46.6,56.6,52.6,19.3,22.4,23.4,22.1,24.1,30.0,27.1
UT,33.2,32.0,,42.5,45.7,52.7,47.2,16.4,17.4,,28.5,26.6,27.7,31.0
VA,33.9,33.8,37.1,38.9,41.7,49.9,46.6,21.9,19.2,18.6,21.1,21.0,27.7,23.5
VT,24.6,31.5,33.5,34.8,40.3,40.5,39.2,,,,,,,
WI,30.1,32.9,,38.1,37.1,46.1,45.0,17.0,16.2,,22.4,20.1,24.6,23.6
WV,32.6,35.3,43.8,39.2,43.6,63.6,60.8,16.7,20.5,22.8,20.7,25.2,37.9,35.1
WY,30.0,34.7,39.1,,,,,20.2,21.4,24.7,,,,
