Variable,Group,Percentage,CI_Lower,CI_Upper,Source
Persistent_Sadness_Hopelessness,Total,39.7,37.7,41.7,MMWR Table 2
Persistent_Sadness_Hopelessness,Female,52.6,50.1,55.0,MMWR Table 2
Persistent_Sadness_Hopelessness,Male,27.7,25.9,29.6,MMWR Table 2
Persistent_Sadness_Hopelessness,Heterosexual,31.4,29.8,33.0,MMWR Table 2
Persistent_Sadness_Hopelessness,LGBQ+,65.7,63.0,68.3,MMWR Table 2
Persistent_Sadness_Hopelessness,AI/AN,44.8,29.0,61.8,MMWR Table 2
Persistent_Sadness_Hopelessness,Asian,32.1,28.3,36.2,MMWR Table 2
Persistent_Sadness_Hopelessness,Black,39.6,37.1,42.2,MMWR Table 2
Persistent_Sadness_Hopelessness,NH/OPI,25.8,14.3,42.1,MMWR Table 2
Persistent_Sadness_Hopelessness,White,38.9,36.4,41.4,MMWR Table 2
Persistent_Sadness_Hopelessness,Hispanic,42.4,39.4,45.4,MMWR Table 2
Persistent_Sadness_Hopelessness,Multiracial,41.4,35.2,47.8,MMWR Table 2
Poor_Mental_Health,Total,28.5,26.7,30.4,MMWR Table 2
Poor_Mental_Health,Female,38.8,36.2,41.4,MMWR Table 2
Poor_Mental_Health,Male,18.8,17.3,20.5,MMWR Table 2
Poor_Mental_Health,Heterosexual,21.5,20.1,22.9,MMWR Table 2
Poor_Mental_Health,LGBQ+,53.5,50.8,56.1,MMWR Table 2
Considered_Suicide,Total,20.4,18.7,22.3,MMWR Table 2
Considered_Suicide,Female,27.1,24.7,29.6,MMWR Table 2
Considered_Suicide,Male,14.1,12.4,15.9,MMWR Table 2
Considered_Suicide,Heterosexual,13.0,12.1,14.1,MMWR Table 2
Considered_Suicide,LGBQ+,41.0,38.2,43.9,MMWR Table 2
Considered_Suicide,AI/AN,24.5,14.7,38.1,MMWR Table 2
Considered_Suicide,Asian,14.4,11.9,17.3,MMWR Table 2
Considered_Suicide,Black,19.6,16.9,22.7,MMWR Table 2
Considered_Suicide,NH/OPI,16.1,4.3,45.0,MMWR Table 2
Considered_Suicide,White,22.1,19.8,24.5,MMWR Table 2
Considered_Suicide,Hispanic,18.2,16.2,20.3,MMWR Table 2
Considered_Suicide,Multiracial,21.6,17.3,26.7,MMWR Table 2
Attempted_Suicide,Total,9.5,8.4,10.7,MMWR Table 2
Attempted_Suicide,Female,12.6,11.2,14.2,MMWR Table 2
Attempted_Suicide,Male,6.4,5.3,7.6,MMWR Table 2
Attempted_Suicide,Heterosexual,6.0,5.2,6.8,MMWR Table 2
Attempted_Suicide,LGBQ+,19.7,17.8,21.8,MMWR Table 2
Attempted_Suicide,AI/AN,11.5,6.8,18.6,MMWR Table 2
Attempted_Suicide,Asian,8.0,5.3,11.7,MMWR Table 2
Attempted_Suicide,Black,10.3,8.5,12.5,MMWR Table 2
Attempted_Suicide,NH/OPI,15.3,4.0,43.8,MMWR Table 2
Attempted_Suicide,White,8.3,7.0,9.9,MMWR Table 2
Attempted_Suicide,Hispanic,10.8,9.1,12.6,MMWR Table 2
Attempted_Suicide,Multiracial,11.4,8.4,15.5,MMWR Table 2
