Variable,Subgroup,Frequent_SM_Pct,Frequent_SM_CI_Lo,Frequent_SM_CI_Hi,Less_Frequent_SM_Pct,Less_Frequent_CI_Lo,Less_Frequent_CI_Hi,Adjusted_PR,APR_CI_Lo,APR_CI_Hi,Significant
Persistent_Sadness,Total,42.6,40.4,44.8,31.9,25.3,39.3,1.35,1.23,1.47,Yes
Persistent_Sadness,Female,55.1,52.3,57.9,44.4,37.0,52.1,1.32,1.20,1.46,Yes
Persistent_Sadness,Male,29.5,27.8,31.3,24.0,17.8,31.5,1.41,1.20,1.67,Yes
Persistent_Sadness,LGBQ+,68.6,65.5,71.6,52.9,45.5,60.3,1.23,1.06,1.44,Yes
Persistent_Sadness,Heterosexual,34.4,32.4,36.4,22.3,19.3,25.5,1.42,1.27,1.60,Yes
Considered_Suicide,Total,20.2,18.8,21.8,18.7,12.8,26.6,1.21,1.06,1.37,Yes
Suicide_Plan,Total,16.6,15.1,18.2,17.5,10.3,27.9,1.16,1.00,1.35,Borderline
Attempted_Suicide,Total,9.5,8.4,10.8,9.5,6.6,13.5,1.11,0.89,1.39,No
Electronic_Bullying,Total,17.0,15.7,18.4,15.9,8.1,28.7,1.54,1.26,1.88,Yes
Electronic_Bullying,Female,21.5,19.7,23.5,,,,,1.66,1.31,2.09,Yes
Electronic_Bullying,Male,12.2,10.7,13.8,,,,,1.48,1.09,2.00,Yes
Electronic_Bullying,LGBQ+,25.5,21.9,29.4,,,,,1.50,1.14,1.99,Yes
Electronic_Bullying,Heterosexual,14.4,13.2,15.7,,,,,1.55,1.24,1.94,Yes
